game_num,strategy1,strategy2,points1,points2
0,random,random,45,56
1,random,random,48,47
2,random,random,32,41
3,random,random,41,44
4,random,random,42,50
5,random,random,37,39
6,random,random,56,58
7,random,random,33,31
8,random,random,33,46
9,random,random,45,50
10,random,random,2,56
11,random,random,32,46
12,random,random,31,28
13,random,random,53,42
14,random,random,33,54
15,random,random,47,29
16,random,random,32,37
17,random,random,30,17
18,random,random,28,10
19,random,random,25,23
20,random,random,41,25
21,random,random,46,44
22,random,random,28,57
23,random,random,43,17
24,random,random,16,46
25,random,random,44,65
26,random,random,10,43
27,random,random,62,13
28,random,random,25,34
29,random,random,30,49
30,random,random,32,50
31,random,random,64,24
32,random,random,51,35
33,random,random,47,34
34,random,random,33,45
35,random,random,37,42
36,random,random,44,22
37,random,random,44,42
38,random,random,46,26
39,random,random,22,39
40,random,random,38,54
41,random,random,42,52
42,random,random,34,49
43,random,random,48,23
44,random,random,47,30
45,random,random,44,37
46,random,random,20,22
47,random,random,43,35
48,random,random,39,30
49,random,random,51,43
50,random,random,44,15
51,random,random,36,24
52,random,random,42,43
53,random,random,52,31
54,random,random,43,45
55,random,random,28,52
56,random,random,43,36
57,random,random,31,49
58,random,random,39,29
59,random,random,23,50
60,random,random,30,40
61,random,random,38,26
62,random,random,32,49
63,random,random,36,19
64,random,random,58,22
65,random,random,45,37
66,random,random,50,30
67,random,random,22,51
68,random,random,22,25
69,random,random,66,48
70,random,random,18,27
71,random,random,23,32
72,random,random,31,47
73,random,random,52,22
74,random,random,51,50
75,random,random,10,49
76,random,random,51,46
77,random,random,37,43
78,random,random,30,36
79,random,random,48,23
80,random,random,26,32
81,random,random,26,29
82,random,random,44,36
83,random,random,33,27
84,random,random,24,31
85,random,random,32,66
86,random,random,45,56
87,random,random,26,38
88,random,random,56,32
89,random,random,29,44
90,random,random,38,26
91,random,random,28,50
92,random,random,29,35
93,random,random,47,15
94,random,random,45,44
95,random,random,30,38
96,random,random,25,33
97,random,random,27,37
98,random,random,37,31
99,random,random,30,24
100,random,random,33,50
101,random,random,34,30
102,random,random,26,44
103,random,random,49,45
104,random,random,47,42
105,random,random,27,34
106,random,random,37,38
107,random,random,23,33
108,random,random,57,35
109,random,random,31,30
110,random,random,47,39
111,random,random,43,40
112,random,random,28,21
113,random,random,38,46
114,random,random,45,35
115,random,random,39,40
116,random,random,38,44
117,random,random,51,36
118,random,random,8,43
119,random,random,44,54
120,random,random,27,32
121,random,random,32,38
122,random,random,51,13
123,random,random,46,40
124,random,random,38,41
125,random,random,24,40
126,random,random,18,18
127,random,random,39,27
128,random,random,26,34
129,random,random,23,52
130,random,random,43,32
131,random,random,22,41
132,random,random,47,32
133,random,random,27,68
134,random,random,21,34
135,random,random,25,42
136,random,random,35,27
137,random,random,25,43
138,random,random,56,28
139,random,random,43,38
140,random,random,44,34
141,random,random,17,51
142,random,random,50,37
143,random,random,33,39
144,random,random,57,32
145,random,random,64,28
146,random,random,50,15
147,random,random,49,49
148,random,random,27,44
149,random,random,35,45
150,random,random,23,36
151,random,random,49,17
152,random,random,54,7
153,random,random,42,36
154,random,random,37,32
155,random,random,42,37
156,random,random,14,37
157,random,random,46,49
158,random,random,28,30
159,random,random,16,36
160,random,random,53,38
161,random,random,56,20
162,random,random,26,45
163,random,random,36,38
164,random,random,40,47
165,random,random,41,50
166,random,random,13,18
167,random,random,45,28
168,random,random,48,28
169,random,random,58,43
170,random,random,46,42
171,random,random,35,34
172,random,random,39,27
173,random,random,37,32
174,random,random,33,25
175,random,random,22,35
176,random,random,43,37
177,random,random,14,37
178,random,random,33,21
179,random,random,25,44
180,random,random,43,38
181,random,random,26,47
182,random,random,35,43
183,random,random,21,28
184,random,random,38,21
185,random,random,51,43
186,random,random,27,52
187,random,random,30,27
188,random,random,53,28
189,random,random,35,47
190,random,random,36,17
191,random,random,22,33
192,random,random,38,41
193,random,random,64,15
194,random,random,14,48
195,random,random,31,46
196,random,random,43,52
197,random,random,22,43
198,random,random,35,31
199,random,random,26,55
200,random,random,36,39
201,random,random,53,43
202,random,random,46,42
203,random,random,28,33
204,random,random,27,30
205,random,random,39,22
206,random,random,26,32
