game_num,strategy1,strategy2,points1,points2
0,random,tickets,20,78
1,random,tickets,29,61
2,random,tickets,28,69
3,random,tickets,19,83
4,random,tickets,23,-2
5,random,tickets,46,-48
6,random,tickets,26,43
7,random,tickets,33,-103
8,random,tickets,15,85
9,random,tickets,34,80
10,random,tickets,41,35
11,random,tickets,14,24
12,random,tickets,10,90
13,random,tickets,10,69
14,random,tickets,39,9
15,random,tickets,38,37
16,random,tickets,37,45
17,random,tickets,28,84
18,random,tickets,27,71
19,random,tickets,52,-252
20,random,tickets,25,68
21,random,tickets,28,-53
22,random,tickets,27,36
23,random,tickets,22,52
24,random,tickets,35,72
25,random,tickets,15,80
26,random,tickets,25,-22
27,random,tickets,-5,77
28,random,tickets,8,58
29,random,tickets,7,48
30,random,tickets,15,77
31,random,tickets,22,89
32,random,tickets,34,-213
33,random,tickets,20,17
34,random,tickets,19,74
35,random,tickets,3,79
36,random,tickets,4,18
37,random,tickets,43,61
38,random,tickets,16,70
39,random,tickets,6,60
40,random,tickets,32,74
41,random,tickets,11,81
42,random,tickets,28,70
43,random,tickets,25,80
44,random,tickets,6,64
45,random,tickets,2,74
46,random,tickets,28,34
47,random,tickets,12,84
48,random,tickets,43,64
49,random,tickets,27,44
50,random,tickets,10,39
51,random,tickets,13,70
52,random,tickets,24,69
53,random,tickets,27,69
54,random,tickets,20,72
55,random,tickets,21,58
56,random,tickets,42,50
57,random,tickets,22,41
58,random,tickets,26,39
59,random,tickets,39,47
60,random,tickets,5,63
61,random,tickets,51,-18
62,random,tickets,12,48
63,random,tickets,24,44
64,random,tickets,8,60
65,random,tickets,20,51
66,random,tickets,14,10
67,random,tickets,26,33
68,random,tickets,27,21
69,random,tickets,28,65
70,random,tickets,27,82
71,random,tickets,18,38
72,random,tickets,28,29
73,random,tickets,29,82
74,random,tickets,11,48
75,random,tickets,31,46
76,random,tickets,39,29
77,random,tickets,21,76
78,random,tickets,23,56
79,random,tickets,20,45
80,random,tickets,11,75
81,random,tickets,2,73
82,random,tickets,20,28
83,random,tickets,27,64
84,random,tickets,25,72
85,random,tickets,14,92
86,random,tickets,22,74
87,random,tickets,33,36
88,random,tickets,44,74
89,random,tickets,39,-36
90,random,tickets,43,65
91,random,tickets,25,79
92,random,tickets,25,54
93,random,tickets,27,71
94,random,tickets,44,39
95,random,tickets,24,80
96,random,tickets,20,-164
97,random,tickets,34,50
98,random,tickets,22,56
99,random,tickets,16,26
100,random,tickets,25,77
101,random,tickets,34,45
102,random,tickets,32,-190
103,random,tickets,15,85
104,random,tickets,11,80
105,random,tickets,29,51
106,random,tickets,16,-103
107,random,tickets,15,39
108,random,tickets,23,68
109,random,tickets,32,50
110,random,tickets,19,87
111,random,tickets,19,89
112,random,tickets,31,54
113,random,tickets,25,47
114,random,tickets,35,31
115,random,tickets,7,44
116,random,tickets,27,88
117,random,tickets,19,38
118,random,tickets,43,32
119,random,tickets,13,68
120,random,tickets,17,80
121,random,tickets,3,83
122,random,tickets,49,-52
123,random,tickets,38,78
124,random,tickets,8,71
125,random,tickets,44,88
126,random,tickets,5,40
127,random,tickets,42,85
128,random,tickets,31,-29
129,random,tickets,15,56
130,random,tickets,10,61
131,random,tickets,10,67
132,random,tickets,7,66
133,random,tickets,37,-51
134,random,tickets,36,55
135,random,tickets,11,85
136,random,tickets,16,72
137,random,tickets,27,75
138,random,tickets,46,33
139,random,tickets,24,18
140,random,tickets,46,-56
141,random,tickets,8,69
142,random,tickets,19,45
143,random,tickets,25,85
144,random,tickets,34,39
145,random,tickets,13,49
146,random,tickets,47,68
147,random,tickets,29,77
148,random,tickets,24,74
149,random,tickets,34,71
150,random,tickets,-2,61
151,random,tickets,38,51
152,random,tickets,36,77
153,random,tickets,15,91
154,random,tickets,34,53
155,random,tickets,29,30
156,random,tickets,18,69
157,random,tickets,20,30
158,random,tickets,19,73
159,random,tickets,39,-88
160,random,tickets,28,73
161,random,tickets,28,54
162,random,tickets,26,53
163,random,tickets,27,-66
164,random,tickets,54,-202
165,random,tickets,23,51
166,random,tickets,30,55
167,random,tickets,8,50
168,random,tickets,19,50
169,random,tickets,34,71
170,random,tickets,20,37
171,random,tickets,27,68
172,random,tickets,25,57
173,random,tickets,8,27
174,random,tickets,31,17
175,random,tickets,28,43
176,random,tickets,40,58
177,random,tickets,26,57
178,random,tickets,37,23
179,random,tickets,10,78
180,random,tickets,38,68
181,random,tickets,38,58
182,random,tickets,18,11
183,random,tickets,2,88
184,random,tickets,51,6
185,random,tickets,11,76
186,random,tickets,15,72
187,random,tickets,25,61
188,random,tickets,31,45
189,random,tickets,39,78
190,random,tickets,15,38
191,random,tickets,19,30
192,random,tickets,15,82
193,random,tickets,36,-263
194,random,tickets,25,54
195,random,tickets,3,44
196,random,tickets,43,15
197,random,tickets,18,36
198,random,tickets,15,50
199,random,tickets,48,9
200,random,tickets,29,91
201,random,tickets,11,63
202,random,tickets,9,68
203,random,tickets,26,55
204,random,tickets,29,40
205,random,tickets,14,27
206,random,tickets,20,53
207,random,tickets,17,78
208,random,tickets,30,30
209,random,tickets,18,9
210,random,tickets,19,-34
211,random,tickets,32,38
212,random,tickets,38,61
213,random,tickets,30,40
214,random,tickets,22,94
215,random,tickets,27,43
216,random,tickets,20,73
217,random,tickets,26,61
218,random,tickets,4,46
219,random,tickets,10,71
220,random,tickets,35,80
221,random,tickets,27,47
222,random,tickets,26,56
223,random,tickets,5,47
224,random,tickets,2,79
225,random,tickets,20,49
226,random,tickets,31,-151
227,random,tickets,19,74
228,random,tickets,22,-42
229,random,tickets,28,50
230,random,tickets,18,77
231,random,tickets,41,66
232,random,tickets,-6,70
