game_num,strategy1,strategy2,points1,points2
0,route,route,92,78
1,route,route,84,89
2,route,route,93,65
3,route,route,93,95
4,route,route,95,60
5,route,route,84,78
6,route,route,87,75
7,route,route,85,72
8,route,route,92,91
9,route,route,97,70
10,route,route,91,82
11,route,route,75,97
12,route,route,76,101
13,route,route,97,90
14,route,route,91,93
15,route,route,72,98
16,route,route,100,91
17,route,route,93,77
18,route,route,86,56
19,route,route,81,74
20,route,route,80,71
21,route,route,88,73
22,route,route,92,79
23,route,route,97,85
24,route,route,92,77
25,route,route,95,53
26,route,route,62,95
27,route,route,93,89
28,route,route,99,86
29,route,route,80,100
30,route,route,95,77
31,route,route,77,85
32,route,route,93,94
33,route,route,99,77
34,route,route,73,98
35,route,route,106,82
36,route,route,68,87
37,route,route,102,53
38,route,route,106,57
39,route,route,88,71
40,route,route,86,62
41,route,route,90,95
42,route,route,95,86
43,route,route,80,60
44,route,route,82,60
45,route,route,79,83
46,route,route,90,99
47,route,route,100,72
48,route,route,80,110
49,route,route,106,55
50,route,route,85,86
51,route,route,91,82
52,route,route,71,96
53,route,route,79,66
54,route,route,89,81
55,route,route,94,68
56,route,route,74,75
57,route,route,94,85
58,route,route,105,58
59,route,route,89,102
60,route,route,86,64
61,route,route,103,53
62,route,route,85,84
63,route,route,58,77
64,route,route,82,100
65,route,route,98,66
66,route,route,82,86
67,route,route,93,91
68,route,route,97,95
69,route,route,84,73
70,route,route,97,78
71,route,route,73,90
72,route,route,87,99
73,route,route,93,76
74,route,route,87,106
75,route,route,95,82
76,route,route,94,77
77,route,route,72,93
78,route,route,85,95
79,route,route,96,88
80,route,route,80,80
81,route,route,92,54
82,route,route,91,87
83,route,route,91,77
84,route,route,59,92
85,route,route,91,80
86,route,route,108,81
87,route,route,77,87
88,route,route,84,80
89,route,route,77,79
90,route,route,77,91
91,route,route,60,98
92,route,route,82,72
93,route,route,81,79
94,route,route,95,65
95,route,route,84,94
96,route,route,80,91
97,route,route,100,65
98,route,route,94,84
99,route,route,88,61
100,route,route,88,91
101,route,route,106,89
102,route,route,95,91
103,route,route,93,102
104,route,route,92,83
105,route,route,77,86
106,route,route,85,82
107,route,route,92,105
108,route,route,102,59
109,route,route,86,107
110,route,route,55,82
111,route,route,79,79
112,route,route,106,82
113,route,route,82,71
114,route,route,70,93
115,route,route,74,98
116,route,route,99,65
117,route,route,92,91
118,route,route,101,79
119,route,route,81,98
120,route,route,95,65
121,route,route,106,69
122,route,route,95,89
123,route,route,99,79
124,route,route,68,106
125,route,route,89,85
126,route,route,80,102
127,route,route,104,82
128,route,route,91,75
129,route,route,75,95
130,route,route,86,92
131,route,route,83,92
132,route,route,80,83
133,route,route,85,99
134,route,route,83,90
135,route,route,75,81
136,route,route,82,81
137,route,route,76,101
138,route,route,95,89
139,route,route,99,80
140,route,route,92,79
141,route,route,96,84
142,route,route,72,83
143,route,route,96,80
144,route,route,91,100
145,route,route,87,87
146,route,route,88,66
147,route,route,74,91
148,route,route,87,86
149,route,route,65,94
150,route,route,84,59
151,route,route,90,60
152,route,route,91,99
153,route,route,95,79
154,route,route,79,84
155,route,route,60,95
156,route,route,65,98
157,route,route,79,91
158,route,route,99,90
159,route,route,84,95
160,route,route,72,78
161,route,route,99,82
162,route,route,84,85
163,route,route,76,98
164,route,route,87,86
165,route,route,87,87
166,route,route,101,72
167,route,route,86,75
168,route,route,83,89
169,route,route,101,72
170,route,route,97,85
171,route,route,99,80
172,route,route,96,65
173,route,route,96,75
174,route,route,65,84
175,route,route,87,81
176,route,route,84,75
177,route,route,90,80
178,route,route,115,47
179,route,route,101,91
180,route,route,84,56
181,route,route,78,94
182,route,route,86,91
183,route,route,82,90
184,route,route,101,81
185,route,route,87,106
186,route,route,63,106
187,route,route,96,39
188,route,route,89,69
189,route,route,94,95
190,route,route,85,89
191,route,route,83,90
192,route,route,90,70
193,route,route,81,78
194,route,route,53,94
195,route,route,94,70
196,route,route,77,81
197,route,route,76,89
198,route,route,83,82
199,route,route,60,98
200,route,route,93,60
201,route,route,73,90
202,route,route,87,76
203,route,route,79,72
204,route,route,106,85
205,route,route,96,69
206,route,route,83,85
207,route,route,60,95
208,route,route,77,97
209,route,route,66,71
210,route,route,74,69
211,route,route,86,96
212,route,route,78,68
213,route,route,84,74
214,route,route,89,54
215,route,route,71,82
216,route,route,86,94
217,route,route,87,87
218,route,route,69,86
219,route,route,101,71
220,route,route,83,75
221,route,route,95,81
222,route,route,77,65
223,route,route,111,58
224,route,route,81,91
225,route,route,90,98
226,route,route,99,78
227,route,route,105,90
228,route,route,93,95
229,route,route,86,71
230,route,route,62,85
231,route,route,80,93
232,route,route,78,66
233,route,route,93,91
234,route,route,89,82
235,route,route,88,69
236,route,route,91,85
237,route,route,90,82
238,route,route,94,83
239,route,route,97,84
240,route,route,67,68
241,route,route,92,60
242,route,route,77,99
243,route,route,83,58
244,route,route,89,80
245,route,route,73,67
246,route,route,89,69
247,route,route,82,75
248,route,route,75,89
249,route,route,98,55
250,route,route,78,77
251,route,route,69,83
252,route,route,62,89
253,route,route,84,70
254,route,route,92,90
255,route,route,103,94
256,route,route,78,106
257,route,route,83,90
258,route,route,93,69
259,route,route,99,57
260,route,route,84,101
261,route,route,95,65
262,route,route,85,96
263,route,route,88,95
264,route,route,81,87
265,route,route,80,75
266,route,route,67,99
267,route,route,85,90
268,route,route,105,80
269,route,route,61,72
270,route,route,106,89
271,route,route,63,86
272,route,route,84,89
273,route,route,77,70
274,route,route,70,71
275,route,route,91,83
276,route,route,86,85
277,route,route,70,103
278,route,route,94,95
279,route,route,86,72
280,route,route,92,65
281,route,route,80,84
282,route,route,89,83
283,route,route,78,76
284,route,route,65,100
285,route,route,73,79
286,route,route,89,89
287,route,route,82,90
288,route,route,92,80
289,route,route,97,82
290,route,route,84,90
291,route,route,100,92
292,route,route,91,93
293,route,route,87,81
294,route,route,81,80
295,route,route,92,73
296,route,route,106,89
297,route,route,92,79
298,route,route,76,77
299,route,route,90,74
300,route,route,91,91
301,route,route,92,82
302,route,route,100,97
303,route,route,71,91
304,route,route,86,68
305,route,route,90,88
306,route,route,87,76
307,route,route,82,77
308,route,route,74,91
309,route,route,77,70
310,route,route,69,81
311,route,route,102,85
312,route,route,85,96
313,route,route,70,107
314,route,route,104,79
315,route,route,70,108
316,route,route,105,85
317,route,route,88,79
318,route,route,87,95
319,route,route,95,103
320,route,route,88,76
321,route,route,77,65
322,route,route,102,82
323,route,route,110,92
324,route,route,90,100
325,route,route,91,85
326,route,route,79,87
327,route,route,89,69
328,route,route,85,79
329,route,route,98,77
330,route,route,84,93
331,route,route,81,79
332,route,route,78,99
333,route,route,106,65
334,route,route,85,76
335,route,route,89,67
336,route,route,85,84
337,route,route,76,72
338,route,route,64,98
339,route,route,67,81
340,route,route,52,96
341,route,route,76,87
342,route,route,84,79
343,route,route,98,73
344,route,route,71,98
345,route,route,92,82
346,route,route,85,80
347,route,route,95,92
348,route,route,92,97
349,route,route,64,96
350,route,route,97,85
351,route,route,86,87
352,route,route,96,81
353,route,route,73,80
354,route,route,87,62
355,route,route,90,61
356,route,route,71,84
357,route,route,89,98
358,route,route,67,85
359,route,route,88,98
360,route,route,103,84
361,route,route,89,89
362,route,route,91,86
363,route,route,90,76
364,route,route,73,88
365,route,route,84,103
366,route,route,79,85
367,route,route,86,92
368,route,route,76,91
369,route,route,78,79
370,route,route,79,69
371,route,route,88,85
372,route,route,103,66
373,route,route,94,87
374,route,route,80,100
375,route,route,65,86
376,route,route,97,89
377,route,route,82,83
378,route,route,73,88
379,route,route,72,96
380,route,route,85,88
381,route,route,91,75
382,route,route,89,78
383,route,route,88,115
384,route,route,98,59
385,route,route,103,85
386,route,route,73,77
387,route,route,77,89
388,route,route,80,80
389,route,route,94,72
