game_num,strategy1,strategy2,points1,points2
0,route,tickets,101,105
1,route,tickets,83,87
2,route,tickets,75,87
3,route,tickets,82,83
4,route,tickets,82,58
5,route,tickets,77,73
6,route,tickets,98,64
7,route,tickets,86,94
8,route,tickets,79,37
9,route,tickets,97,79
10,route,tickets,94,63
11,route,tickets,98,78
12,route,tickets,83,79
13,route,tickets,83,53
14,route,tickets,88,67
15,route,tickets,100,63
16,route,tickets,78,78
17,route,tickets,93,77
18,route,tickets,88,45
19,route,tickets,94,35
20,route,tickets,88,86
21,route,tickets,86,92
22,route,tickets,82,68
23,route,tickets,97,87
24,route,tickets,99,59
25,route,tickets,87,32
26,route,tickets,98,54
27,route,tickets,83,63
28,route,tickets,98,50
29,route,tickets,97,77
30,route,tickets,75,55
31,route,tickets,96,47
32,route,tickets,63,71
33,route,tickets,96,56
34,route,tickets,96,91
35,route,tickets,87,84
36,route,tickets,99,90
37,route,tickets,75,87
38,route,tickets,75,100
39,route,tickets,89,77
40,route,tickets,75,94
41,route,tickets,78,65
42,route,tickets,83,80
43,route,tickets,92,81
44,route,tickets,87,42
45,route,tickets,88,56
46,route,tickets,101,53
47,route,tickets,105,110
48,route,tickets,90,58
49,route,tickets,85,86
50,route,tickets,77,41
51,route,tickets,76,80
52,route,tickets,89,55
53,route,tickets,105,96
54,route,tickets,78,55
55,route,tickets,94,52
56,route,tickets,87,68
57,route,tickets,89,72
58,route,tickets,94,47
59,route,tickets,94,64
60,route,tickets,95,62
61,route,tickets,88,54
62,route,tickets,94,73
63,route,tickets,83,72
64,route,tickets,86,90
65,route,tickets,89,39
66,route,tickets,79,31
67,route,tickets,85,88
68,route,tickets,86,79
69,route,tickets,86,69
70,route,tickets,74,110
71,route,tickets,84,75
72,route,tickets,76,70
73,route,tickets,87,86
74,route,tickets,87,53
75,route,tickets,84,18
76,route,tickets,85,25
77,route,tickets,76,73
78,route,tickets,97,72
79,route,tickets,73,81
80,route,tickets,85,77
81,route,tickets,74,44
82,route,tickets,92,79
83,route,tickets,87,76
84,route,tickets,94,33
85,route,tickets,81,29
86,route,tickets,80,93
87,route,tickets,85,119
88,route,tickets,81,79
89,route,tickets,94,72
90,route,tickets,90,49
91,route,tickets,88,60
92,route,tickets,96,64
93,route,tickets,89,90
94,route,tickets,97,50
95,route,tickets,85,100
96,route,tickets,82,78
97,route,tickets,92,93
98,route,tickets,74,77
99,route,tickets,88,77
100,route,tickets,86,85
101,route,tickets,77,112
102,route,tickets,86,78
103,route,tickets,96,26
104,route,tickets,85,94
105,route,tickets,70,82
106,route,tickets,83,47
107,route,tickets,81,75
108,route,tickets,82,59
109,route,tickets,92,64
110,route,tickets,92,55
111,route,tickets,85,79
112,route,tickets,81,55
113,route,tickets,82,99
114,route,tickets,73,89
115,route,tickets,85,56
116,route,tickets,85,10
117,route,tickets,94,52
118,route,tickets,76,76
