game_num,strategy1,strategy2,points1,points2
0,tickets,random,50,28
1,tickets,random,-44,31
2,tickets,random,42,31
3,tickets,random,29,29
4,tickets,random,58,29
5,tickets,random,78,36
6,tickets,random,55,47
7,tickets,random,59,25
8,tickets,random,43,31
9,tickets,random,-216,40
10,tickets,random,67,27
11,tickets,random,66,24
12,tickets,random,87,2
13,tickets,random,79,13
14,tickets,random,44,20
15,tickets,random,56,15
16,tickets,random,19,23
17,tickets,random,-211,45
18,tickets,random,53,11
19,tickets,random,84,39
20,tickets,random,68,33
21,tickets,random,67,20
22,tickets,random,40,26
23,tickets,random,-227,37
24,tickets,random,6,21
25,tickets,random,59,16
26,tickets,random,50,20
27,tickets,random,44,33
28,tickets,random,34,23
29,tickets,random,106,34
30,tickets,random,61,17
31,tickets,random,80,27
32,tickets,random,16,22
33,tickets,random,70,10
34,tickets,random,23,23
35,tickets,random,54,11
36,tickets,random,89,3
37,tickets,random,67,23
38,tickets,random,73,31
39,tickets,random,38,14
40,tickets,random,-191,22
41,tickets,random,57,2
42,tickets,random,38,37
43,tickets,random,60,10
44,tickets,random,70,16
45,tickets,random,4,36
46,tickets,random,54,7
47,tickets,random,80,41
48,tickets,random,54,30
49,tickets,random,53,34
50,tickets,random,64,32
51,tickets,random,79,12
52,tickets,random,21,16
53,tickets,random,34,33
54,tickets,random,64,39
55,tickets,random,55,16
56,tickets,random,30,23
57,tickets,random,46,26
58,tickets,random,68,6
59,tickets,random,75,44
60,tickets,random,84,42
61,tickets,random,34,26
62,tickets,random,50,25
63,tickets,random,93,38
64,tickets,random,100,3
65,tickets,random,5,25
66,tickets,random,59,10
67,tickets,random,32,45
68,tickets,random,-96,33
69,tickets,random,83,21
70,tickets,random,25,54
71,tickets,random,84,21
72,tickets,random,35,49
73,tickets,random,80,23
74,tickets,random,40,33
75,tickets,random,21,29
76,tickets,random,40,29
77,tickets,random,55,33
78,tickets,random,62,10
79,tickets,random,33,21
80,tickets,random,38,22
81,tickets,random,12,39
82,tickets,random,74,28
83,tickets,random,77,4
