game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,random,random,random,48,30,53
1,random,random,random,41,57,27
2,random,random,random,61,22,36
3,random,random,random,15,35,49
4,random,random,random,49,48,32
5,random,random,random,37,37,23
6,random,random,random,61,40,50
7,random,random,random,28,38,48
8,random,random,random,38,51,36
9,random,random,random,27,43,49
10,random,random,random,44,35,37
11,random,random,random,51,44,10
12,random,random,random,34,48,37
13,random,random,random,27,29,39
14,random,random,random,31,39,32
15,random,random,random,37,29,40
16,random,random,random,45,32,30
17,random,random,random,45,35,20
18,random,random,random,49,26,29
19,random,random,random,23,46,42
20,random,random,random,43,60,23
21,random,random,random,49,54,48
22,random,random,random,40,40,26
23,random,random,random,38,46,48
24,random,random,random,37,22,25
25,random,random,random,35,35,26
26,random,random,random,41,49,24
27,random,random,random,44,40,33
28,random,random,random,42,31,16
29,random,random,random,16,51,39
30,random,random,random,38,26,53
31,random,random,random,40,52,23
32,random,random,random,45,37,37
33,random,random,random,26,39,32
34,random,random,random,51,35,37
35,random,random,random,41,64,40
36,random,random,random,49,41,46
37,random,random,random,25,12,41
38,random,random,random,42,52,26
39,random,random,random,26,30,25
40,random,random,random,48,22,19
41,random,random,random,50,40,35
42,random,random,random,43,42,54
43,random,random,random,24,38,44
44,random,random,random,55,51,55
45,random,random,random,33,48,42
46,random,random,random,48,40,27
47,random,random,random,26,51,53
48,random,random,random,37,27,39
49,random,random,random,41,37,35
50,random,random,random,19,31,34
51,random,random,random,48,39,55
52,random,random,random,12,38,43
53,random,random,random,31,43,16
54,random,random,random,32,41,54
55,random,random,random,38,53,40
56,random,random,random,37,38,31
57,random,random,random,60,26,26
58,random,random,random,46,27,21
59,random,random,random,48,32,36
60,random,random,random,54,40,44
61,random,random,random,44,27,33
62,random,random,random,39,19,35
63,random,random,random,30,40,13
64,random,random,random,48,49,30
65,random,random,random,45,43,39
66,random,random,random,52,38,32
67,random,random,random,51,43,20
68,random,random,random,33,39,37
69,random,random,random,39,40,28
70,random,random,random,30,47,25
71,random,random,random,31,31,39
72,random,random,random,36,45,28
73,random,random,random,34,57,43
74,random,random,random,41,49,50
75,random,random,random,45,48,42
76,random,random,random,38,52,49
77,random,random,random,51,47,49
78,random,random,random,36,40,42
79,random,random,random,44,32,38
80,random,random,random,34,37,17
81,random,random,random,50,39,43
82,random,random,random,40,39,49
83,random,random,random,24,48,41
84,random,random,random,27,31,28
85,random,random,random,50,34,33
86,random,random,random,33,40,42
87,random,random,random,38,44,36
88,random,random,random,34,20,54
89,random,random,random,14,53,59
90,random,random,random,26,24,69
91,random,random,random,37,27,34
92,random,random,random,37,40,37
93,random,random,random,48,36,35
94,random,random,random,43,15,32
95,random,random,random,30,37,48
96,random,random,random,32,40,8
97,random,random,random,49,29,31
98,random,random,random,40,34,37
99,random,random,random,44,54,46
100,random,random,random,25,25,35
101,random,random,random,54,54,36
102,random,random,random,30,22,59
103,random,random,random,50,44,42
104,random,random,random,35,21,36
105,random,random,random,25,41,40
106,random,random,random,57,43,33
107,random,random,random,36,31,33
108,random,random,random,23,23,51
109,random,random,random,39,34,27
110,random,random,random,39,44,44
111,random,random,random,53,25,6
112,random,random,random,41,46,48
113,random,random,random,44,44,20
114,random,random,random,40,21,49
115,random,random,random,17,42,34
116,random,random,random,40,22,46
117,random,random,random,38,32,41
118,random,random,random,26,40,26
119,random,random,random,29,30,30
120,random,random,random,50,39,33
121,random,random,random,38,25,37
122,random,random,random,48,32,60
123,random,random,random,31,35,70
124,random,random,random,27,69,44
125,random,random,random,51,27,35
126,random,random,random,50,48,35
127,random,random,random,34,29,48
128,random,random,random,51,38,28
129,random,random,random,46,39,32
130,random,random,random,64,37,41
131,random,random,random,32,39,35
132,random,random,random,32,47,50
133,random,random,random,16,15,32
134,random,random,random,37,42,38
135,random,random,random,42,42,35
136,random,random,random,39,41,27
137,random,random,random,19,48,39
138,random,random,random,35,46,32
139,random,random,random,40,26,32
140,random,random,random,53,35,39
141,random,random,random,39,40,47
142,random,random,random,47,14,29
143,random,random,random,38,29,70
144,random,random,random,49,46,24
145,random,random,random,53,24,32
146,random,random,random,40,31,47
147,random,random,random,51,18,50
148,random,random,random,27,46,41
149,random,random,random,32,64,30
150,random,random,random,51,28,41
151,random,random,random,25,35,52
152,random,random,random,48,52,31
153,random,random,random,22,41,38
154,random,random,random,22,24,46
155,random,random,random,53,18,35
156,random,random,random,38,52,37
157,random,random,random,51,44,52
158,random,random,random,41,38,48
159,random,random,random,37,29,47
160,random,random,random,29,30,40
161,random,random,random,34,50,34
162,random,random,random,35,49,56
163,random,random,random,13,31,51
164,random,random,random,37,48,37
165,random,random,random,40,51,27
166,random,random,random,62,27,32
167,random,random,random,43,33,37
168,random,random,random,49,28,41
169,random,random,random,34,41,32
170,random,random,random,41,48,41
171,random,random,random,25,49,42
172,random,random,random,39,12,26
173,random,random,random,27,34,67
174,random,random,random,30,26,45
175,random,random,random,41,31,38
176,random,random,random,37,47,39
177,random,random,random,41,34,15
178,random,random,random,22,48,25
179,random,random,random,27,33,48
180,random,random,random,32,62,47
181,random,random,random,36,30,28
182,random,random,random,16,49,36
183,random,random,random,48,16,29
184,random,random,random,24,41,30
185,random,random,random,39,30,16
186,random,random,random,35,38,38
187,random,random,random,30,34,49
188,random,random,random,36,58,35
189,random,random,random,65,40,28
190,random,random,random,8,33,28
191,random,random,random,28,29,42
192,random,random,random,32,10,30
193,random,random,random,40,22,50
194,random,random,random,57,38,21
195,random,random,random,20,35,32
196,random,random,random,46,45,66
197,random,random,random,19,55,33
198,random,random,random,48,42,38
199,random,random,random,51,22,29
200,random,random,random,41,57,37
201,random,random,random,36,55,43
202,random,random,random,16,48,50
203,random,random,random,32,21,60
204,random,random,random,49,35,38
205,random,random,random,51,46,23
206,random,random,random,33,32,21
207,random,random,random,35,21,43
208,random,random,random,35,21,57
209,random,random,random,46,40,39
210,random,random,random,58,42,22
211,random,random,random,20,50,50
212,random,random,random,30,33,36
213,random,random,random,35,29,29
214,random,random,random,30,19,57
215,random,random,random,34,50,18
216,random,random,random,49,24,42
217,random,random,random,41,25,33
218,random,random,random,31,33,55
219,random,random,random,45,37,29
220,random,random,random,35,57,36
221,random,random,random,29,52,19
222,random,random,random,36,43,48
223,random,random,random,48,32,27
224,random,random,random,33,31,17
225,random,random,random,56,37,41
226,random,random,random,46,41,38
227,random,random,random,28,33,44
228,random,random,random,25,12,48
229,random,random,random,38,35,48
230,random,random,random,31,42,22
231,random,random,random,30,55,46
232,random,random,random,50,45,32
233,random,random,random,44,30,31
234,random,random,random,39,32,51
235,random,random,random,50,39,25
236,random,random,random,38,10,43
237,random,random,random,30,49,43
238,random,random,random,42,28,60
239,random,random,random,27,47,35
240,random,random,random,36,41,24
241,random,random,random,46,38,15
242,random,random,random,18,47,29
243,random,random,random,56,41,57
244,random,random,random,61,33,31
245,random,random,random,22,39,19
246,random,random,random,21,52,16
247,random,random,random,26,38,38
248,random,random,random,45,25,52
249,random,random,random,40,54,30
250,random,random,random,19,30,47
251,random,random,random,40,47,59
252,random,random,random,35,32,35
253,random,random,random,42,46,26
254,random,random,random,38,31,51
255,random,random,random,42,54,45
256,random,random,random,46,20,41
257,random,random,random,39,31,36
258,random,random,random,33,21,42
259,random,random,random,40,39,39
260,random,random,random,43,42,49
261,random,random,random,25,38,49
262,random,random,random,44,29,25
263,random,random,random,29,52,42
264,random,random,random,51,29,27
265,random,random,random,39,43,35
266,random,random,random,41,21,49
267,random,random,random,18,26,58
268,random,random,random,37,46,45
269,random,random,random,40,27,59
270,random,random,random,41,50,18
271,random,random,random,33,17,37
272,random,random,random,41,37,51
273,random,random,random,46,60,38
274,random,random,random,42,38,36
275,random,random,random,43,39,50
276,random,random,random,42,41,17
277,random,random,random,58,18,23
278,random,random,random,51,51,40
279,random,random,random,43,44,54
280,random,random,random,40,49,17
281,random,random,random,39,44,24
282,random,random,random,52,40,56
283,random,random,random,23,64,19
284,random,random,random,50,36,28
285,random,random,random,34,27,53
286,random,random,random,53,36,36
287,random,random,random,46,36,33
288,random,random,random,24,30,46
289,random,random,random,26,40,57
290,random,random,random,60,26,48
291,random,random,random,30,30,22
292,random,random,random,53,28,43
293,random,random,random,62,44,33
294,random,random,random,29,43,39
295,random,random,random,14,42,42
296,random,random,random,35,49,45
297,random,random,random,31,33,33
298,random,random,random,23,54,37
299,random,random,random,20,34,24
300,random,random,random,29,21,26
301,random,random,random,49,59,36
302,random,random,random,19,47,25
303,random,random,random,47,39,49
304,random,random,random,17,31,35
305,random,random,random,35,31,10
306,random,random,random,25,27,51
307,random,random,random,27,36,33
