game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,random,random,route,42,14,94
1,random,random,route,52,57,88
2,random,random,route,44,55,87
3,random,random,route,40,25,105
4,random,random,route,15,25,89
5,random,random,route,34,32,88
6,random,random,route,40,36,105
7,random,random,route,34,41,84
8,random,random,route,41,34,83
9,random,random,route,37,23,87
10,random,random,route,50,38,75
11,random,random,route,29,35,105
12,random,random,route,52,19,87
13,random,random,route,40,30,96
14,random,random,route,30,24,89
15,random,random,route,33,52,67
16,random,random,route,27,22,105
17,random,random,route,39,36,94
18,random,random,route,16,38,95
19,random,random,route,33,21,84
20,random,random,route,39,43,82
21,random,random,route,39,47,85
22,random,random,route,34,54,94
23,random,random,route,37,52,71
24,random,random,route,60,36,90
25,random,random,route,35,46,92
26,random,random,route,26,58,100
27,random,random,route,35,51,88
28,random,random,route,33,36,81
29,random,random,route,31,31,92
30,random,random,route,23,22,101
31,random,random,route,42,25,100
32,random,random,route,17,18,96
33,random,random,route,29,29,85
34,random,random,route,34,39,76
35,random,random,route,42,23,78
36,random,random,route,32,37,79
37,random,random,route,62,45,88
38,random,random,route,36,48,74
39,random,random,route,38,53,83
40,random,random,route,18,44,92
41,random,random,route,24,47,71
42,random,random,route,47,36,75
43,random,random,route,53,32,85
44,random,random,route,36,47,72
45,random,random,route,32,31,99
46,random,random,route,24,40,90
47,random,random,route,37,36,85
48,random,random,route,41,14,85
49,random,random,route,26,36,85
50,random,random,route,16,37,78
51,random,random,route,48,34,85
52,random,random,route,26,33,95
53,random,random,route,20,23,93
54,random,random,route,37,54,88
55,random,random,route,22,28,101
56,random,random,route,45,56,81
57,random,random,route,49,33,99
58,random,random,route,16,39,88
59,random,random,route,42,32,78
60,random,random,route,32,49,115
61,random,random,route,45,41,88
62,random,random,route,44,22,81
63,random,random,route,26,29,91
64,random,random,route,14,50,94
65,random,random,route,47,50,90
66,random,random,route,47,47,68
67,random,random,route,37,64,101
68,random,random,route,44,35,77
69,random,random,route,46,36,96
70,random,random,route,35,33,91
71,random,random,route,35,37,99
72,random,random,route,45,43,78
73,random,random,route,37,70,68
74,random,random,route,34,34,79
75,random,random,route,68,45,93
76,random,random,route,23,37,69
77,random,random,route,28,48,81
78,random,random,route,46,32,83
79,random,random,route,33,58,93
80,random,random,route,25,44,89
81,random,random,route,27,22,85
82,random,random,route,39,24,96
83,random,random,route,33,34,76
84,random,random,route,41,56,88
85,random,random,route,45,41,70
86,random,random,route,30,10,96
87,random,random,route,38,40,84
88,random,random,route,33,26,80
89,random,random,route,61,18,92
90,random,random,route,61,43,94
91,random,random,route,47,44,81
92,random,random,route,33,49,83
93,random,random,route,36,49,78
94,random,random,route,43,40,91
95,random,random,route,24,44,95
96,random,random,route,35,11,89
97,random,random,route,28,44,104
98,random,random,route,33,8,106
99,random,random,route,32,26,87
100,random,random,route,26,12,87
101,random,random,route,36,35,115
102,random,random,route,43,9,89
103,random,random,route,37,34,86
104,random,random,route,35,34,97
105,random,random,route,39,23,87
106,random,random,route,35,32,86
107,random,random,route,21,60,83
108,random,random,route,36,48,82
109,random,random,route,38,46,75
110,random,random,route,30,32,75
111,random,random,route,40,41,77
112,random,random,route,33,46,105
113,random,random,route,38,31,94
114,random,random,route,50,36,94
115,random,random,route,39,36,83
116,random,random,route,33,53,85
117,random,random,route,39,33,76
118,random,random,route,45,39,83
119,random,random,route,28,35,94
120,random,random,route,37,46,85
121,random,random,route,45,43,72
122,random,random,route,50,36,80
123,random,random,route,13,39,89
124,random,random,route,48,16,102
