game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,random,random,tickets,43,23,47
1,random,random,tickets,21,35,-47
2,random,random,tickets,13,19,64
3,random,random,tickets,24,35,44
4,random,random,tickets,24,46,56
5,random,random,tickets,25,38,-27
6,random,random,tickets,27,39,43
7,random,random,tickets,35,23,20
8,random,random,tickets,31,59,-188
9,random,random,tickets,23,24,46
10,random,random,tickets,28,46,-188
11,random,random,tickets,40,53,-215
12,random,random,tickets,25,22,-166
13,random,random,tickets,50,36,40
14,random,random,tickets,46,33,-81
15,random,random,tickets,16,28,63
16,random,random,tickets,34,44,-79
17,random,random,tickets,45,12,79
18,random,random,tickets,31,19,58
19,random,random,tickets,41,7,57
20,random,random,tickets,43,22,66
21,random,random,tickets,37,60,-183
22,random,random,tickets,26,9,53
23,random,random,tickets,9,23,89
24,random,random,tickets,33,32,34
25,random,random,tickets,21,7,59
26,random,random,tickets,19,29,65
27,random,random,tickets,26,22,0
28,random,random,tickets,38,34,-24
29,random,random,tickets,37,49,-3
30,random,random,tickets,30,42,64
31,random,random,tickets,19,9,67
32,random,random,tickets,32,9,70
33,random,random,tickets,43,31,29
34,random,random,tickets,27,33,18
35,random,random,tickets,34,21,84
36,random,random,tickets,48,39,57
37,random,random,tickets,33,28,50
38,random,random,tickets,35,38,39
39,random,random,tickets,20,-1,41
40,random,random,tickets,30,23,24
41,random,random,tickets,36,18,11
42,random,random,tickets,28,16,10
43,random,random,tickets,12,32,-42
44,random,random,tickets,17,30,70
45,random,random,tickets,32,22,61
46,random,random,tickets,36,38,13
47,random,random,tickets,41,11,-7
48,random,random,tickets,55,18,-47
49,random,random,tickets,7,30,93
50,random,random,tickets,42,28,96
51,random,random,tickets,36,33,60
52,random,random,tickets,10,27,79
53,random,random,tickets,19,27,49
54,random,random,tickets,36,28,-7
55,random,random,tickets,34,20,51
56,random,random,tickets,6,38,71
57,random,random,tickets,42,40,58
58,random,random,tickets,30,25,70
59,random,random,tickets,42,36,57
60,random,random,tickets,38,24,64
61,random,random,tickets,18,19,74
62,random,random,tickets,25,30,6
63,random,random,tickets,25,9,89
64,random,random,tickets,16,5,91
65,random,random,tickets,23,15,71
66,random,random,tickets,19,37,37
67,random,random,tickets,42,47,-19
68,random,random,tickets,14,15,80
69,random,random,tickets,37,18,14
70,random,random,tickets,28,32,56
71,random,random,tickets,37,29,60
72,random,random,tickets,45,21,34
73,random,random,tickets,38,20,7
74,random,random,tickets,43,50,11
75,random,random,tickets,33,22,73
76,random,random,tickets,58,36,-145
77,random,random,tickets,28,36,-27
78,random,random,tickets,35,24,56
79,random,random,tickets,42,37,31
80,random,random,tickets,36,26,-218
81,random,random,tickets,47,25,-173
82,random,random,tickets,13,9,55
83,random,random,tickets,15,25,25
84,random,random,tickets,25,16,72
85,random,random,tickets,24,12,72
86,random,random,tickets,32,48,-195
87,random,random,tickets,17,11,12
88,random,random,tickets,7,29,75
89,random,random,tickets,33,33,24
90,random,random,tickets,43,5,62
91,random,random,tickets,26,24,47
92,random,random,tickets,48,26,-43
93,random,random,tickets,13,16,33
94,random,random,tickets,17,34,53
95,random,random,tickets,9,10,79
96,random,random,tickets,32,28,77
97,random,random,tickets,51,26,-70
98,random,random,tickets,12,38,23
99,random,random,tickets,39,28,58
100,random,random,tickets,27,27,-89
101,random,random,tickets,28,16,18
102,random,random,tickets,15,14,82
103,random,random,tickets,1,10,58
104,random,random,tickets,28,17,76
105,random,random,tickets,31,44,-102
106,random,random,tickets,45,33,-8
107,random,random,tickets,14,29,74
108,random,random,tickets,32,50,68
109,random,random,tickets,19,36,59
110,random,random,tickets,34,27,68
111,random,random,tickets,6,11,60
112,random,random,tickets,42,46,-108
113,random,random,tickets,27,38,76
114,random,random,tickets,19,29,6
115,random,random,tickets,16,11,23
116,random,random,tickets,18,40,48
117,random,random,tickets,30,40,-214
118,random,random,tickets,30,38,25
119,random,random,tickets,16,8,48
120,random,random,tickets,39,20,-176
121,random,random,tickets,40,35,59
122,random,random,tickets,6,26,34
123,random,random,tickets,23,29,72
124,random,random,tickets,33,42,-212
125,random,random,tickets,11,19,55
126,random,random,tickets,25,31,-203
127,random,random,tickets,44,25,19
128,random,random,tickets,26,29,8
129,random,random,tickets,36,26,62
130,random,random,tickets,36,16,48
131,random,random,tickets,30,45,72
132,random,random,tickets,19,47,-10
133,random,random,tickets,34,30,32
134,random,random,tickets,35,40,34
135,random,random,tickets,43,33,9
136,random,random,tickets,44,28,42
137,random,random,tickets,27,11,59
138,random,random,tickets,47,28,67
139,random,random,tickets,27,24,51
140,random,random,tickets,32,-1,30
141,random,random,tickets,27,15,78
142,random,random,tickets,41,36,-133
143,random,random,tickets,39,38,-122
144,random,random,tickets,48,23,16
145,random,random,tickets,25,38,57
146,random,random,tickets,23,31,29
147,random,random,tickets,37,20,76
148,random,random,tickets,43,22,-127
149,random,random,tickets,35,36,18
150,random,random,tickets,36,44,-88
151,random,random,tickets,37,31,11
152,random,random,tickets,28,43,-31
153,random,random,tickets,39,32,-54
154,random,random,tickets,57,14,-228
155,random,random,tickets,22,24,29
156,random,random,tickets,48,29,39
157,random,random,tickets,28,11,2
158,random,random,tickets,46,31,-11
159,random,random,tickets,35,23,45
160,random,random,tickets,15,17,66
161,random,random,tickets,19,38,50
162,random,random,tickets,30,45,55
163,random,random,tickets,10,22,41
164,random,random,tickets,31,34,67
165,random,random,tickets,8,34,45
166,random,random,tickets,34,28,88
167,random,random,tickets,67,31,-157
168,random,random,tickets,37,-1,15
169,random,random,tickets,34,45,-91
170,random,random,tickets,21,22,49
171,random,random,tickets,18,20,44
172,random,random,tickets,32,7,30
173,random,random,tickets,52,38,55
174,random,random,tickets,24,36,69
175,random,random,tickets,43,13,13
176,random,random,tickets,26,27,47
177,random,random,tickets,30,42,48
178,random,random,tickets,23,37,-120
179,random,random,tickets,5,6,79
180,random,random,tickets,19,28,97
181,random,random,tickets,34,58,-164
182,random,random,tickets,29,33,46
183,random,random,tickets,38,31,69
184,random,random,tickets,16,32,35
185,random,random,tickets,31,25,63
186,random,random,tickets,21,33,69
187,random,random,tickets,18,17,71
188,random,random,tickets,26,35,45
189,random,random,tickets,12,4,78
190,random,random,tickets,8,25,69
191,random,random,tickets,54,43,32
192,random,random,tickets,26,20,69
193,random,random,tickets,42,37,-229
194,random,random,tickets,36,21,-23
195,random,random,tickets,14,23,38
196,random,random,tickets,25,19,29
197,random,random,tickets,47,35,-41
198,random,random,tickets,32,40,65
199,random,random,tickets,33,53,-6
200,random,random,tickets,46,34,37
201,random,random,tickets,25,31,25
202,random,random,tickets,51,28,35
203,random,random,tickets,28,20,46
204,random,random,tickets,23,24,-49
205,random,random,tickets,18,18,83
206,random,random,tickets,38,25,1
207,random,random,tickets,27,37,25
208,random,random,tickets,49,48,57
209,random,random,tickets,17,23,67
210,random,random,tickets,31,13,100
211,random,random,tickets,26,34,42
212,random,random,tickets,30,33,-42
213,random,random,tickets,21,27,68
214,random,random,tickets,39,20,21
215,random,random,tickets,13,20,64
216,random,random,tickets,17,42,52
217,random,random,tickets,31,13,73
218,random,random,tickets,16,33,50
219,random,random,tickets,47,23,78
220,random,random,tickets,26,44,101
221,random,random,tickets,25,20,83
222,random,random,tickets,38,23,59
223,random,random,tickets,20,9,76
224,random,random,tickets,41,35,22
225,random,random,tickets,31,34,43
226,random,random,tickets,32,61,2
227,random,random,tickets,27,30,33
228,random,random,tickets,7,19,44
229,random,random,tickets,41,11,-6
230,random,random,tickets,3,13,87
231,random,random,tickets,23,24,31
232,random,random,tickets,37,52,53
233,random,random,tickets,30,32,-84
234,random,random,tickets,18,13,45
235,random,random,tickets,29,13,78
236,random,random,tickets,19,24,46
