game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,random,route,random,26,72,32
1,random,route,random,47,93,17
2,random,route,random,30,94,56
3,random,route,random,17,87,37
4,random,route,random,54,93,14
5,random,route,random,45,76,43
6,random,route,random,20,99,45
7,random,route,random,21,102,29
8,random,route,random,49,76,28
9,random,route,random,27,79,20
10,random,route,random,25,87,31
11,random,route,random,42,68,42
12,random,route,random,17,111,45
13,random,route,random,28,82,18
14,random,route,random,46,91,23
15,random,route,random,23,92,37
16,random,route,random,12,66,50
17,random,route,random,24,99,32
18,random,route,random,31,76,54
19,random,route,random,42,83,42
20,random,route,random,42,100,42
21,random,route,random,26,104,34
22,random,route,random,29,101,55
23,random,route,random,36,81,64
24,random,route,random,28,85,48
25,random,route,random,38,74,19
26,random,route,random,27,80,44
27,random,route,random,45,62,20
28,random,route,random,33,86,46
29,random,route,random,35,91,25
30,random,route,random,38,72,38
31,random,route,random,31,88,29
32,random,route,random,31,95,35
33,random,route,random,53,93,25
34,random,route,random,43,81,48
35,random,route,random,43,94,18
36,random,route,random,45,84,40
37,random,route,random,32,86,54
38,random,route,random,54,89,20
39,random,route,random,53,105,33
40,random,route,random,31,94,46
41,random,route,random,38,70,41
42,random,route,random,47,87,34
43,random,route,random,46,64,40
44,random,route,random,26,91,35
45,random,route,random,29,105,63
46,random,route,random,35,85,55
47,random,route,random,21,90,35
48,random,route,random,54,71,17
49,random,route,random,43,87,45
50,random,route,random,43,85,38
51,random,route,random,13,79,41
52,random,route,random,26,97,54
53,random,route,random,46,80,64
54,random,route,random,26,96,26
55,random,route,random,13,101,46
56,random,route,random,34,83,45
57,random,route,random,34,93,28
58,random,route,random,46,79,12
59,random,route,random,45,73,25
60,random,route,random,29,99,44
61,random,route,random,29,89,35
62,random,route,random,47,100,23
63,random,route,random,18,96,50
64,random,route,random,37,76,36
65,random,route,random,39,85,32
66,random,route,random,21,80,35
67,random,route,random,31,84,30
68,random,route,random,40,82,55
69,random,route,random,62,84,41
70,random,route,random,50,97,25
71,random,route,random,21,99,29
72,random,route,random,46,88,35
73,random,route,random,30,85,30
74,random,route,random,38,70,48
75,random,route,random,54,84,45
76,random,route,random,26,94,33
77,random,route,random,41,95,35
78,random,route,random,11,97,24
79,random,route,random,45,89,39
80,random,route,random,41,89,32
81,random,route,random,29,79,34
82,random,route,random,44,85,55
83,random,route,random,50,89,22
84,random,route,random,29,77,50
85,random,route,random,17,82,37
86,random,route,random,48,99,46
87,random,route,random,43,83,38
88,random,route,random,36,82,41
89,random,route,random,55,94,32
90,random,route,random,40,75,42
91,random,route,random,7,80,44
92,random,route,random,45,83,50
93,random,route,random,43,83,45
94,random,route,random,57,81,36
95,random,route,random,57,78,32
96,random,route,random,15,109,45
97,random,route,random,32,81,56
98,random,route,random,38,88,41
99,random,route,random,58,94,34
100,random,route,random,38,96,38
101,random,route,random,33,92,56
102,random,route,random,41,71,35
103,random,route,random,29,81,37
104,random,route,random,50,101,45
105,random,route,random,35,96,26
106,random,route,random,56,81,43
107,random,route,random,27,89,34
108,random,route,random,43,99,44
109,random,route,random,37,72,64
110,random,route,random,65,71,39
111,random,route,random,34,79,31
112,random,route,random,38,96,29
113,random,route,random,37,100,45
114,random,route,random,33,104,37
115,random,route,random,35,95,33
116,random,route,random,38,90,26
117,random,route,random,22,71,34
118,random,route,random,56,89,40
119,random,route,random,45,83,38
120,random,route,random,50,75,23
121,random,route,random,61,81,12
122,random,route,random,37,75,62
123,random,route,random,51,67,45
124,random,route,random,42,74,20
125,random,route,random,23,98,1
126,random,route,random,55,99,56
127,random,route,random,32,88,67
128,random,route,random,30,84,36
129,random,route,random,18,91,32
130,random,route,random,29,85,22
131,random,route,random,45,92,12
132,random,route,random,14,81,55
133,random,route,random,32,92,27
134,random,route,random,34,86,37
135,random,route,random,57,94,21
136,random,route,random,34,82,41
137,random,route,random,31,85,30
138,random,route,random,33,90,35
139,random,route,random,51,105,50
140,random,route,random,21,99,46
141,random,route,random,18,94,34
142,random,route,random,47,87,22
143,random,route,random,30,92,50
144,random,route,random,44,89,47
145,random,route,random,26,91,31
146,random,route,random,43,80,31
147,random,route,random,16,77,24
148,random,route,random,32,85,45
149,random,route,random,36,94,33
150,random,route,random,37,100,38
151,random,route,random,21,72,30
152,random,route,random,25,69,45
153,random,route,random,12,80,35
154,random,route,random,45,71,42
155,random,route,random,35,100,32
156,random,route,random,27,91,46
157,random,route,random,24,93,35
158,random,route,random,32,72,48
159,random,route,random,31,79,47
160,random,route,random,48,87,30
161,random,route,random,27,98,33
162,random,route,random,26,94,22
163,random,route,random,43,85,47
164,random,route,random,41,96,27
165,random,route,random,28,85,49
166,random,route,random,33,71,36
167,random,route,random,50,74,45
168,random,route,random,36,78,28
169,random,route,random,26,98,33
170,random,route,random,32,88,47
171,random,route,random,32,92,16
172,random,route,random,42,85,52
173,random,route,random,24,97,45
174,random,route,random,24,83,51
175,random,route,random,39,105,56
176,random,route,random,34,104,28
177,random,route,random,33,81,26
178,random,route,random,46,80,41
179,random,route,random,35,100,29
180,random,route,random,24,89,37
181,random,route,random,39,84,18
182,random,route,random,44,92,50
183,random,route,random,14,98,40
184,random,route,random,21,88,21
185,random,route,random,26,83,49
186,random,route,random,61,96,34
187,random,route,random,32,85,13
188,random,route,random,57,94,39
189,random,route,random,42,90,52
190,random,route,random,56,86,39
191,random,route,random,44,72,32
192,random,route,random,47,77,50
193,random,route,random,37,75,31
194,random,route,random,49,85,13
195,random,route,random,44,88,38
196,random,route,random,24,84,31
197,random,route,random,59,82,46
198,random,route,random,48,91,32
199,random,route,random,55,92,44
200,random,route,random,45,74,24
201,random,route,random,45,91,45
202,random,route,random,27,72,44
203,random,route,random,10,80,48
204,random,route,random,32,88,53
205,random,route,random,43,94,34
206,random,route,random,19,98,34
207,random,route,random,8,71,46
208,random,route,random,24,85,29
209,random,route,random,58,79,23
210,random,route,random,38,106,29
211,random,route,random,54,92,20
212,random,route,random,55,96,35
213,random,route,random,38,85,35
214,random,route,random,52,101,56
215,random,route,random,37,87,39
216,random,route,random,31,95,43
217,random,route,random,24,85,45
218,random,route,random,34,87,34
219,random,route,random,42,92,26
220,random,route,random,24,84,42
221,random,route,random,20,79,52
222,random,route,random,13,73,36
223,random,route,random,45,92,34
224,random,route,random,54,76,30
225,random,route,random,22,100,43
226,random,route,random,17,98,31
227,random,route,random,57,105,37
228,random,route,random,53,94,33
229,random,route,random,42,99,41
230,random,route,random,15,105,46
231,random,route,random,37,80,46
232,random,route,random,43,79,45
233,random,route,random,56,76,47
234,random,route,random,20,94,36
235,random,route,random,41,86,35
236,random,route,random,24,95,27
237,random,route,random,35,84,27
238,random,route,random,15,99,29
239,random,route,random,29,98,33
240,random,route,random,32,103,48
241,random,route,random,19,77,60
242,random,route,random,26,64,44
243,random,route,random,23,94,39
244,random,route,random,32,105,43
245,random,route,random,48,94,9
246,random,route,random,40,73,37
247,random,route,random,39,79,28
248,random,route,random,37,85,38
249,random,route,random,55,67,46
250,random,route,random,39,86,22
251,random,route,random,34,95,42
252,random,route,random,14,97,43
253,random,route,random,54,85,20
254,random,route,random,51,88,27
255,random,route,random,29,98,48
256,random,route,random,10,104,26
257,random,route,random,36,83,38
258,random,route,random,20,85,17
259,random,route,random,35,81,48
260,random,route,random,55,91,34
261,random,route,random,34,90,38
262,random,route,random,47,89,36
263,random,route,random,32,88,34
264,random,route,random,33,96,38
265,random,route,random,23,79,51
266,random,route,random,49,83,25
267,random,route,random,37,89,17
268,random,route,random,24,74,27
269,random,route,random,42,90,39
270,random,route,random,31,93,55
271,random,route,random,3,106,46
272,random,route,random,44,85,33
273,random,route,random,32,74,36
274,random,route,random,29,75,47
275,random,route,random,35,101,44
276,random,route,random,29,75,38
277,random,route,random,41,87,39
278,random,route,random,39,85,38
279,random,route,random,46,90,35
280,random,route,random,21,72,43
281,random,route,random,10,86,43
282,random,route,random,26,72,14
283,random,route,random,51,85,42
284,random,route,random,54,88,29
285,random,route,random,12,92,48
286,random,route,random,46,94,20
287,random,route,random,43,96,35
288,random,route,random,34,89,49
289,random,route,random,27,99,41
290,random,route,random,41,75,56
291,random,route,random,45,87,32
292,random,route,random,40,77,49
293,random,route,random,29,92,52
294,random,route,random,25,85,46
295,random,route,random,36,90,31
296,random,route,random,32,72,26
297,random,route,random,31,75,46
298,random,route,random,26,96,33
299,random,route,random,40,89,30
300,random,route,random,49,77,35
301,random,route,random,24,92,59
302,random,route,random,23,96,32
303,random,route,random,54,99,28
304,random,route,random,56,78,20
305,random,route,random,42,85,44
306,random,route,random,48,83,21
307,random,route,random,55,86,19
308,random,route,random,54,85,24
309,random,route,random,33,78,27
310,random,route,random,29,76,39
311,random,route,random,40,89,39
312,random,route,random,34,110,52
313,random,route,random,38,83,40
314,random,route,random,19,89,43
315,random,route,random,40,87,27
316,random,route,random,38,82,35
317,random,route,random,43,100,22
318,random,route,random,57,83,32
319,random,route,random,39,79,28
320,random,route,random,41,88,56
321,random,route,random,46,94,42
322,random,route,random,43,77,34
323,random,route,random,58,82,30
324,random,route,random,35,99,32
325,random,route,random,52,105,29
326,random,route,random,18,99,17
327,random,route,random,39,110,10
328,random,route,random,37,89,16
329,random,route,random,29,98,40
330,random,route,random,42,79,35
331,random,route,random,35,90,37
332,random,route,random,58,77,18
333,random,route,random,35,88,37
334,random,route,random,36,95,41
335,random,route,random,45,78,31
336,random,route,random,57,91,31
337,random,route,random,42,74,31
338,random,route,random,46,98,23
339,random,route,random,45,104,39
340,random,route,random,32,103,28
341,random,route,random,39,95,19
342,random,route,random,28,97,57
343,random,route,random,28,92,33
344,random,route,random,64,82,28
345,random,route,random,51,83,40
346,random,route,random,55,74,19
347,random,route,random,38,104,54
348,random,route,random,35,91,41
349,random,route,random,29,92,28
350,random,route,random,57,81,31
351,random,route,random,50,88,21
352,random,route,random,46,84,45
353,random,route,random,44,96,29
354,random,route,random,34,89,30
355,random,route,random,40,94,32
356,random,route,random,34,97,32
357,random,route,random,22,89,45
358,random,route,random,36,79,35
359,random,route,random,23,88,34
360,random,route,random,31,95,35
361,random,route,random,36,80,6
362,random,route,random,35,64,52
363,random,route,random,50,83,32
364,random,route,random,47,94,38
365,random,route,random,33,93,56
366,random,route,random,47,91,40
367,random,route,random,37,91,29
368,random,route,random,28,89,30
369,random,route,random,43,78,44
370,random,route,random,47,81,15
371,random,route,random,49,92,39
372,random,route,random,41,85,36
373,random,route,random,46,81,25
374,random,route,random,45,95,44
375,random,route,random,27,95,35
376,random,route,random,34,85,34
377,random,route,random,40,99,39
378,random,route,random,40,89,45
379,random,route,random,44,96,29
380,random,route,random,37,84,21
381,random,route,random,25,89,37
382,random,route,random,44,95,33
383,random,route,random,34,99,35
384,random,route,random,35,95,40
385,random,route,random,19,77,48
386,random,route,random,40,92,21
387,random,route,random,29,92,50
388,random,route,random,39,81,37
389,random,route,random,40,81,48
390,random,route,random,39,93,33
391,random,route,random,56,84,44
392,random,route,random,28,84,44
393,random,route,random,44,87,29
394,random,route,random,37,102,31
395,random,route,random,28,92,28
396,random,route,random,39,90,53
397,random,route,random,46,84,54
398,random,route,random,36,88,37
399,random,route,random,25,85,29
400,random,route,random,43,99,31
401,random,route,random,45,76,52
402,random,route,random,46,69,53
403,random,route,random,62,82,53
404,random,route,random,30,99,37
405,random,route,random,16,115,19
406,random,route,random,43,85,53
407,random,route,random,45,87,46
408,random,route,random,32,83,39
409,random,route,random,26,87,43
410,random,route,random,28,99,44
411,random,route,random,48,96,9
412,random,route,random,35,95,55
413,random,route,random,38,94,39
414,random,route,random,54,71,43
415,random,route,random,49,64,37
416,random,route,random,45,98,19
417,random,route,random,36,95,32
418,random,route,random,55,102,24
419,random,route,random,34,93,30
420,random,route,random,41,82,25
421,random,route,random,38,79,32
422,random,route,random,32,102,32
423,random,route,random,37,81,44
424,random,route,random,36,68,40
425,random,route,random,25,108,53
426,random,route,random,57,92,30
427,random,route,random,45,80,48
428,random,route,random,28,102,33
429,random,route,random,13,105,47
430,random,route,random,39,86,38
431,random,route,random,23,100,34
432,random,route,random,41,75,51
433,random,route,random,63,92,39
434,random,route,random,37,79,38
435,random,route,random,26,98,32
436,random,route,random,39,92,42
437,random,route,random,37,98,46
438,random,route,random,38,82,28
439,random,route,random,35,92,47
440,random,route,random,22,83,32
441,random,route,random,41,87,15
442,random,route,random,50,72,50
443,random,route,random,68,89,30
444,random,route,random,18,94,40
445,random,route,random,57,81,42
446,random,route,random,47,86,43
447,random,route,random,43,72,33
448,random,route,random,57,75,22
449,random,route,random,42,85,44
450,random,route,random,25,77,32
451,random,route,random,41,81,36
452,random,route,random,47,96,32
453,random,route,random,43,77,30
