game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,random,route,route,19,86,89
1,random,route,route,16,84,84
2,random,route,route,13,76,83
3,random,route,route,22,96,94
4,random,route,route,2,91,69
5,random,route,route,7,63,95
6,random,route,route,-2,107,63
7,random,route,route,22,69,97
8,random,route,route,20,92,80
9,random,route,route,20,92,85
10,random,route,route,11,104,65
11,random,route,route,16,92,62
12,random,route,route,7,70,87
13,random,route,route,29,80,92
14,random,route,route,20,67,91
15,random,route,route,16,82,78
16,random,route,route,6,78,70
17,random,route,route,-5,75,95
18,random,route,route,-8,72,95
19,random,route,route,-4,91,71
20,random,route,route,20,96,81
21,random,route,route,11,74,95
22,random,route,route,-7,77,78
23,random,route,route,20,92,80
24,random,route,route,3,99,82
25,random,route,route,10,71,77
26,random,route,route,0,89,85
27,random,route,route,20,84,91
28,random,route,route,29,66,73
29,random,route,route,4,91,89
30,random,route,route,9,81,90
31,random,route,route,12,92,68
32,random,route,route,29,89,72
33,random,route,route,10,91,88
34,random,route,route,-18,55,91
35,random,route,route,1,83,81
36,random,route,route,18,83,79
37,random,route,route,5,74,59
38,random,route,route,19,100,79
39,random,route,route,13,95,82
40,random,route,route,10,69,89
41,random,route,route,-6,79,100
42,random,route,route,20,80,76
43,random,route,route,23,78,80
44,random,route,route,12,94,79
45,random,route,route,5,95,78
46,random,route,route,24,75,98
47,random,route,route,11,90,91
48,random,route,route,13,92,72
49,random,route,route,10,91,87
50,random,route,route,-6,95,63
51,random,route,route,16,70,99
52,random,route,route,7,98,69
53,random,route,route,21,85,88
54,random,route,route,8,80,88
55,random,route,route,13,79,87
56,random,route,route,-6,94,87
57,random,route,route,5,88,99
58,random,route,route,23,86,96
59,random,route,route,19,62,74
60,random,route,route,12,79,93
61,random,route,route,6,72,74
62,random,route,route,6,85,92
63,random,route,route,14,67,83
64,random,route,route,6,86,110
65,random,route,route,23,84,81
66,random,route,route,7,103,74
67,random,route,route,9,90,94
68,random,route,route,29,97,81
69,random,route,route,6,92,65
70,random,route,route,29,86,95
71,random,route,route,1,82,82
72,random,route,route,2,98,64
73,random,route,route,-5,72,71
74,random,route,route,33,79,87
75,random,route,route,-2,77,98
76,random,route,route,10,78,89
77,random,route,route,-1,82,83
78,random,route,route,15,88,81
79,random,route,route,20,95,73
80,random,route,route,17,68,93
81,random,route,route,19,81,92
82,random,route,route,21,84,83
83,random,route,route,3,99,86
84,random,route,route,9,92,88
85,random,route,route,17,82,72
86,random,route,route,21,88,92
87,random,route,route,22,65,78
88,random,route,route,17,86,96
89,random,route,route,31,104,66
90,random,route,route,6,84,59
91,random,route,route,0,91,97
92,random,route,route,15,82,82
93,random,route,route,14,94,89
94,random,route,route,6,68,92
95,random,route,route,5,88,83
96,random,route,route,13,74,86
97,random,route,route,16,115,81
98,random,route,route,15,79,86
99,random,route,route,-7,96,86
100,random,route,route,25,95,75
101,random,route,route,25,79,77
102,random,route,route,22,95,72
103,random,route,route,-1,83,95
104,random,route,route,0,91,66
105,random,route,route,23,61,78
106,random,route,route,7,70,69
107,random,route,route,35,87,83
108,random,route,route,-2,68,78
109,random,route,route,7,88,75
110,random,route,route,7,101,71
111,random,route,route,0,89,87
112,random,route,route,7,82,77
113,random,route,route,13,66,107
114,random,route,route,16,107,69
115,random,route,route,13,109,72
116,random,route,route,1,79,103
117,random,route,route,9,86,91
118,random,route,route,31,72,95
119,random,route,route,14,92,89
120,random,route,route,-3,86,78
121,random,route,route,20,98,66
122,random,route,route,10,77,73
123,random,route,route,23,81,76
124,random,route,route,15,80,91
125,random,route,route,22,95,79
126,random,route,route,18,94,82
127,random,route,route,-10,96,77
128,random,route,route,21,96,70
129,random,route,route,4,95,93
130,random,route,route,4,56,82
131,random,route,route,19,85,64
132,random,route,route,18,80,94
133,random,route,route,-2,59,95
134,random,route,route,7,82,88
135,random,route,route,9,100,89
136,random,route,route,-5,72,88
137,random,route,route,5,78,58
138,random,route,route,-2,94,95
139,random,route,route,31,90,75
140,random,route,route,4,84,93
141,random,route,route,5,83,87
142,random,route,route,27,95,73
143,random,route,route,3,83,97
144,random,route,route,11,85,90
145,random,route,route,19,95,77
146,random,route,route,-7,115,55
147,random,route,route,25,94,76
148,random,route,route,12,73,78
149,random,route,route,7,90,86
150,random,route,route,10,104,86
151,random,route,route,5,85,71
152,random,route,route,12,73,83
153,random,route,route,3,87,87
154,random,route,route,8,99,63
155,random,route,route,12,81,81
156,random,route,route,6,71,90
157,random,route,route,7,92,57
158,random,route,route,19,87,99
159,random,route,route,13,76,78
160,random,route,route,1,69,82
161,random,route,route,11,99,84
162,random,route,route,18,90,90
163,random,route,route,8,79,65
164,random,route,route,-5,106,56
165,random,route,route,-3,42,96
166,random,route,route,11,102,65
167,random,route,route,25,102,68
168,random,route,route,27,91,71
169,random,route,route,-4,77,89
170,random,route,route,16,66,92
171,random,route,route,19,94,73
172,random,route,route,-2,72,78
173,random,route,route,21,70,89
174,random,route,route,-3,90,70
175,random,route,route,14,106,95
176,random,route,route,3,66,84
177,random,route,route,19,106,71
178,random,route,route,23,86,62
179,random,route,route,30,73,89
180,random,route,route,10,93,63
181,random,route,route,8,83,81
182,random,route,route,18,97,78
183,random,route,route,5,93,89
184,random,route,route,14,90,63
185,random,route,route,24,81,73
186,random,route,route,-2,83,63
187,random,route,route,5,74,77
188,random,route,route,10,93,73
189,random,route,route,8,90,73
190,random,route,route,9,91,78
191,random,route,route,11,96,78
192,random,route,route,18,100,83
193,random,route,route,11,97,80
194,random,route,route,0,69,74
195,random,route,route,25,73,95
196,random,route,route,6,96,89
197,random,route,route,16,85,106
198,random,route,route,20,76,78
199,random,route,route,12,77,83
200,random,route,route,19,82,93
201,random,route,route,7,82,78
202,random,route,route,10,65,96
203,random,route,route,-6,88,91
204,random,route,route,4,75,91
205,random,route,route,7,94,76
206,random,route,route,11,73,82
207,random,route,route,2,85,75
208,random,route,route,10,86,95
209,random,route,route,22,77,89
210,random,route,route,7,65,94
211,random,route,route,7,91,88
212,random,route,route,9,88,73
213,random,route,route,15,104,91
214,random,route,route,-15,95,83
215,random,route,route,-8,72,85
216,random,route,route,-13,79,88
217,random,route,route,-1,89,69
218,random,route,route,-2,70,84
219,random,route,route,11,84,84
220,random,route,route,8,88,105
221,random,route,route,20,62,93
222,random,route,route,-5,87,79
223,random,route,route,6,96,94
224,random,route,route,3,93,72
225,random,route,route,21,71,97
