game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,random,route,tickets,31,74,48
1,random,route,tickets,26,72,-18
2,random,route,tickets,28,76,-86
3,random,route,tickets,33,92,-15
4,random,route,tickets,49,79,80
5,random,route,tickets,8,87,79
6,random,route,tickets,16,94,74
7,random,route,tickets,35,105,-16
8,random,route,tickets,26,81,133
9,random,route,tickets,32,94,75
10,random,route,tickets,40,97,-169
11,random,route,tickets,29,63,47
12,random,route,tickets,23,79,9
13,random,route,tickets,33,68,82
14,random,route,tickets,42,86,-168
15,random,route,tickets,19,87,36
16,random,route,tickets,51,73,-83
17,random,route,tickets,25,85,11
18,random,route,tickets,36,72,52
19,random,route,tickets,12,74,34
20,random,route,tickets,17,94,68
21,random,route,tickets,19,96,18
22,random,route,tickets,14,81,23
23,random,route,tickets,25,94,77
24,random,route,tickets,30,86,64
25,random,route,tickets,9,90,80
26,random,route,tickets,11,86,81
27,random,route,tickets,34,76,-34
28,random,route,tickets,16,105,-5
29,random,route,tickets,20,83,40
30,random,route,tickets,20,101,53
31,random,route,tickets,30,92,30
32,random,route,tickets,24,86,49
33,random,route,tickets,6,86,75
34,random,route,tickets,33,87,91
35,random,route,tickets,12,84,65
36,random,route,tickets,-7,70,56
37,random,route,tickets,28,72,38
38,random,route,tickets,27,84,74
39,random,route,tickets,7,74,8
40,random,route,tickets,4,87,73
41,random,route,tickets,20,81,30
42,random,route,tickets,45,86,59
43,random,route,tickets,40,102,16
44,random,route,tickets,23,73,-26
45,random,route,tickets,32,100,11
46,random,route,tickets,20,102,-31
47,random,route,tickets,31,94,84
48,random,route,tickets,20,83,54
49,random,route,tickets,41,87,52
50,random,route,tickets,7,105,45
51,random,route,tickets,35,75,52
52,random,route,tickets,9,72,87
53,random,route,tickets,22,74,-30
54,random,route,tickets,43,80,-44
55,random,route,tickets,32,78,-68
56,random,route,tickets,32,89,47
57,random,route,tickets,0,87,76
58,random,route,tickets,10,72,87
59,random,route,tickets,26,83,53
60,random,route,tickets,36,92,-65
61,random,route,tickets,42,88,-42
62,random,route,tickets,17,69,37
63,random,route,tickets,36,92,35
64,random,route,tickets,26,87,18
65,random,route,tickets,26,90,58
66,random,route,tickets,34,63,-97
67,random,route,tickets,26,75,99
68,random,route,tickets,28,90,64
69,random,route,tickets,24,85,5
70,random,route,tickets,26,84,54
71,random,route,tickets,11,75,-55
72,random,route,tickets,41,92,-108
73,random,route,tickets,30,90,41
74,random,route,tickets,38,99,20
75,random,route,tickets,14,64,33
76,random,route,tickets,27,83,36
77,random,route,tickets,30,88,-173
78,random,route,tickets,27,87,46
79,random,route,tickets,33,99,24
80,random,route,tickets,13,89,55
81,random,route,tickets,15,80,77
82,random,route,tickets,30,81,62
83,random,route,tickets,40,85,37
84,random,route,tickets,10,108,22
85,random,route,tickets,23,76,60
86,random,route,tickets,14,95,-14
87,random,route,tickets,51,94,-36
88,random,route,tickets,26,89,59
89,random,route,tickets,41,105,17
90,random,route,tickets,6,94,49
91,random,route,tickets,16,88,19
92,random,route,tickets,22,92,30
93,random,route,tickets,46,89,-101
94,random,route,tickets,24,85,36
95,random,route,tickets,11,96,-162
96,random,route,tickets,23,79,81
97,random,route,tickets,9,87,57
98,random,route,tickets,9,99,68
99,random,route,tickets,33,70,2
100,random,route,tickets,36,78,67
101,random,route,tickets,24,80,-2
102,random,route,tickets,31,88,-41
103,random,route,tickets,35,94,-18
104,random,route,tickets,31,78,60
105,random,route,tickets,17,96,68
106,random,route,tickets,29,93,42
107,random,route,tickets,34,91,47
108,random,route,tickets,14,84,46
109,random,route,tickets,16,92,30
110,random,route,tickets,46,83,-68
111,random,route,tickets,33,84,-196
112,random,route,tickets,41,85,-137
113,random,route,tickets,28,77,29
114,random,route,tickets,36,98,86
115,random,route,tickets,13,71,35
116,random,route,tickets,29,74,44
117,random,route,tickets,52,104,-10
118,random,route,tickets,33,77,76
119,random,route,tickets,22,94,71
120,random,route,tickets,42,83,43
121,random,route,tickets,28,82,24
122,random,route,tickets,8,70,69
123,random,route,tickets,35,78,-49
124,random,route,tickets,18,83,68
125,random,route,tickets,31,82,33
126,random,route,tickets,10,94,56
127,random,route,tickets,11,88,72
128,random,route,tickets,17,75,54
129,random,route,tickets,24,90,37
130,random,route,tickets,24,79,60
131,random,route,tickets,-1,76,63
132,random,route,tickets,35,85,30
133,random,route,tickets,23,89,21
134,random,route,tickets,21,82,58
135,random,route,tickets,13,79,81
136,random,route,tickets,27,75,-15
137,random,route,tickets,21,83,-110
138,random,route,tickets,32,78,-31
139,random,route,tickets,28,68,59
140,random,route,tickets,35,77,79
141,random,route,tickets,29,94,101
142,random,route,tickets,41,99,12
143,random,route,tickets,27,80,53
144,random,route,tickets,22,74,75
145,random,route,tickets,14,83,67
146,random,route,tickets,23,85,37
147,random,route,tickets,31,94,59
148,random,route,tickets,42,80,-5
149,random,route,tickets,21,79,91
150,random,route,tickets,25,104,67
151,random,route,tickets,23,88,95
152,random,route,tickets,18,83,77
153,random,route,tickets,28,75,-46
154,random,route,tickets,30,78,-22
155,random,route,tickets,19,99,47
156,random,route,tickets,10,77,84
157,random,route,tickets,26,90,59
158,random,route,tickets,18,88,23
159,random,route,tickets,23,99,14
160,random,route,tickets,28,85,-45
161,random,route,tickets,32,77,33
162,random,route,tickets,14,92,82
163,random,route,tickets,28,110,11
164,random,route,tickets,27,96,-44
165,random,route,tickets,19,87,46
166,random,route,tickets,10,87,118
167,random,route,tickets,54,105,36
168,random,route,tickets,26,105,-8
169,random,route,tickets,4,94,44
170,random,route,tickets,28,94,30
171,random,route,tickets,23,75,66
172,random,route,tickets,23,77,-74
173,random,route,tickets,16,74,49
174,random,route,tickets,5,105,83
175,random,route,tickets,36,95,-190
176,random,route,tickets,12,76,-40
177,random,route,tickets,42,85,15
178,random,route,tickets,31,75,9
179,random,route,tickets,41,88,41
180,random,route,tickets,31,76,-68
181,random,route,tickets,34,79,-18
182,random,route,tickets,14,94,98
183,random,route,tickets,36,85,-24
184,random,route,tickets,1,77,65
185,random,route,tickets,28,100,32
186,random,route,tickets,46,105,53
187,random,route,tickets,47,83,39
188,random,route,tickets,17,89,20
189,random,route,tickets,49,105,-161
190,random,route,tickets,22,81,71
191,random,route,tickets,29,75,56
192,random,route,tickets,-4,87,75
193,random,route,tickets,26,76,78
194,random,route,tickets,16,96,48
195,random,route,tickets,40,95,-22
196,random,route,tickets,31,94,58
197,random,route,tickets,36,85,14
198,random,route,tickets,32,92,9
199,random,route,tickets,27,74,76
200,random,route,tickets,33,75,-192
201,random,route,tickets,17,105,75
202,random,route,tickets,28,68,44
203,random,route,tickets,26,86,47
204,random,route,tickets,35,74,53
205,random,route,tickets,7,84,-24
206,random,route,tickets,27,105,-89
207,random,route,tickets,42,80,54
208,random,route,tickets,25,80,-6
209,random,route,tickets,41,88,-58
210,random,route,tickets,19,94,40
211,random,route,tickets,33,86,65
212,random,route,tickets,26,83,68
213,random,route,tickets,38,75,0
214,random,route,tickets,11,93,25
215,random,route,tickets,22,96,39
216,random,route,tickets,21,84,8
217,random,route,tickets,8,83,22
218,random,route,tickets,17,80,79
219,random,route,tickets,28,101,51
220,random,route,tickets,63,87,-208
221,random,route,tickets,9,64,22
222,random,route,tickets,22,75,12
223,random,route,tickets,33,72,-218
224,random,route,tickets,14,72,54
225,random,route,tickets,16,86,59
226,random,route,tickets,14,100,30
227,random,route,tickets,36,89,-230
228,random,route,tickets,31,105,66
229,random,route,tickets,20,76,61
230,random,route,tickets,21,92,-123
231,random,route,tickets,44,87,48
232,random,route,tickets,22,99,62
233,random,route,tickets,40,82,21
234,random,route,tickets,13,88,11
235,random,route,tickets,33,93,-32
236,random,route,tickets,22,99,-44
237,random,route,tickets,21,84,37
238,random,route,tickets,21,81,93
239,random,route,tickets,24,84,55
240,random,route,tickets,39,101,-85
241,random,route,tickets,29,96,64
242,random,route,tickets,24,85,34
243,random,route,tickets,9,83,65
244,random,route,tickets,22,91,10
245,random,route,tickets,31,74,68
246,random,route,tickets,22,94,91
247,random,route,tickets,25,73,82
248,random,route,tickets,26,76,47
249,random,route,tickets,25,92,41
250,random,route,tickets,23,73,37
251,random,route,tickets,40,101,67
252,random,route,tickets,48,84,24
253,random,route,tickets,16,80,62
254,random,route,tickets,31,105,52
255,random,route,tickets,15,72,30
256,random,route,tickets,34,85,72
257,random,route,tickets,17,81,49
258,random,route,tickets,22,92,30
259,random,route,tickets,32,85,62
260,random,route,tickets,33,86,47
261,random,route,tickets,30,88,70
262,random,route,tickets,31,92,95
263,random,route,tickets,21,87,33
264,random,route,tickets,32,95,5
265,random,route,tickets,36,78,19
266,random,route,tickets,23,92,105
267,random,route,tickets,17,82,38
268,random,route,tickets,44,75,32
269,random,route,tickets,41,84,18
270,random,route,tickets,30,81,61
271,random,route,tickets,29,99,-108
272,random,route,tickets,22,85,4
273,random,route,tickets,12,78,24
274,random,route,tickets,40,88,50
275,random,route,tickets,30,89,55
276,random,route,tickets,43,74,34
277,random,route,tickets,17,83,79
278,random,route,tickets,17,73,93
279,random,route,tickets,21,90,49
280,random,route,tickets,50,96,-9
281,random,route,tickets,30,71,-205
282,random,route,tickets,12,92,48
283,random,route,tickets,35,90,67
284,random,route,tickets,27,78,51
285,random,route,tickets,48,84,-75
286,random,route,tickets,40,96,17
287,random,route,tickets,40,81,47
288,random,route,tickets,41,75,11
289,random,route,tickets,37,76,17
290,random,route,tickets,12,95,15
291,random,route,tickets,28,94,35
292,random,route,tickets,34,89,74
293,random,route,tickets,35,70,-133
294,random,route,tickets,27,97,-187
295,random,route,tickets,19,94,35
296,random,route,tickets,21,81,81
297,random,route,tickets,42,96,32
298,random,route,tickets,15,72,89
299,random,route,tickets,23,80,8
300,random,route,tickets,18,81,38
301,random,route,tickets,29,94,55
302,random,route,tickets,23,98,-11
303,random,route,tickets,14,87,37
304,random,route,tickets,29,74,9
305,random,route,tickets,28,89,76
306,random,route,tickets,24,88,21
307,random,route,tickets,12,94,19
308,random,route,tickets,46,96,66
309,random,route,tickets,53,96,-3
310,random,route,tickets,30,79,10
311,random,route,tickets,32,84,15
312,random,route,tickets,20,75,42
313,random,route,tickets,21,100,27
314,random,route,tickets,11,88,75
315,random,route,tickets,8,63,24
316,random,route,tickets,26,91,31
317,random,route,tickets,40,98,-122
318,random,route,tickets,36,85,55
319,random,route,tickets,43,85,77
320,random,route,tickets,28,96,48
321,random,route,tickets,31,72,74
322,random,route,tickets,16,81,10
323,random,route,tickets,23,89,6
324,random,route,tickets,27,84,90
325,random,route,tickets,22,100,55
326,random,route,tickets,18,96,-33
327,random,route,tickets,15,74,56
328,random,route,tickets,16,80,34
329,random,route,tickets,25,84,19
330,random,route,tickets,11,73,28
331,random,route,tickets,33,88,50
332,random,route,tickets,32,74,12
333,random,route,tickets,17,87,37
334,random,route,tickets,34,81,25
335,random,route,tickets,32,82,62
336,random,route,tickets,21,108,33
337,random,route,tickets,22,89,83
338,random,route,tickets,18,78,67
339,random,route,tickets,19,90,80
340,random,route,tickets,22,92,-68
341,random,route,tickets,27,94,31
342,random,route,tickets,49,82,-112
343,random,route,tickets,33,79,-154
344,random,route,tickets,23,87,49
345,random,route,tickets,18,93,60
346,random,route,tickets,46,91,-104
347,random,route,tickets,20,85,-93
348,random,route,tickets,29,100,52
349,random,route,tickets,31,85,-64
350,random,route,tickets,48,83,-90
351,random,route,tickets,7,81,82
352,random,route,tickets,33,87,23
353,random,route,tickets,8,89,17
354,random,route,tickets,12,79,22
355,random,route,tickets,14,90,42
356,random,route,tickets,7,75,-89
357,random,route,tickets,36,80,44
358,random,route,tickets,44,82,-72
359,random,route,tickets,26,100,52
360,random,route,tickets,14,83,55
361,random,route,tickets,22,77,-35
362,random,route,tickets,38,94,65
363,random,route,tickets,23,79,-119
364,random,route,tickets,41,105,57
365,random,route,tickets,35,96,-138
366,random,route,tickets,39,84,12
367,random,route,tickets,19,81,54
368,random,route,tickets,24,94,38
369,random,route,tickets,21,89,-200
370,random,route,tickets,6,96,39
371,random,route,tickets,8,79,31
372,random,route,tickets,33,84,39
373,random,route,tickets,9,75,33
374,random,route,tickets,12,96,82
375,random,route,tickets,12,90,103
376,random,route,tickets,26,96,76
377,random,route,tickets,13,96,35
378,random,route,tickets,7,77,70
379,random,route,tickets,12,96,54
380,random,route,tickets,26,76,76
381,random,route,tickets,31,84,60
382,random,route,tickets,28,85,67
383,random,route,tickets,26,105,69
384,random,route,tickets,-7,89,47
385,random,route,tickets,43,82,17
386,random,route,tickets,39,75,-112
387,random,route,tickets,16,82,58
388,random,route,tickets,44,93,-18
389,random,route,tickets,35,100,5
390,random,route,tickets,17,94,36
391,random,route,tickets,24,95,-6
392,random,route,tickets,29,74,78
393,random,route,tickets,24,96,-128
394,random,route,tickets,10,77,43
395,random,route,tickets,18,88,28
396,random,route,tickets,21,77,13
397,random,route,tickets,16,84,61
398,random,route,tickets,18,79,19
399,random,route,tickets,22,82,42
400,random,route,tickets,6,86,23
401,random,route,tickets,34,89,21
402,random,route,tickets,13,78,45
403,random,route,tickets,29,94,70
404,random,route,tickets,35,84,51
405,random,route,tickets,47,79,-165
406,random,route,tickets,-2,74,-17
407,random,route,tickets,39,83,-112
