game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,random,tickets,random,27,80,14
1,random,tickets,random,44,33,21
2,random,tickets,random,22,75,16
3,random,tickets,random,40,-107,46
4,random,tickets,random,35,50,38
5,random,tickets,random,36,-95,38
6,random,tickets,random,38,47,20
7,random,tickets,random,35,55,23
8,random,tickets,random,13,8,36
9,random,tickets,random,47,-155,35
10,random,tickets,random,26,61,40
11,random,tickets,random,25,69,2
12,random,tickets,random,39,39,46
13,random,tickets,random,17,82,29
14,random,tickets,random,42,68,19
15,random,tickets,random,31,74,35
16,random,tickets,random,7,65,39
17,random,tickets,random,38,-156,33
18,random,tickets,random,32,-90,30
19,random,tickets,random,19,74,23
20,random,tickets,random,13,61,16
21,random,tickets,random,36,49,37
22,random,tickets,random,42,30,22
23,random,tickets,random,47,-130,38
24,random,tickets,random,25,-81,49
25,random,tickets,random,23,67,17
26,random,tickets,random,18,22,35
27,random,tickets,random,36,59,38
28,random,tickets,random,43,18,41
29,random,tickets,random,38,48,40
30,random,tickets,random,50,21,47
31,random,tickets,random,16,47,13
32,random,tickets,random,34,-55,45
33,random,tickets,random,51,-187,37
34,random,tickets,random,43,-144,34
35,random,tickets,random,43,-53,27
36,random,tickets,random,18,31,26
37,random,tickets,random,37,-85,38
38,random,tickets,random,27,-118,46
39,random,tickets,random,28,80,17
40,random,tickets,random,22,-18,31
41,random,tickets,random,18,39,42
42,random,tickets,random,20,61,17
43,random,tickets,random,19,78,28
44,random,tickets,random,38,-171,17
45,random,tickets,random,20,88,23
46,random,tickets,random,43,17,34
47,random,tickets,random,7,89,17
48,random,tickets,random,30,41,29
49,random,tickets,random,30,42,26
50,random,tickets,random,35,84,44
51,random,tickets,random,5,62,41
52,random,tickets,random,25,42,35
53,random,tickets,random,53,49,31
54,random,tickets,random,42,64,37
55,random,tickets,random,37,85,27
56,random,tickets,random,52,62,22
57,random,tickets,random,23,73,8
58,random,tickets,random,55,35,31
59,random,tickets,random,16,45,20
60,random,tickets,random,19,6,46
61,random,tickets,random,41,51,29
62,random,tickets,random,23,71,27
63,random,tickets,random,22,49,18
64,random,tickets,random,39,0,27
65,random,tickets,random,16,85,31
66,random,tickets,random,36,9,12
67,random,tickets,random,45,63,29
68,random,tickets,random,18,75,17
69,random,tickets,random,38,-85,31
70,random,tickets,random,35,36,23
71,random,tickets,random,25,63,32
72,random,tickets,random,33,52,31
73,random,tickets,random,60,-35,42
74,random,tickets,random,46,49,22
75,random,tickets,random,36,-130,31
76,random,tickets,random,33,56,27
77,random,tickets,random,44,-15,12
78,random,tickets,random,14,73,42
79,random,tickets,random,36,-98,33
80,random,tickets,random,39,-42,32
81,random,tickets,random,18,80,31
82,random,tickets,random,27,84,29
83,random,tickets,random,28,36,19
84,random,tickets,random,27,66,11
85,random,tickets,random,35,51,11
86,random,tickets,random,33,47,36
87,random,tickets,random,22,61,-5
88,random,tickets,random,53,-203,50
89,random,tickets,random,49,-84,33
90,random,tickets,random,19,7,23
91,random,tickets,random,23,63,29
92,random,tickets,random,26,59,20
93,random,tickets,random,41,65,19
94,random,tickets,random,33,81,4
95,random,tickets,random,25,64,21
96,random,tickets,random,33,52,40
97,random,tickets,random,29,34,30
98,random,tickets,random,25,-15,29
99,random,tickets,random,12,42,16
100,random,tickets,random,41,-6,43
101,random,tickets,random,59,-53,36
102,random,tickets,random,26,18,34
103,random,tickets,random,10,84,14
104,random,tickets,random,29,58,22
105,random,tickets,random,14,79,28
106,random,tickets,random,14,49,36
107,random,tickets,random,11,61,25
108,random,tickets,random,41,69,25
109,random,tickets,random,24,23,48
110,random,tickets,random,37,-189,42
111,random,tickets,random,39,50,25
112,random,tickets,random,31,80,36
113,random,tickets,random,39,-209,44
114,random,tickets,random,15,71,24
115,random,tickets,random,41,74,30
116,random,tickets,random,28,-42,39
117,random,tickets,random,25,65,27
118,random,tickets,random,39,54,34
119,random,tickets,random,6,22,12
120,random,tickets,random,41,-82,15
121,random,tickets,random,39,-218,33
122,random,tickets,random,38,-97,38
123,random,tickets,random,39,58,20
124,random,tickets,random,38,10,33
125,random,tickets,random,29,57,21
126,random,tickets,random,14,78,28
127,random,tickets,random,34,32,8
128,random,tickets,random,23,79,25
129,random,tickets,random,12,42,17
130,random,tickets,random,18,65,6
131,random,tickets,random,37,91,25
132,random,tickets,random,26,-119,39
133,random,tickets,random,44,-107,42
134,random,tickets,random,31,23,13
135,random,tickets,random,25,76,31
136,random,tickets,random,16,56,20
137,random,tickets,random,6,76,14
138,random,tickets,random,48,7,33
139,random,tickets,random,31,-65,28
140,random,tickets,random,25,48,28
141,random,tickets,random,47,11,45
142,random,tickets,random,21,83,12
143,random,tickets,random,20,58,30
144,random,tickets,random,24,29,5
145,random,tickets,random,13,69,19
146,random,tickets,random,36,-11,39
147,random,tickets,random,46,14,37
148,random,tickets,random,45,-46,47
149,random,tickets,random,35,-10,14
150,random,tickets,random,35,76,25
151,random,tickets,random,25,13,29
152,random,tickets,random,32,29,30
153,random,tickets,random,34,10,26
154,random,tickets,random,41,59,37
155,random,tickets,random,18,50,13
156,random,tickets,random,21,55,35
157,random,tickets,random,33,74,23
158,random,tickets,random,13,87,16
159,random,tickets,random,44,-84,42
160,random,tickets,random,36,74,18
161,random,tickets,random,35,5,21
162,random,tickets,random,15,68,25
163,random,tickets,random,0,79,25
164,random,tickets,random,9,62,23
165,random,tickets,random,28,50,31
166,random,tickets,random,17,52,28
167,random,tickets,random,49,-6,56
168,random,tickets,random,40,63,49
169,random,tickets,random,15,35,35
170,random,tickets,random,34,71,42
171,random,tickets,random,21,75,22
172,random,tickets,random,15,78,20
173,random,tickets,random,26,75,18
174,random,tickets,random,39,-161,46
175,random,tickets,random,56,30,26
176,random,tickets,random,33,73,53
177,random,tickets,random,46,22,33
178,random,tickets,random,39,48,38
179,random,tickets,random,8,71,26
180,random,tickets,random,29,47,27
181,random,tickets,random,29,40,2
182,random,tickets,random,28,46,18
183,random,tickets,random,39,58,6
184,random,tickets,random,22,54,32
185,random,tickets,random,44,-11,31
186,random,tickets,random,19,19,38
187,random,tickets,random,28,77,40
188,random,tickets,random,14,92,37
189,random,tickets,random,41,-82,53
190,random,tickets,random,27,95,5
191,random,tickets,random,22,56,10
192,random,tickets,random,46,-7,31
193,random,tickets,random,38,-23,44
194,random,tickets,random,8,32,31
195,random,tickets,random,9,43,38
196,random,tickets,random,41,62,27
197,random,tickets,random,28,73,42
198,random,tickets,random,13,-16,32
199,random,tickets,random,32,63,-1
200,random,tickets,random,45,37,19
201,random,tickets,random,31,42,20
202,random,tickets,random,14,11,21
203,random,tickets,random,16,84,20
204,random,tickets,random,33,-196,30
205,random,tickets,random,45,-48,28
206,random,tickets,random,29,39,20
207,random,tickets,random,16,87,3
208,random,tickets,random,14,31,27
