game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,random,tickets,route,46,34,68
1,random,tickets,route,31,-141,71
2,random,tickets,route,20,65,99
3,random,tickets,route,23,90,89
4,random,tickets,route,30,56,93
5,random,tickets,route,36,54,79
6,random,tickets,route,9,68,101
7,random,tickets,route,34,-48,91
8,random,tickets,route,5,73,85
9,random,tickets,route,13,70,83
10,random,tickets,route,40,54,87
11,random,tickets,route,14,48,87
12,random,tickets,route,18,65,75
13,random,tickets,route,22,40,85
14,random,tickets,route,51,-12,77
15,random,tickets,route,4,46,82
16,random,tickets,route,37,20,80
17,random,tickets,route,24,57,91
18,random,tickets,route,31,-13,74
19,random,tickets,route,9,24,98
20,random,tickets,route,28,-20,85
21,random,tickets,route,31,73,94
22,random,tickets,route,25,51,75
23,random,tickets,route,30,37,73
24,random,tickets,route,14,75,92
25,random,tickets,route,59,-20,90
26,random,tickets,route,46,-106,81
27,random,tickets,route,17,40,84
28,random,tickets,route,38,-191,87
29,random,tickets,route,31,33,99
30,random,tickets,route,17,64,99
31,random,tickets,route,54,-1,92
32,random,tickets,route,28,8,84
33,random,tickets,route,36,79,88
34,random,tickets,route,21,20,83
35,random,tickets,route,33,45,78
36,random,tickets,route,28,-6,86
37,random,tickets,route,31,39,87
38,random,tickets,route,19,-13,86
39,random,tickets,route,22,66,75
40,random,tickets,route,22,6,82
41,random,tickets,route,28,-6,97
42,random,tickets,route,26,33,82
43,random,tickets,route,24,83,79
44,random,tickets,route,17,3,89
45,random,tickets,route,33,0,96
46,random,tickets,route,38,82,92
47,random,tickets,route,29,43,90
48,random,tickets,route,22,51,95
49,random,tickets,route,37,73,74
50,random,tickets,route,3,85,77
51,random,tickets,route,33,14,92
52,random,tickets,route,21,57,79
53,random,tickets,route,30,-26,88
54,random,tickets,route,31,50,74
55,random,tickets,route,39,-23,80
56,random,tickets,route,12,84,87
57,random,tickets,route,25,31,82
58,random,tickets,route,44,-207,82
59,random,tickets,route,30,47,62
60,random,tickets,route,27,37,94
61,random,tickets,route,13,91,92
62,random,tickets,route,5,32,94
63,random,tickets,route,11,50,89
64,random,tickets,route,44,51,94
65,random,tickets,route,30,11,97
66,random,tickets,route,24,50,78
67,random,tickets,route,44,40,76
68,random,tickets,route,26,83,88
69,random,tickets,route,2,34,66
70,random,tickets,route,22,22,83
71,random,tickets,route,16,63,80
