game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,random,tickets,tickets,13,93,19
1,random,tickets,tickets,39,-180,48
2,random,tickets,tickets,9,54,-122
3,random,tickets,tickets,46,12,-60
4,random,tickets,tickets,20,77,24
5,random,tickets,tickets,46,-60,-32
6,random,tickets,tickets,25,-27,48
7,random,tickets,tickets,4,6,40
8,random,tickets,tickets,18,86,-89
9,random,tickets,tickets,10,63,24
10,random,tickets,tickets,25,-1,12
11,random,tickets,tickets,32,12,-120
12,random,tickets,tickets,14,62,69
13,random,tickets,tickets,39,-64,-28
14,random,tickets,tickets,13,48,47
15,random,tickets,tickets,38,-62,0
16,random,tickets,tickets,36,64,47
17,random,tickets,tickets,39,53,-163
18,random,tickets,tickets,29,-59,-54
19,random,tickets,tickets,57,-60,3
20,random,tickets,tickets,28,39,-2
21,random,tickets,tickets,29,-98,8
22,random,tickets,tickets,29,47,-177
23,random,tickets,tickets,41,-14,-79
24,random,tickets,tickets,11,22,-167
25,random,tickets,tickets,27,86,44
26,random,tickets,tickets,27,-116,17
27,random,tickets,tickets,2,48,42
28,random,tickets,tickets,44,-93,-24
29,random,tickets,tickets,13,0,40
30,random,tickets,tickets,10,-8,60
31,random,tickets,tickets,20,68,-53
32,random,tickets,tickets,25,-100,-13
33,random,tickets,tickets,18,67,-194
34,random,tickets,tickets,18,71,84
35,random,tickets,tickets,32,34,64
36,random,tickets,tickets,32,-208,64
37,random,tickets,tickets,11,2,73
38,random,tickets,tickets,37,-81,-69
39,random,tickets,tickets,36,6,53
40,random,tickets,tickets,41,20,-165
41,random,tickets,tickets,4,59,40
42,random,tickets,tickets,30,-124,11
43,random,tickets,tickets,7,54,-45
44,random,tickets,tickets,14,-22,64
45,random,tickets,tickets,42,-33,29
46,random,tickets,tickets,36,-51,0
47,random,tickets,tickets,16,-16,-1
48,random,tickets,tickets,17,-206,65
49,random,tickets,tickets,19,46,18
50,random,tickets,tickets,24,82,-222
51,random,tickets,tickets,15,35,57
52,random,tickets,tickets,8,6,42
53,random,tickets,tickets,32,14,-42
54,random,tickets,tickets,18,-83,-23
55,random,tickets,tickets,36,-130,9
56,random,tickets,tickets,17,55,54
57,random,tickets,tickets,12,67,4
58,random,tickets,tickets,15,76,34
59,random,tickets,tickets,26,-80,-5
60,random,tickets,tickets,18,31,3
61,random,tickets,tickets,25,-100,-36
62,random,tickets,tickets,16,55,80
63,random,tickets,tickets,11,47,76
64,random,tickets,tickets,45,79,-171
65,random,tickets,tickets,28,68,49
66,random,tickets,tickets,28,69,-36
67,random,tickets,tickets,39,-28,0
68,random,tickets,tickets,22,30,-132
69,random,tickets,tickets,41,-9,-47
70,random,tickets,tickets,29,33,55
71,random,tickets,tickets,17,44,-1
72,random,tickets,tickets,16,55,-8
73,random,tickets,tickets,21,-61,-76
74,random,tickets,tickets,27,-71,-13
75,random,tickets,tickets,22,-15,-101
76,random,tickets,tickets,27,-28,-85
77,random,tickets,tickets,24,-77,-27
78,random,tickets,tickets,30,-88,-25
79,random,tickets,tickets,9,52,8
80,random,tickets,tickets,8,-80,66
81,random,tickets,tickets,36,-23,-48
82,random,tickets,tickets,42,-96,-27
83,random,tickets,tickets,21,53,-11
84,random,tickets,tickets,22,-169,61
85,random,tickets,tickets,20,72,-122
86,random,tickets,tickets,36,68,-41
87,random,tickets,tickets,24,82,27
88,random,tickets,tickets,22,-102,-20
89,random,tickets,tickets,17,68,-48
90,random,tickets,tickets,11,30,29
91,random,tickets,tickets,13,44,68
92,random,tickets,tickets,30,77,-113
93,random,tickets,tickets,20,-86,42
94,random,tickets,tickets,25,-131,63
95,random,tickets,tickets,10,45,39
96,random,tickets,tickets,47,-5,-61
97,random,tickets,tickets,42,-7,-38
98,random,tickets,tickets,10,29,-65
99,random,tickets,tickets,36,17,-64
100,random,tickets,tickets,30,-3,-81
101,random,tickets,tickets,34,-15,-132
102,random,tickets,tickets,22,-213,77
103,random,tickets,tickets,6,52,-24
104,random,tickets,tickets,21,-65,63
105,random,tickets,tickets,31,-57,-36
106,random,tickets,tickets,5,63,-28
107,random,tickets,tickets,16,23,27
108,random,tickets,tickets,39,32,-145
109,random,tickets,tickets,17,43,-125
110,random,tickets,tickets,20,12,-73
111,random,tickets,tickets,16,-68,-38
112,random,tickets,tickets,31,6,56
113,random,tickets,tickets,28,56,-112
114,random,tickets,tickets,27,-110,-26
115,random,tickets,tickets,31,-72,-48
116,random,tickets,tickets,11,-35,21
