game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,route,random,random,98,42,26
1,route,random,random,95,25,34
2,route,random,random,86,48,38
3,route,random,random,84,35,41
4,route,random,random,86,45,36
5,route,random,random,88,32,31
6,route,random,random,105,33,43
7,route,random,random,78,54,24
8,route,random,random,99,50,42
9,route,random,random,95,44,30
10,route,random,random,74,23,55
11,route,random,random,81,12,28
12,route,random,random,96,22,55
13,route,random,random,68,22,43
14,route,random,random,66,53,21
15,route,random,random,87,46,17
16,route,random,random,100,18,50
17,route,random,random,78,42,56
18,route,random,random,98,25,26
19,route,random,random,89,44,29
20,route,random,random,88,26,16
21,route,random,random,97,62,38
22,route,random,random,84,27,32
23,route,random,random,85,44,35
24,route,random,random,94,23,51
25,route,random,random,82,63,14
26,route,random,random,81,45,46
27,route,random,random,83,45,24
28,route,random,random,98,44,30
29,route,random,random,84,56,39
30,route,random,random,94,10,25
31,route,random,random,91,17,29
32,route,random,random,82,54,36
33,route,random,random,73,22,38
34,route,random,random,92,40,30
35,route,random,random,96,50,45
36,route,random,random,104,37,15
37,route,random,random,75,29,32
38,route,random,random,106,33,36
39,route,random,random,85,45,26
40,route,random,random,105,57,44
41,route,random,random,76,54,15
42,route,random,random,102,18,25
43,route,random,random,88,39,32
44,route,random,random,84,48,39
45,route,random,random,92,47,44
46,route,random,random,88,18,40
47,route,random,random,72,47,47
48,route,random,random,82,36,18
49,route,random,random,97,35,43
50,route,random,random,111,25,35
51,route,random,random,96,51,51
52,route,random,random,74,42,32
53,route,random,random,81,39,44
54,route,random,random,85,46,41
55,route,random,random,115,15,24
56,route,random,random,75,58,46
57,route,random,random,66,15,40
58,route,random,random,79,36,46
59,route,random,random,86,47,19
60,route,random,random,86,43,56
61,route,random,random,97,30,30
62,route,random,random,84,32,51
63,route,random,random,85,41,29
64,route,random,random,87,19,45
65,route,random,random,99,34,23
66,route,random,random,96,10,32
67,route,random,random,103,50,30
68,route,random,random,70,25,40
