game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,route,random,route,78,-3,83
1,route,random,route,107,12,82
2,route,random,route,84,-10,74
3,route,random,route,42,6,100
4,route,random,route,87,22,93
5,route,random,route,73,7,81
6,route,random,route,88,29,83
7,route,random,route,84,7,80
8,route,random,route,72,17,96
9,route,random,route,78,23,87
10,route,random,route,66,2,94
11,route,random,route,82,3,77
12,route,random,route,96,17,64
13,route,random,route,90,13,73
14,route,random,route,91,2,81
15,route,random,route,104,25,84
16,route,random,route,105,5,74
17,route,random,route,74,0,78
18,route,random,route,90,14,74
19,route,random,route,92,9,68
20,route,random,route,90,27,98
21,route,random,route,88,10,65
22,route,random,route,89,37,59
23,route,random,route,76,15,80
24,route,random,route,111,3,62
25,route,random,route,87,7,70
26,route,random,route,70,27,96
27,route,random,route,76,23,70
28,route,random,route,79,12,90
29,route,random,route,90,8,87
30,route,random,route,94,3,75
31,route,random,route,77,-8,88
32,route,random,route,74,12,77
33,route,random,route,78,13,78
34,route,random,route,84,-3,81
35,route,random,route,115,20,85
36,route,random,route,97,12,60
37,route,random,route,96,3,58
38,route,random,route,101,4,67
39,route,random,route,91,12,74
40,route,random,route,108,11,68
41,route,random,route,82,27,87
42,route,random,route,73,10,85
43,route,random,route,96,6,72
44,route,random,route,82,33,102
45,route,random,route,93,-1,84
46,route,random,route,97,11,92
47,route,random,route,96,14,81
48,route,random,route,96,9,89
49,route,random,route,86,9,93
50,route,random,route,74,3,79
51,route,random,route,88,10,96
52,route,random,route,95,15,76
53,route,random,route,85,6,72
54,route,random,route,68,29,93
55,route,random,route,87,-2,95
56,route,random,route,69,24,83
57,route,random,route,93,10,102
58,route,random,route,91,8,82
59,route,random,route,76,8,76
60,route,random,route,83,0,82
61,route,random,route,89,16,67
62,route,random,route,83,3,82
63,route,random,route,94,2,83
64,route,random,route,82,9,91
65,route,random,route,96,6,90
66,route,random,route,106,15,79
67,route,random,route,79,17,71
68,route,random,route,88,18,80
69,route,random,route,96,7,79
70,route,random,route,100,20,80
71,route,random,route,88,12,68
72,route,random,route,88,7,84
73,route,random,route,73,8,85
74,route,random,route,89,1,67
75,route,random,route,90,2,74
76,route,random,route,59,26,107
77,route,random,route,90,6,54
78,route,random,route,91,0,88
79,route,random,route,99,12,81
80,route,random,route,84,9,90
81,route,random,route,84,27,77
82,route,random,route,81,8,87
83,route,random,route,89,13,64
84,route,random,route,87,1,65
85,route,random,route,83,23,95
86,route,random,route,81,4,84
87,route,random,route,95,15,57
88,route,random,route,92,0,77
89,route,random,route,89,-9,101
90,route,random,route,89,6,89
91,route,random,route,92,8,107
92,route,random,route,78,6,88
93,route,random,route,99,2,100
94,route,random,route,98,5,75
95,route,random,route,67,12,72
96,route,random,route,68,2,97
97,route,random,route,72,-9,100
98,route,random,route,61,13,95
99,route,random,route,83,-2,89
100,route,random,route,79,17,72
101,route,random,route,106,-3,76
