game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,route,random,tickets,83,11,94
1,route,random,tickets,86,36,-101
2,route,random,tickets,95,24,41
3,route,random,tickets,95,24,87
4,route,random,tickets,92,11,85
5,route,random,tickets,82,31,71
6,route,random,tickets,92,-5,58
7,route,random,tickets,79,27,74
8,route,random,tickets,96,30,37
9,route,random,tickets,75,40,23
10,route,random,tickets,76,29,71
11,route,random,tickets,88,2,56
12,route,random,tickets,76,22,76
13,route,random,tickets,89,16,62
14,route,random,tickets,85,34,18
15,route,random,tickets,77,21,80
16,route,random,tickets,77,33,56
17,route,random,tickets,81,14,73
18,route,random,tickets,98,9,37
19,route,random,tickets,96,26,82
20,route,random,tickets,102,38,21
21,route,random,tickets,82,34,55
22,route,random,tickets,94,24,14
23,route,random,tickets,96,14,52
24,route,random,tickets,87,43,-221
25,route,random,tickets,85,44,31
26,route,random,tickets,75,30,69
27,route,random,tickets,79,52,-2
28,route,random,tickets,83,6,34
29,route,random,tickets,93,39,15
30,route,random,tickets,85,0,34
31,route,random,tickets,88,15,71
32,route,random,tickets,73,31,6
33,route,random,tickets,88,29,74
34,route,random,tickets,84,24,80
35,route,random,tickets,87,24,-124
36,route,random,tickets,89,23,42
37,route,random,tickets,94,29,49
38,route,random,tickets,92,38,59
39,route,random,tickets,76,18,14
40,route,random,tickets,83,14,78
41,route,random,tickets,91,18,52
42,route,random,tickets,105,25,79
43,route,random,tickets,105,30,45
44,route,random,tickets,85,37,-4
45,route,random,tickets,98,31,35
46,route,random,tickets,92,31,-58
47,route,random,tickets,88,1,63
48,route,random,tickets,93,18,76
49,route,random,tickets,89,3,28
50,route,random,tickets,79,32,-20
51,route,random,tickets,87,15,80
52,route,random,tickets,96,31,-121
53,route,random,tickets,72,14,46
54,route,random,tickets,96,16,6
55,route,random,tickets,99,15,65
56,route,random,tickets,92,18,59
57,route,random,tickets,87,4,82
58,route,random,tickets,75,15,56
59,route,random,tickets,83,35,60
60,route,random,tickets,89,8,7
61,route,random,tickets,84,34,47
62,route,random,tickets,82,22,-15
63,route,random,tickets,85,5,71
64,route,random,tickets,92,38,-161
65,route,random,tickets,72,17,56
66,route,random,tickets,74,18,73
67,route,random,tickets,99,16,77
68,route,random,tickets,94,17,38
69,route,random,tickets,83,16,8
70,route,random,tickets,73,41,48
71,route,random,tickets,94,23,67
72,route,random,tickets,74,32,-22
73,route,random,tickets,88,22,-215
74,route,random,tickets,89,17,50
75,route,random,tickets,83,37,25
76,route,random,tickets,104,28,36
77,route,random,tickets,90,53,-89
78,route,random,tickets,94,27,47
79,route,random,tickets,74,41,39
80,route,random,tickets,76,44,-56
81,route,random,tickets,104,36,-192
82,route,random,tickets,105,32,-31
83,route,random,tickets,84,16,63
84,route,random,tickets,78,38,14
85,route,random,tickets,88,22,62
86,route,random,tickets,92,13,1
87,route,random,tickets,96,17,71
88,route,random,tickets,84,19,-32
89,route,random,tickets,106,10,54
90,route,random,tickets,74,30,34
91,route,random,tickets,81,28,60
92,route,random,tickets,68,40,-48
93,route,random,tickets,88,37,58
94,route,random,tickets,76,15,62
95,route,random,tickets,68,22,-38
96,route,random,tickets,89,29,10
97,route,random,tickets,96,16,87
98,route,random,tickets,92,38,27
99,route,random,tickets,87,27,45
100,route,random,tickets,63,24,-2
101,route,random,tickets,88,10,71
102,route,random,tickets,96,21,-9
103,route,random,tickets,89,24,42
104,route,random,tickets,98,27,-211
105,route,random,tickets,72,30,43
106,route,random,tickets,88,24,71
107,route,random,tickets,81,30,25
108,route,random,tickets,96,21,-222
109,route,random,tickets,83,20,67
110,route,random,tickets,79,49,-171
111,route,random,tickets,94,22,61
112,route,random,tickets,77,23,64
113,route,random,tickets,84,36,37
114,route,random,tickets,84,24,51
115,route,random,tickets,68,38,28
116,route,random,tickets,96,28,24
117,route,random,tickets,96,25,50
118,route,random,tickets,97,62,-80
119,route,random,tickets,81,21,68
120,route,random,tickets,93,38,58
121,route,random,tickets,86,16,80
122,route,random,tickets,75,33,69
123,route,random,tickets,90,18,24
124,route,random,tickets,79,17,72
125,route,random,tickets,78,29,9
126,route,random,tickets,94,52,24
127,route,random,tickets,91,39,-37
128,route,random,tickets,83,12,89
129,route,random,tickets,85,12,61
130,route,random,tickets,92,33,13
131,route,random,tickets,87,23,60
132,route,random,tickets,93,30,33
133,route,random,tickets,85,9,32
134,route,random,tickets,105,15,23
135,route,random,tickets,83,34,-42
136,route,random,tickets,79,27,50
137,route,random,tickets,84,32,27
138,route,random,tickets,84,41,58
139,route,random,tickets,88,30,35
140,route,random,tickets,88,9,62
141,route,random,tickets,82,45,-88
142,route,random,tickets,83,9,28
143,route,random,tickets,83,12,72
144,route,random,tickets,84,27,62
145,route,random,tickets,97,27,73
146,route,random,tickets,80,5,32
147,route,random,tickets,97,37,53
148,route,random,tickets,83,11,38
149,route,random,tickets,78,30,13
150,route,random,tickets,83,32,-22
151,route,random,tickets,88,44,1
152,route,random,tickets,85,12,59
153,route,random,tickets,79,43,4
154,route,random,tickets,92,26,20
155,route,random,tickets,101,2,69
156,route,random,tickets,81,37,43
157,route,random,tickets,93,20,-8
158,route,random,tickets,82,3,63
159,route,random,tickets,73,42,41
160,route,random,tickets,84,34,55
161,route,random,tickets,79,32,84
162,route,random,tickets,91,32,-58
163,route,random,tickets,83,25,59
164,route,random,tickets,81,27,84
165,route,random,tickets,96,39,13
166,route,random,tickets,83,15,65
167,route,random,tickets,101,37,40
168,route,random,tickets,94,29,54
169,route,random,tickets,84,40,43
170,route,random,tickets,80,5,-20
171,route,random,tickets,84,14,-139
172,route,random,tickets,89,29,70
173,route,random,tickets,92,9,54
174,route,random,tickets,76,37,81
175,route,random,tickets,78,17,74
176,route,random,tickets,90,35,70
177,route,random,tickets,105,13,77
178,route,random,tickets,82,40,-156
179,route,random,tickets,98,17,75
180,route,random,tickets,79,33,69
181,route,random,tickets,87,24,7
182,route,random,tickets,96,30,55
183,route,random,tickets,100,38,62
184,route,random,tickets,92,5,8
185,route,random,tickets,83,26,17
186,route,random,tickets,74,31,65
187,route,random,tickets,83,17,50
188,route,random,tickets,83,11,3
189,route,random,tickets,88,32,42
190,route,random,tickets,87,24,42
191,route,random,tickets,80,48,-109
192,route,random,tickets,74,22,65
193,route,random,tickets,100,20,52
194,route,random,tickets,75,4,27
195,route,random,tickets,76,17,34
196,route,random,tickets,92,28,47
197,route,random,tickets,99,23,55
198,route,random,tickets,84,23,-69
199,route,random,tickets,72,22,58
200,route,random,tickets,67,45,56
201,route,random,tickets,90,25,-11
202,route,random,tickets,87,27,-25
203,route,random,tickets,74,5,67
204,route,random,tickets,105,29,-120
205,route,random,tickets,88,15,19
206,route,random,tickets,75,35,67
207,route,random,tickets,81,38,106
208,route,random,tickets,90,50,13
209,route,random,tickets,75,33,58
210,route,random,tickets,75,33,-31
211,route,random,tickets,99,17,70
212,route,random,tickets,79,42,84
213,route,random,tickets,62,18,71
214,route,random,tickets,82,17,28
215,route,random,tickets,92,15,46
216,route,random,tickets,90,53,-118
217,route,random,tickets,94,26,81
218,route,random,tickets,83,28,74
219,route,random,tickets,92,17,51
220,route,random,tickets,105,25,58
221,route,random,tickets,70,15,56
222,route,random,tickets,78,13,59
