game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,route,route,random,86,66,-3
1,route,route,random,80,89,18
2,route,route,random,69,84,19
3,route,route,random,76,71,-6
4,route,route,random,59,88,-8
5,route,route,random,89,82,16
6,route,route,random,108,61,-4
7,route,route,random,57,96,2
8,route,route,random,97,80,-6
9,route,route,random,96,87,26
10,route,route,random,89,94,20
11,route,route,random,102,79,19
12,route,route,random,83,92,22
13,route,route,random,95,68,-6
14,route,route,random,86,73,12
15,route,route,random,81,77,12
16,route,route,random,86,77,12
17,route,route,random,72,84,12
18,route,route,random,94,57,4
19,route,route,random,85,65,8
20,route,route,random,69,92,14
21,route,route,random,86,86,-1
22,route,route,random,93,84,5
23,route,route,random,101,79,6
24,route,route,random,102,90,22
25,route,route,random,94,77,16
26,route,route,random,78,75,7
27,route,route,random,99,84,16
28,route,route,random,80,83,3
29,route,route,random,80,74,18
30,route,route,random,65,91,-5
31,route,route,random,78,98,8
32,route,route,random,84,91,12
33,route,route,random,84,76,6
34,route,route,random,92,57,18
35,route,route,random,94,87,-10
36,route,route,random,95,102,22
37,route,route,random,74,94,4
38,route,route,random,85,87,16
39,route,route,random,98,75,13
40,route,route,random,91,65,17
41,route,route,random,76,83,4
42,route,route,random,80,76,7
43,route,route,random,84,74,16
44,route,route,random,93,72,5
45,route,route,random,72,77,13
46,route,route,random,103,57,6
47,route,route,random,95,68,18
48,route,route,random,95,73,14
49,route,route,random,93,82,0
50,route,route,random,96,96,-3
51,route,route,random,86,75,10
52,route,route,random,95,84,19
53,route,route,random,95,66,14
54,route,route,random,72,78,-4
55,route,route,random,78,90,7
56,route,route,random,102,70,2
57,route,route,random,99,86,8
58,route,route,random,77,72,29
59,route,route,random,83,80,24
60,route,route,random,86,85,2
61,route,route,random,105,89,2
62,route,route,random,93,87,5
63,route,route,random,89,84,1
64,route,route,random,63,104,1
65,route,route,random,90,96,3
66,route,route,random,88,72,10
67,route,route,random,78,95,7
68,route,route,random,70,115,20
69,route,route,random,93,63,-1
70,route,route,random,77,94,7
71,route,route,random,81,93,16
72,route,route,random,84,83,7
73,route,route,random,68,111,18
74,route,route,random,100,81,15
75,route,route,random,75,80,3
76,route,route,random,81,90,25
77,route,route,random,76,67,23
78,route,route,random,85,93,17
79,route,route,random,71,87,26
80,route,route,random,82,84,17
81,route,route,random,91,84,11
82,route,route,random,78,100,16
83,route,route,random,104,100,2
84,route,route,random,89,93,0
85,route,route,random,92,101,11
86,route,route,random,86,74,8
87,route,route,random,75,83,12
88,route,route,random,84,104,31
89,route,route,random,93,95,16
90,route,route,random,73,82,21
91,route,route,random,69,78,10
92,route,route,random,76,80,2
93,route,route,random,74,97,-1
94,route,route,random,77,64,4
95,route,route,random,81,78,14
96,route,route,random,102,103,11
97,route,route,random,96,83,3
98,route,route,random,65,104,-8
99,route,route,random,77,91,4
100,route,route,random,82,73,23
101,route,route,random,79,99,-14
102,route,route,random,86,83,23
103,route,route,random,89,83,10
104,route,route,random,105,79,13
105,route,route,random,91,79,-3
106,route,route,random,77,89,14
107,route,route,random,75,89,4
108,route,route,random,98,85,23
109,route,route,random,83,105,0
110,route,route,random,77,91,23
111,route,route,random,90,84,-2
112,route,route,random,80,81,2
113,route,route,random,89,91,21
114,route,route,random,83,79,12
115,route,route,random,88,88,27
116,route,route,random,84,92,21
117,route,route,random,77,77,16
118,route,route,random,68,105,3
119,route,route,random,81,77,6
120,route,route,random,84,81,12
121,route,route,random,89,89,5
122,route,route,random,87,85,3
123,route,route,random,72,80,17
124,route,route,random,85,66,8
125,route,route,random,88,53,20
126,route,route,random,99,67,29
127,route,route,random,92,59,14
128,route,route,random,92,74,16
129,route,route,random,81,83,-14
130,route,route,random,74,84,4
131,route,route,random,104,70,10
132,route,route,random,57,106,16
133,route,route,random,69,84,7
134,route,route,random,71,90,0
135,route,route,random,76,87,3
136,route,route,random,74,77,25
137,route,route,random,63,96,14
138,route,route,random,70,95,6
139,route,route,random,84,102,-4
140,route,route,random,78,60,11
141,route,route,random,88,88,-6
142,route,route,random,70,76,15
143,route,route,random,92,99,7
144,route,route,random,91,86,-8
145,route,route,random,98,56,11
146,route,route,random,88,82,21
147,route,route,random,88,77,-2
148,route,route,random,84,76,16
149,route,route,random,100,89,7
150,route,route,random,67,85,18
151,route,route,random,101,89,-18
152,route,route,random,92,69,5
153,route,route,random,78,79,16
154,route,route,random,85,88,27
155,route,route,random,100,67,13
156,route,route,random,84,82,9
157,route,route,random,84,87,12
158,route,route,random,80,78,5
159,route,route,random,78,85,10
160,route,route,random,68,83,13
161,route,route,random,65,90,13
162,route,route,random,86,73,-6
163,route,route,random,91,84,21
164,route,route,random,92,78,8
165,route,route,random,90,79,7
166,route,route,random,85,94,10
167,route,route,random,72,93,-8
168,route,route,random,91,66,11
169,route,route,random,84,75,8
170,route,route,random,79,84,9
171,route,route,random,101,71,29
172,route,route,random,78,93,8
173,route,route,random,93,73,-1
174,route,route,random,90,99,4
175,route,route,random,95,100,-9
176,route,route,random,89,73,13
177,route,route,random,94,73,3
178,route,route,random,83,79,-4
179,route,route,random,70,100,-5
180,route,route,random,75,110,18
181,route,route,random,93,83,25
182,route,route,random,80,91,-3
183,route,route,random,92,67,17
184,route,route,random,93,62,25
185,route,route,random,98,84,12
186,route,route,random,89,83,15
187,route,route,random,73,67,-9
188,route,route,random,93,65,-8
189,route,route,random,73,96,3
190,route,route,random,77,88,12
191,route,route,random,66,87,16
192,route,route,random,85,77,6
193,route,route,random,66,81,23
194,route,route,random,89,70,22
195,route,route,random,64,84,-7
196,route,route,random,85,93,25
197,route,route,random,60,86,3
198,route,route,random,88,81,3
199,route,route,random,87,81,18
200,route,route,random,87,94,23
201,route,route,random,67,76,17
202,route,route,random,88,93,27
203,route,route,random,104,92,12
204,route,route,random,96,70,-4
205,route,route,random,87,75,6
206,route,route,random,81,104,-5
207,route,route,random,76,89,5
208,route,route,random,102,68,16
209,route,route,random,85,72,-4
210,route,route,random,92,84,4
211,route,route,random,97,73,-1
212,route,route,random,83,84,-5
213,route,route,random,92,64,26
214,route,route,random,83,85,8
215,route,route,random,93,66,2
216,route,route,random,104,57,22
217,route,route,random,101,77,6
218,route,route,random,110,79,27
219,route,route,random,80,67,4
220,route,route,random,71,80,16
221,route,route,random,98,75,7
222,route,route,random,78,110,9
223,route,route,random,88,68,18
224,route,route,random,84,89,-11
225,route,route,random,94,81,17
226,route,route,random,71,102,25
227,route,route,random,106,73,9
228,route,route,random,100,73,12
229,route,route,random,86,57,35
230,route,route,random,88,85,5
231,route,route,random,104,89,14
232,route,route,random,80,72,2
233,route,route,random,80,83,2
234,route,route,random,85,77,5
235,route,route,random,84,84,13
236,route,route,random,66,99,-4
237,route,route,random,68,90,-5
238,route,route,random,72,105,19
239,route,route,random,89,73,-3
240,route,route,random,73,81,10
241,route,route,random,80,91,-3
242,route,route,random,115,88,14
243,route,route,random,69,94,-5
244,route,route,random,88,95,9
245,route,route,random,93,74,-4
246,route,route,random,78,91,3
247,route,route,random,74,73,7
248,route,route,random,73,76,10
249,route,route,random,91,82,13
250,route,route,random,83,86,10
251,route,route,random,64,87,12
252,route,route,random,69,77,15
253,route,route,random,93,90,3
254,route,route,random,69,91,-5
255,route,route,random,92,83,-1
256,route,route,random,79,55,0
257,route,route,random,85,82,15
258,route,route,random,94,95,5
259,route,route,random,87,70,5
260,route,route,random,80,81,13
261,route,route,random,74,62,13
262,route,route,random,96,82,-6
263,route,route,random,97,85,-5
264,route,route,random,96,63,7
265,route,route,random,74,74,3
266,route,route,random,92,80,1
267,route,route,random,73,95,26
268,route,route,random,94,59,24
269,route,route,random,94,96,6
270,route,route,random,92,65,5
271,route,route,random,64,98,16
272,route,route,random,74,91,15
273,route,route,random,73,95,2
274,route,route,random,87,95,-1
275,route,route,random,84,77,-4
276,route,route,random,97,67,5
277,route,route,random,78,101,-6
278,route,route,random,84,71,6
279,route,route,random,76,79,-8
280,route,route,random,75,86,10
281,route,route,random,104,56,-6
282,route,route,random,71,96,2
283,route,route,random,81,74,12
284,route,route,random,72,103,13
285,route,route,random,104,61,9
286,route,route,random,98,95,29
287,route,route,random,84,99,14
288,route,route,random,79,94,-4
289,route,route,random,75,88,-3
290,route,route,random,62,81,17
291,route,route,random,92,67,16
292,route,route,random,66,89,6
