game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,route,route,route,93,55,86
1,route,route,route,88,88,74
2,route,route,route,89,74,82
3,route,route,route,68,57,81
4,route,route,route,74,80,68
5,route,route,route,77,77,72
6,route,route,route,58,93,83
7,route,route,route,82,75,88
8,route,route,route,66,82,103
9,route,route,route,69,64,83
10,route,route,route,87,83,91
11,route,route,route,72,92,78
12,route,route,route,94,64,57
13,route,route,route,86,69,86
14,route,route,route,69,68,73
15,route,route,route,62,71,67
16,route,route,route,66,76,65
17,route,route,route,67,62,71
18,route,route,route,66,57,78
19,route,route,route,81,67,88
20,route,route,route,74,77,68
21,route,route,route,78,49,76
22,route,route,route,70,91,67
23,route,route,route,85,60,64
24,route,route,route,87,84,68
25,route,route,route,47,94,76
26,route,route,route,59,72,63
27,route,route,route,82,77,69
28,route,route,route,71,77,72
29,route,route,route,72,85,60
30,route,route,route,47,99,73
31,route,route,route,67,92,80
32,route,route,route,80,67,79
33,route,route,route,69,94,96
34,route,route,route,57,70,84
35,route,route,route,67,66,39
36,route,route,route,88,67,78
37,route,route,route,54,88,93
38,route,route,route,70,66,78
39,route,route,route,86,78,79
40,route,route,route,85,59,76
41,route,route,route,61,53,71
42,route,route,route,67,74,97
43,route,route,route,79,59,61
44,route,route,route,100,60,55
45,route,route,route,72,64,74
46,route,route,route,81,83,83
47,route,route,route,79,83,61
48,route,route,route,75,96,61
49,route,route,route,83,72,81
50,route,route,route,92,79,90
51,route,route,route,63,91,71
52,route,route,route,79,64,68
53,route,route,route,82,65,63
54,route,route,route,55,66,87
55,route,route,route,52,80,44
56,route,route,route,83,66,55
57,route,route,route,75,62,77
58,route,route,route,68,65,82
59,route,route,route,88,81,68
60,route,route,route,71,66,87
61,route,route,route,79,75,77
62,route,route,route,87,63,84
63,route,route,route,67,97,73
64,route,route,route,86,73,73
65,route,route,route,65,75,85
66,route,route,route,81,72,84
67,route,route,route,82,69,82
68,route,route,route,78,76,63
69,route,route,route,88,58,63
70,route,route,route,69,85,65
71,route,route,route,72,66,73
72,route,route,route,80,86,88
73,route,route,route,69,73,88
74,route,route,route,80,62,58
75,route,route,route,67,73,87
