game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,route,route,tickets,68,76,54
1,route,route,tickets,75,88,44
2,route,route,tickets,93,84,32
3,route,route,tickets,74,70,20
4,route,route,tickets,84,57,34
5,route,route,tickets,71,81,56
6,route,route,tickets,91,76,19
7,route,route,tickets,64,87,28
8,route,route,tickets,75,59,26
9,route,route,tickets,73,110,29
10,route,route,tickets,70,62,40
11,route,route,tickets,80,79,-15
12,route,route,tickets,76,88,57
13,route,route,tickets,74,82,21
14,route,route,tickets,93,72,58
15,route,route,tickets,106,67,37
16,route,route,tickets,68,86,2
17,route,route,tickets,79,76,21
18,route,route,tickets,107,56,-10
19,route,route,tickets,85,73,32
20,route,route,tickets,84,70,19
21,route,route,tickets,75,56,12
22,route,route,tickets,67,81,21
23,route,route,tickets,90,84,38
24,route,route,tickets,76,65,7
25,route,route,tickets,55,77,21
26,route,route,tickets,92,87,27
27,route,route,tickets,67,80,20
28,route,route,tickets,73,81,32
29,route,route,tickets,93,61,35
30,route,route,tickets,80,100,22
31,route,route,tickets,86,65,56
32,route,route,tickets,85,84,42
33,route,route,tickets,73,76,36
34,route,route,tickets,90,66,-3
35,route,route,tickets,94,88,42
36,route,route,tickets,75,68,52
37,route,route,tickets,84,58,49
38,route,route,tickets,90,74,48
39,route,route,tickets,87,90,56
40,route,route,tickets,78,95,0
41,route,route,tickets,72,63,27
42,route,route,tickets,81,77,20
43,route,route,tickets,83,74,3
44,route,route,tickets,70,81,49
45,route,route,tickets,61,82,21
46,route,route,tickets,83,74,39
47,route,route,tickets,78,68,41
48,route,route,tickets,87,73,39
49,route,route,tickets,98,70,48
50,route,route,tickets,86,80,9
51,route,route,tickets,90,75,57
52,route,route,tickets,86,64,69
53,route,route,tickets,61,86,41
54,route,route,tickets,90,92,52
55,route,route,tickets,67,68,31
56,route,route,tickets,91,88,56
57,route,route,tickets,79,64,21
58,route,route,tickets,82,85,0
59,route,route,tickets,92,74,43
60,route,route,tickets,89,66,60
61,route,route,tickets,99,74,26
62,route,route,tickets,69,81,77
63,route,route,tickets,98,62,43
64,route,route,tickets,92,84,-2
65,route,route,tickets,78,78,7
66,route,route,tickets,82,71,32
67,route,route,tickets,70,91,57
68,route,route,tickets,75,80,37
69,route,route,tickets,84,84,18
70,route,route,tickets,70,77,60
71,route,route,tickets,78,51,23
72,route,route,tickets,83,75,48
73,route,route,tickets,79,99,26
74,route,route,tickets,58,99,18
75,route,route,tickets,94,73,62
76,route,route,tickets,60,85,52
77,route,route,tickets,90,76,32
78,route,route,tickets,68,60,14
79,route,route,tickets,74,94,38
80,route,route,tickets,72,64,63
81,route,route,tickets,86,60,7
82,route,route,tickets,84,62,30
83,route,route,tickets,87,93,29
84,route,route,tickets,88,70,58
85,route,route,tickets,79,87,1
86,route,route,tickets,64,84,32
87,route,route,tickets,74,96,9
88,route,route,tickets,84,60,43
89,route,route,tickets,67,84,47
90,route,route,tickets,82,75,62
91,route,route,tickets,86,61,54
92,route,route,tickets,81,86,52
93,route,route,tickets,80,55,61
94,route,route,tickets,59,71,48
95,route,route,tickets,105,69,40
96,route,route,tickets,90,82,40
97,route,route,tickets,91,77,14
98,route,route,tickets,77,88,35
99,route,route,tickets,86,96,37
100,route,route,tickets,68,106,51
101,route,route,tickets,93,81,44
102,route,route,tickets,66,88,29
103,route,route,tickets,75,98,23
104,route,route,tickets,88,82,-16
105,route,route,tickets,81,69,13
106,route,route,tickets,94,61,64
107,route,route,tickets,68,83,33
108,route,route,tickets,93,86,5
109,route,route,tickets,66,66,45
110,route,route,tickets,72,88,62
111,route,route,tickets,89,74,12
112,route,route,tickets,73,90,67
113,route,route,tickets,83,74,22
114,route,route,tickets,94,69,15
115,route,route,tickets,67,52,59
116,route,route,tickets,91,75,23
117,route,route,tickets,95,50,34
118,route,route,tickets,88,80,27
119,route,route,tickets,68,89,74
120,route,route,tickets,70,82,39
121,route,route,tickets,83,73,9
122,route,route,tickets,72,83,64
123,route,route,tickets,89,80,42
124,route,route,tickets,76,80,41
125,route,route,tickets,87,98,23
126,route,route,tickets,82,58,65
127,route,route,tickets,66,94,32
