game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,route,tickets,random,82,73,3
1,route,tickets,random,105,65,25
2,route,tickets,random,87,61,11
3,route,tickets,random,101,-64,37
4,route,tickets,random,100,33,19
5,route,tickets,random,83,57,41
6,route,tickets,random,97,-19,49
7,route,tickets,random,92,-13,23
8,route,tickets,random,66,21,22
9,route,tickets,random,79,53,4
10,route,tickets,random,94,69,22
11,route,tickets,random,76,-39,34
12,route,tickets,random,89,-10,46
13,route,tickets,random,79,61,14
14,route,tickets,random,87,-80,35
15,route,tickets,random,88,-41,23
16,route,tickets,random,99,56,20
17,route,tickets,random,100,50,21
18,route,tickets,random,76,76,23
19,route,tickets,random,67,37,32
20,route,tickets,random,78,56,28
21,route,tickets,random,83,-153,35
22,route,tickets,random,86,42,38
23,route,tickets,random,88,-49,44
24,route,tickets,random,80,88,22
25,route,tickets,random,75,88,18
26,route,tickets,random,105,-27,29
27,route,tickets,random,84,-39,18
28,route,tickets,random,62,74,12
29,route,tickets,random,96,54,40
30,route,tickets,random,101,74,29
31,route,tickets,random,75,20,25
32,route,tickets,random,94,-102,37
33,route,tickets,random,71,-200,35
34,route,tickets,random,81,-193,52
35,route,tickets,random,87,1,20
36,route,tickets,random,73,-19,22
37,route,tickets,random,76,-107,37
38,route,tickets,random,100,84,12
39,route,tickets,random,75,3,16
40,route,tickets,random,94,82,24
41,route,tickets,random,90,9,14
42,route,tickets,random,91,28,15
43,route,tickets,random,94,98,42
44,route,tickets,random,85,23,35
45,route,tickets,random,77,8,36
46,route,tickets,random,76,63,30
47,route,tickets,random,85,-76,33
48,route,tickets,random,72,-46,26
49,route,tickets,random,76,51,36
50,route,tickets,random,89,78,17
51,route,tickets,random,89,101,25
52,route,tickets,random,86,63,16
53,route,tickets,random,74,-72,22
54,route,tickets,random,81,53,19
55,route,tickets,random,101,78,10
56,route,tickets,random,70,48,19
57,route,tickets,random,101,41,18
58,route,tickets,random,90,66,9
59,route,tickets,random,92,-222,38
60,route,tickets,random,79,18,20
61,route,tickets,random,88,46,25
62,route,tickets,random,89,-137,49
63,route,tickets,random,94,43,21
64,route,tickets,random,81,66,38
65,route,tickets,random,73,54,9
66,route,tickets,random,94,-175,42
67,route,tickets,random,101,82,24
68,route,tickets,random,79,-42,45
69,route,tickets,random,98,26,38
70,route,tickets,random,99,-124,23
71,route,tickets,random,87,-177,47
72,route,tickets,random,81,47,24
73,route,tickets,random,70,91,35
74,route,tickets,random,81,-13,42
75,route,tickets,random,98,67,31
76,route,tickets,random,85,21,25
77,route,tickets,random,85,82,40
78,route,tickets,random,90,72,10
79,route,tickets,random,96,66,34
80,route,tickets,random,81,33,16
81,route,tickets,random,84,79,11
82,route,tickets,random,94,52,17
83,route,tickets,random,88,39,3
84,route,tickets,random,84,70,15
85,route,tickets,random,74,-2,30
86,route,tickets,random,86,40,25
87,route,tickets,random,101,-49,41
88,route,tickets,random,86,-147,33
89,route,tickets,random,92,39,16
90,route,tickets,random,83,-40,49
91,route,tickets,random,96,58,5
92,route,tickets,random,98,-175,32
93,route,tickets,random,75,-16,22
94,route,tickets,random,85,35,27
95,route,tickets,random,72,46,31
96,route,tickets,random,90,-26,4
97,route,tickets,random,86,-66,17
98,route,tickets,random,88,42,16
99,route,tickets,random,96,53,22
100,route,tickets,random,99,46,10
101,route,tickets,random,94,91,12
102,route,tickets,random,88,73,32
103,route,tickets,random,85,-16,15
104,route,tickets,random,81,-5,33
105,route,tickets,random,92,27,26
106,route,tickets,random,75,27,47
107,route,tickets,random,85,63,14
108,route,tickets,random,88,26,30
109,route,tickets,random,96,7,22
110,route,tickets,random,96,57,36
111,route,tickets,random,88,10,41
112,route,tickets,random,82,29,29
113,route,tickets,random,85,74,29
114,route,tickets,random,90,67,6
115,route,tickets,random,72,-160,16
116,route,tickets,random,71,52,18
117,route,tickets,random,83,24,20
118,route,tickets,random,92,68,19
119,route,tickets,random,85,-6,41
120,route,tickets,random,77,73,5
121,route,tickets,random,84,9,6
122,route,tickets,random,85,10,22
123,route,tickets,random,98,56,45
124,route,tickets,random,76,78,17
125,route,tickets,random,85,-206,45
126,route,tickets,random,82,81,20
127,route,tickets,random,88,74,16
128,route,tickets,random,91,71,19
129,route,tickets,random,94,55,40
130,route,tickets,random,75,78,43
131,route,tickets,random,89,43,38
132,route,tickets,random,97,7,36
133,route,tickets,random,95,63,-4
134,route,tickets,random,90,46,34
135,route,tickets,random,75,69,42
136,route,tickets,random,79,-97,37
137,route,tickets,random,87,93,5
138,route,tickets,random,78,-149,45
139,route,tickets,random,94,34,26
140,route,tickets,random,77,-114,46
141,route,tickets,random,72,55,22
142,route,tickets,random,83,59,16
143,route,tickets,random,75,87,38
144,route,tickets,random,92,4,31
145,route,tickets,random,89,60,18
146,route,tickets,random,92,47,29
147,route,tickets,random,77,36,36
148,route,tickets,random,75,52,36
149,route,tickets,random,80,-77,36
150,route,tickets,random,76,60,16
151,route,tickets,random,78,27,16
152,route,tickets,random,94,54,30
153,route,tickets,random,82,26,25
154,route,tickets,random,83,47,9
155,route,tickets,random,89,69,30
156,route,tickets,random,78,32,22
157,route,tickets,random,73,75,13
158,route,tickets,random,88,43,23
159,route,tickets,random,82,80,25
160,route,tickets,random,94,-203,42
161,route,tickets,random,82,68,17
162,route,tickets,random,92,-2,26
163,route,tickets,random,83,29,21
164,route,tickets,random,84,32,14
165,route,tickets,random,105,38,13
166,route,tickets,random,89,90,5
167,route,tickets,random,83,-24,31
168,route,tickets,random,83,24,33
169,route,tickets,random,80,49,47
170,route,tickets,random,86,22,15
171,route,tickets,random,86,40,29
172,route,tickets,random,80,65,3
173,route,tickets,random,92,34,28
174,route,tickets,random,89,70,11
175,route,tickets,random,101,78,19
176,route,tickets,random,88,59,26
177,route,tickets,random,77,10,22
178,route,tickets,random,85,13,25
179,route,tickets,random,91,31,47
180,route,tickets,random,83,16,39
181,route,tickets,random,83,12,21
182,route,tickets,random,89,49,22
183,route,tickets,random,78,43,16
184,route,tickets,random,85,75,34
185,route,tickets,random,91,36,37
186,route,tickets,random,78,37,6
187,route,tickets,random,97,50,19
188,route,tickets,random,101,15,6
189,route,tickets,random,90,-164,32
190,route,tickets,random,88,-8,25
191,route,tickets,random,79,64,23
192,route,tickets,random,83,62,29
193,route,tickets,random,90,27,36
194,route,tickets,random,77,-27,32
195,route,tickets,random,88,38,8
196,route,tickets,random,85,-14,16
197,route,tickets,random,78,7,44
198,route,tickets,random,99,52,27
199,route,tickets,random,86,-107,8
200,route,tickets,random,88,38,42
201,route,tickets,random,87,48,20
202,route,tickets,random,63,8,34
203,route,tickets,random,78,25,16
204,route,tickets,random,101,31,10
205,route,tickets,random,77,21,28
