game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,route,tickets,route,55,26,83
1,route,tickets,route,87,15,80
2,route,tickets,route,70,36,93
3,route,tickets,route,101,-69,70
4,route,tickets,route,74,38,86
5,route,tickets,route,72,40,94
6,route,tickets,route,98,26,79
7,route,tickets,route,101,37,66
8,route,tickets,route,71,21,63
9,route,tickets,route,71,-1,92
10,route,tickets,route,63,71,95
11,route,tickets,route,84,48,79
12,route,tickets,route,88,43,60
13,route,tickets,route,81,58,68
14,route,tickets,route,73,21,64
15,route,tickets,route,93,8,86
16,route,tickets,route,88,34,87
17,route,tickets,route,76,58,71
18,route,tickets,route,83,54,95
19,route,tickets,route,72,11,76
20,route,tickets,route,61,55,77
21,route,tickets,route,79,16,88
22,route,tickets,route,95,86,72
23,route,tickets,route,69,-39,89
24,route,tickets,route,103,44,86
25,route,tickets,route,86,12,98
26,route,tickets,route,92,44,80
27,route,tickets,route,64,67,68
28,route,tickets,route,69,43,94
29,route,tickets,route,94,49,85
30,route,tickets,route,58,6,95
31,route,tickets,route,86,40,93
32,route,tickets,route,78,59,84
33,route,tickets,route,100,50,87
34,route,tickets,route,78,43,100
35,route,tickets,route,91,22,93
36,route,tickets,route,105,47,89
37,route,tickets,route,88,38,89
38,route,tickets,route,74,33,73
39,route,tickets,route,62,-35,71
40,route,tickets,route,99,43,80
41,route,tickets,route,95,19,74
42,route,tickets,route,71,23,91
43,route,tickets,route,77,61,70
44,route,tickets,route,73,16,73
45,route,tickets,route,74,38,82
46,route,tickets,route,82,52,80
47,route,tickets,route,82,40,68
48,route,tickets,route,78,21,79
49,route,tickets,route,71,32,80
50,route,tickets,route,95,83,74
51,route,tickets,route,81,1,75
52,route,tickets,route,99,42,83
53,route,tickets,route,80,56,67
54,route,tickets,route,90,58,79
55,route,tickets,route,81,35,80
56,route,tickets,route,75,22,76
57,route,tickets,route,77,48,80
58,route,tickets,route,68,28,86
59,route,tickets,route,100,50,69
60,route,tickets,route,68,40,81
61,route,tickets,route,99,35,93
62,route,tickets,route,97,36,65
63,route,tickets,route,51,47,92
64,route,tickets,route,69,21,70
65,route,tickets,route,70,-3,85
66,route,tickets,route,78,19,89
67,route,tickets,route,76,38,93
68,route,tickets,route,68,10,75
69,route,tickets,route,72,29,84
70,route,tickets,route,70,30,104
71,route,tickets,route,65,29,88
72,route,tickets,route,95,38,83
73,route,tickets,route,76,38,93
74,route,tickets,route,101,-30,57
75,route,tickets,route,65,44,94
76,route,tickets,route,85,-26,65
77,route,tickets,route,73,23,84
78,route,tickets,route,86,32,60
79,route,tickets,route,88,39,90
80,route,tickets,route,99,6,65
81,route,tickets,route,90,22,80
82,route,tickets,route,82,69,49
83,route,tickets,route,69,81,67
84,route,tickets,route,79,0,76
85,route,tickets,route,89,36,83
86,route,tickets,route,80,68,72
87,route,tickets,route,85,24,90
88,route,tickets,route,105,11,53
89,route,tickets,route,72,69,78
90,route,tickets,route,88,31,84
91,route,tickets,route,69,68,90
92,route,tickets,route,79,21,96
93,route,tickets,route,85,26,76
94,route,tickets,route,54,50,89
95,route,tickets,route,69,37,80
96,route,tickets,route,87,72,77
97,route,tickets,route,94,55,58
98,route,tickets,route,83,22,82
99,route,tickets,route,83,20,84
100,route,tickets,route,94,-13,60
101,route,tickets,route,96,23,61
102,route,tickets,route,85,62,80
103,route,tickets,route,90,31,73
104,route,tickets,route,89,36,66
105,route,tickets,route,88,-13,80
106,route,tickets,route,99,35,90
107,route,tickets,route,84,29,87
108,route,tickets,route,87,60,69
109,route,tickets,route,75,36,87
110,route,tickets,route,97,37,62
111,route,tickets,route,78,39,89
112,route,tickets,route,77,42,74
113,route,tickets,route,80,26,91
114,route,tickets,route,92,23,63
115,route,tickets,route,85,41,64
116,route,tickets,route,93,53,95
117,route,tickets,route,80,11,96
118,route,tickets,route,96,66,85
119,route,tickets,route,85,38,94
120,route,tickets,route,92,28,60
121,route,tickets,route,97,2,80
122,route,tickets,route,72,60,80
123,route,tickets,route,88,34,60
124,route,tickets,route,67,26,71
125,route,tickets,route,81,37,65
126,route,tickets,route,83,41,77
127,route,tickets,route,89,34,78
128,route,tickets,route,83,-5,94
129,route,tickets,route,80,15,83
130,route,tickets,route,99,17,72
131,route,tickets,route,76,8,76
132,route,tickets,route,67,63,87
133,route,tickets,route,84,52,83
134,route,tickets,route,106,17,63
135,route,tickets,route,69,17,84
136,route,tickets,route,115,61,60
137,route,tickets,route,72,37,77
138,route,tickets,route,91,15,90
139,route,tickets,route,71,43,81
140,route,tickets,route,82,56,73
141,route,tickets,route,86,40,82
142,route,tickets,route,68,46,89
143,route,tickets,route,82,53,99
144,route,tickets,route,74,32,83
145,route,tickets,route,89,39,89
146,route,tickets,route,77,28,82
147,route,tickets,route,90,9,74
148,route,tickets,route,89,22,75
149,route,tickets,route,63,64,90
150,route,tickets,route,74,15,89
151,route,tickets,route,78,54,69
152,route,tickets,route,99,37,71
153,route,tickets,route,96,59,58
154,route,tickets,route,84,31,84
155,route,tickets,route,71,-57,109
156,route,tickets,route,72,30,77
157,route,tickets,route,98,20,78
158,route,tickets,route,94,60,61
159,route,tickets,route,71,35,84
160,route,tickets,route,80,-6,81
161,route,tickets,route,67,42,100
162,route,tickets,route,79,93,67
163,route,tickets,route,76,28,99
164,route,tickets,route,70,54,79
165,route,tickets,route,62,31,89
166,route,tickets,route,96,68,84
167,route,tickets,route,79,43,61
168,route,tickets,route,89,35,85
169,route,tickets,route,80,31,65
170,route,tickets,route,64,35,80
171,route,tickets,route,78,43,92
172,route,tickets,route,79,53,83
173,route,tickets,route,61,84,99
174,route,tickets,route,100,56,78
175,route,tickets,route,70,-15,79
176,route,tickets,route,97,25,79
177,route,tickets,route,87,-43,62
178,route,tickets,route,62,26,73
179,route,tickets,route,67,68,74
180,route,tickets,route,91,-115,67
181,route,tickets,route,76,82,105
182,route,tickets,route,90,54,72
183,route,tickets,route,74,37,83
184,route,tickets,route,89,-138,98
185,route,tickets,route,76,31,71
186,route,tickets,route,80,-25,72
187,route,tickets,route,75,25,76
188,route,tickets,route,90,19,65
189,route,tickets,route,82,38,67
190,route,tickets,route,81,68,66
191,route,tickets,route,71,18,68
192,route,tickets,route,92,13,62
193,route,tickets,route,79,34,64
194,route,tickets,route,84,31,61
195,route,tickets,route,82,10,69
196,route,tickets,route,97,31,59
197,route,tickets,route,83,43,67
