game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,route,tickets,tickets,84,-67,49
1,route,tickets,tickets,96,46,83
2,route,tickets,tickets,93,-101,68
3,route,tickets,tickets,93,46,34
4,route,tickets,tickets,88,41,-25
5,route,tickets,tickets,105,7,-29
6,route,tickets,tickets,79,31,41
7,route,tickets,tickets,97,-5,68
8,route,tickets,tickets,72,9,32
9,route,tickets,tickets,74,53,-9
10,route,tickets,tickets,83,12,-54
11,route,tickets,tickets,87,65,-8
12,route,tickets,tickets,92,35,-122
13,route,tickets,tickets,84,47,-15
14,route,tickets,tickets,83,-107,55
15,route,tickets,tickets,84,77,54
16,route,tickets,tickets,85,60,64
17,route,tickets,tickets,81,-154,85
18,route,tickets,tickets,83,56,60
19,route,tickets,tickets,83,46,54
20,route,tickets,tickets,87,59,26
21,route,tickets,tickets,76,8,-2
22,route,tickets,tickets,84,67,-17
23,route,tickets,tickets,90,49,40
24,route,tickets,tickets,92,82,47
25,route,tickets,tickets,105,51,-65
26,route,tickets,tickets,77,-5,26
27,route,tickets,tickets,85,99,29
28,route,tickets,tickets,82,-26,38
29,route,tickets,tickets,76,-94,86
30,route,tickets,tickets,71,41,-224
31,route,tickets,tickets,93,42,58
32,route,tickets,tickets,92,14,38
33,route,tickets,tickets,83,68,50
34,route,tickets,tickets,105,34,69
35,route,tickets,tickets,81,43,66
36,route,tickets,tickets,85,-33,71
37,route,tickets,tickets,92,85,14
38,route,tickets,tickets,64,84,-44
39,route,tickets,tickets,83,64,39
40,route,tickets,tickets,72,58,72
41,route,tickets,tickets,97,69,42
42,route,tickets,tickets,94,83,31
43,route,tickets,tickets,79,-183,63
44,route,tickets,tickets,74,-123,50
45,route,tickets,tickets,89,73,-104
46,route,tickets,tickets,86,-23,-49
47,route,tickets,tickets,81,19,-36
48,route,tickets,tickets,85,51,37
49,route,tickets,tickets,78,42,47
50,route,tickets,tickets,78,44,67
51,route,tickets,tickets,84,15,72
52,route,tickets,tickets,78,-31,32
53,route,tickets,tickets,90,-143,79
54,route,tickets,tickets,73,33,-59
55,route,tickets,tickets,73,64,51
