game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,tickets,random,random,35,32,30
1,tickets,random,random,35,3,6
2,tickets,random,random,85,10,35
3,tickets,random,random,10,55,41
4,tickets,random,random,18,56,21
5,tickets,random,random,73,47,28
6,tickets,random,random,-174,40,27
7,tickets,random,random,55,9,18
8,tickets,random,random,45,16,15
9,tickets,random,random,-197,52,51
10,tickets,random,random,62,15,18
11,tickets,random,random,58,21,34
12,tickets,random,random,12,44,38
13,tickets,random,random,78,21,27
14,tickets,random,random,86,5,44
15,tickets,random,random,45,25,39
16,tickets,random,random,32,18,26
17,tickets,random,random,-198,39,48
18,tickets,random,random,17,39,44
19,tickets,random,random,72,19,29
20,tickets,random,random,42,13,34
21,tickets,random,random,55,33,22
22,tickets,random,random,52,14,12
23,tickets,random,random,51,-2,26
24,tickets,random,random,39,27,26
25,tickets,random,random,56,27,32
26,tickets,random,random,49,8,24
27,tickets,random,random,25,56,38
28,tickets,random,random,-160,42,52
29,tickets,random,random,71,32,32
30,tickets,random,random,55,17,41
31,tickets,random,random,-39,24,31
32,tickets,random,random,2,21,21
33,tickets,random,random,83,36,14
34,tickets,random,random,83,25,40
35,tickets,random,random,8,27,12
36,tickets,random,random,33,45,42
37,tickets,random,random,39,49,34
38,tickets,random,random,76,17,24
39,tickets,random,random,-47,25,35
40,tickets,random,random,43,30,13
41,tickets,random,random,-30,37,40
42,tickets,random,random,-46,21,26
43,tickets,random,random,81,7,24
44,tickets,random,random,20,23,49
45,tickets,random,random,76,19,30
46,tickets,random,random,75,31,24
47,tickets,random,random,59,19,37
48,tickets,random,random,17,18,30
49,tickets,random,random,61,20,19
50,tickets,random,random,71,33,29
51,tickets,random,random,-4,37,18
52,tickets,random,random,63,40,23
53,tickets,random,random,-39,31,43
54,tickets,random,random,60,42,37
55,tickets,random,random,-4,53,49
56,tickets,random,random,72,6,41
57,tickets,random,random,78,28,24
58,tickets,random,random,-6,37,47
59,tickets,random,random,91,27,22
60,tickets,random,random,114,37,7
61,tickets,random,random,36,29,53
62,tickets,random,random,89,41,17
63,tickets,random,random,63,18,22
64,tickets,random,random,47,49,28
65,tickets,random,random,16,32,25
66,tickets,random,random,54,18,30
67,tickets,random,random,40,21,11
68,tickets,random,random,54,24,38
69,tickets,random,random,37,29,19
70,tickets,random,random,69,45,32
71,tickets,random,random,49,29,24
72,tickets,random,random,23,5,13
73,tickets,random,random,69,7,27
74,tickets,random,random,63,46,32
75,tickets,random,random,33,9,20
76,tickets,random,random,31,36,49
77,tickets,random,random,18,21,30
78,tickets,random,random,-128,57,37
79,tickets,random,random,38,9,38
80,tickets,random,random,79,14,22
81,tickets,random,random,-15,17,41
82,tickets,random,random,-32,50,39
83,tickets,random,random,60,20,40
84,tickets,random,random,21,39,13
85,tickets,random,random,85,25,24
86,tickets,random,random,13,34,23
87,tickets,random,random,-29,26,27
88,tickets,random,random,48,44,31
89,tickets,random,random,62,16,2
90,tickets,random,random,-1,13,29
91,tickets,random,random,74,3,13
92,tickets,random,random,77,40,10
93,tickets,random,random,-42,25,38
94,tickets,random,random,86,35,22
95,tickets,random,random,53,29,7
96,tickets,random,random,59,24,31
97,tickets,random,random,40,43,41
98,tickets,random,random,115,9,27
99,tickets,random,random,-111,38,13
100,tickets,random,random,41,29,25
101,tickets,random,random,-9,27,31
102,tickets,random,random,-171,33,20
103,tickets,random,random,38,23,29
104,tickets,random,random,10,49,40
105,tickets,random,random,55,46,32
106,tickets,random,random,63,30,21
107,tickets,random,random,52,17,16
108,tickets,random,random,32,38,31
109,tickets,random,random,-23,35,24
110,tickets,random,random,46,32,27
111,tickets,random,random,-29,20,38
112,tickets,random,random,40,47,9
113,tickets,random,random,72,24,23
114,tickets,random,random,52,27,31
115,tickets,random,random,85,30,22
116,tickets,random,random,5,12,11
117,tickets,random,random,-167,33,42
118,tickets,random,random,48,48,27
119,tickets,random,random,20,16,32
120,tickets,random,random,-116,39,31
121,tickets,random,random,24,29,45
122,tickets,random,random,33,32,27
123,tickets,random,random,71,17,9
124,tickets,random,random,-51,29,48
125,tickets,random,random,-105,28,50
126,tickets,random,random,44,39,8
127,tickets,random,random,53,37,16
128,tickets,random,random,-217,34,27
129,tickets,random,random,13,23,17
130,tickets,random,random,73,32,19
131,tickets,random,random,73,25,38
132,tickets,random,random,10,24,22
133,tickets,random,random,74,36,6
134,tickets,random,random,-38,28,60
135,tickets,random,random,4,42,32
136,tickets,random,random,61,27,28
137,tickets,random,random,75,28,17
138,tickets,random,random,-68,58,36
139,tickets,random,random,61,9,15
140,tickets,random,random,60,26,40
141,tickets,random,random,86,28,39
142,tickets,random,random,78,19,5
143,tickets,random,random,35,9,33
144,tickets,random,random,-5,23,26
145,tickets,random,random,-9,25,50
146,tickets,random,random,-114,35,45
147,tickets,random,random,25,43,40
148,tickets,random,random,48,27,40
149,tickets,random,random,0,26,42
150,tickets,random,random,61,30,22
151,tickets,random,random,75,26,23
152,tickets,random,random,72,16,8
153,tickets,random,random,21,36,25
154,tickets,random,random,4,34,24
155,tickets,random,random,64,29,7
156,tickets,random,random,40,22,51
157,tickets,random,random,69,25,23
158,tickets,random,random,-12,29,39
159,tickets,random,random,71,26,22
160,tickets,random,random,15,33,42
161,tickets,random,random,65,38,7
162,tickets,random,random,-18,9,36
163,tickets,random,random,73,20,37
