game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,tickets,random,route,31,20,85
1,tickets,random,route,19,36,98
2,tickets,random,route,38,34,84
3,tickets,random,route,94,21,81
4,tickets,random,route,56,31,74
5,tickets,random,route,66,36,84
6,tickets,random,route,-1,46,88
7,tickets,random,route,54,21,83
8,tickets,random,route,41,39,93
9,tickets,random,route,-35,20,88
10,tickets,random,route,-165,40,77
11,tickets,random,route,39,16,82
12,tickets,random,route,37,28,90
13,tickets,random,route,62,18,79
14,tickets,random,route,22,30,84
15,tickets,random,route,-12,63,75
16,tickets,random,route,53,43,87
17,tickets,random,route,82,25,96
18,tickets,random,route,-180,14,74
19,tickets,random,route,27,42,80
20,tickets,random,route,27,12,81
21,tickets,random,route,-7,12,94
22,tickets,random,route,-240,31,92
23,tickets,random,route,54,19,96
24,tickets,random,route,54,40,90
25,tickets,random,route,33,14,81
26,tickets,random,route,34,26,89
27,tickets,random,route,86,18,83
28,tickets,random,route,118,0,88
29,tickets,random,route,74,15,81
30,tickets,random,route,55,13,105
31,tickets,random,route,-246,40,81
32,tickets,random,route,-132,34,79
33,tickets,random,route,54,20,75
34,tickets,random,route,18,26,77
35,tickets,random,route,53,34,86
36,tickets,random,route,-121,12,75
37,tickets,random,route,9,11,94
38,tickets,random,route,55,28,95
39,tickets,random,route,41,31,79
40,tickets,random,route,81,24,74
41,tickets,random,route,55,9,94
42,tickets,random,route,-4,32,86
43,tickets,random,route,-166,53,92
44,tickets,random,route,49,11,83
45,tickets,random,route,76,6,79
46,tickets,random,route,-13,30,92
47,tickets,random,route,71,33,96
48,tickets,random,route,8,38,74
49,tickets,random,route,-48,11,100
50,tickets,random,route,-184,28,102
51,tickets,random,route,30,11,92
52,tickets,random,route,-34,13,80
53,tickets,random,route,35,41,98
54,tickets,random,route,16,42,68
55,tickets,random,route,63,17,81
56,tickets,random,route,59,16,92
57,tickets,random,route,71,-7,98
58,tickets,random,route,1,38,92
59,tickets,random,route,21,19,96
60,tickets,random,route,67,19,81
61,tickets,random,route,-26,29,95
62,tickets,random,route,69,12,92
63,tickets,random,route,73,35,98
64,tickets,random,route,-155,47,77
65,tickets,random,route,48,17,93
66,tickets,random,route,68,28,78
67,tickets,random,route,50,19,74
68,tickets,random,route,9,37,88
69,tickets,random,route,-75,49,96
70,tickets,random,route,46,36,88
71,tickets,random,route,48,40,92
72,tickets,random,route,50,16,85
73,tickets,random,route,-206,37,80
74,tickets,random,route,77,34,88
75,tickets,random,route,87,11,98
76,tickets,random,route,57,18,88
77,tickets,random,route,38,32,83
78,tickets,random,route,100,19,80
79,tickets,random,route,45,32,96
80,tickets,random,route,79,11,97
81,tickets,random,route,85,44,85
82,tickets,random,route,-48,43,85
83,tickets,random,route,63,27,72
84,tickets,random,route,62,8,83
85,tickets,random,route,63,9,94
86,tickets,random,route,83,25,68
87,tickets,random,route,58,25,88
88,tickets,random,route,-130,14,74
89,tickets,random,route,79,22,88
90,tickets,random,route,54,38,70
91,tickets,random,route,33,25,88
92,tickets,random,route,43,17,96
93,tickets,random,route,25,50,80
94,tickets,random,route,63,2,105
95,tickets,random,route,33,45,82
96,tickets,random,route,-106,43,72
97,tickets,random,route,-23,33,85
98,tickets,random,route,63,29,81
99,tickets,random,route,75,42,92
100,tickets,random,route,19,29,76
101,tickets,random,route,22,31,71
102,tickets,random,route,47,30,94
103,tickets,random,route,61,28,90
104,tickets,random,route,23,21,95
105,tickets,random,route,70,42,80
106,tickets,random,route,71,26,85
107,tickets,random,route,60,30,74
108,tickets,random,route,70,26,92
109,tickets,random,route,53,28,101
110,tickets,random,route,21,42,77
111,tickets,random,route,-133,25,83
112,tickets,random,route,-23,36,96
113,tickets,random,route,5,28,80
114,tickets,random,route,77,23,85
115,tickets,random,route,27,25,85
116,tickets,random,route,37,41,96
117,tickets,random,route,32,-1,92
118,tickets,random,route,43,33,69
119,tickets,random,route,83,23,79
120,tickets,random,route,59,29,89
121,tickets,random,route,-184,22,73
122,tickets,random,route,60,27,79
123,tickets,random,route,83,18,86
124,tickets,random,route,49,8,84
125,tickets,random,route,8,33,81
126,tickets,random,route,0,45,89
127,tickets,random,route,-11,4,85
128,tickets,random,route,26,20,87
129,tickets,random,route,84,46,85
130,tickets,random,route,79,38,98
131,tickets,random,route,54,43,79
132,tickets,random,route,51,18,75
133,tickets,random,route,81,20,95
134,tickets,random,route,66,40,79
135,tickets,random,route,3,25,77
136,tickets,random,route,65,4,105
137,tickets,random,route,41,44,93
138,tickets,random,route,-7,51,92
139,tickets,random,route,40,28,89
140,tickets,random,route,58,19,89
141,tickets,random,route,-13,28,75
142,tickets,random,route,52,47,62
143,tickets,random,route,-123,28,86
144,tickets,random,route,45,38,85
145,tickets,random,route,19,35,79
146,tickets,random,route,23,40,89
147,tickets,random,route,48,15,85
148,tickets,random,route,-24,33,92
149,tickets,random,route,-155,43,89
150,tickets,random,route,64,16,77
151,tickets,random,route,41,16,92
152,tickets,random,route,67,1,98
153,tickets,random,route,-60,18,79
154,tickets,random,route,58,28,88
155,tickets,random,route,61,20,80
156,tickets,random,route,52,33,84
157,tickets,random,route,34,21,96
158,tickets,random,route,47,25,84
159,tickets,random,route,32,13,107
160,tickets,random,route,68,27,96
161,tickets,random,route,-101,10,90
162,tickets,random,route,42,27,81
163,tickets,random,route,-3,22,97
164,tickets,random,route,48,17,82
165,tickets,random,route,43,46,68
166,tickets,random,route,53,-3,63
167,tickets,random,route,73,13,96
168,tickets,random,route,107,13,90
169,tickets,random,route,55,19,77
170,tickets,random,route,62,21,83
171,tickets,random,route,-220,43,94
172,tickets,random,route,-74,61,92
173,tickets,random,route,46,25,93
174,tickets,random,route,75,12,96
175,tickets,random,route,102,13,87
176,tickets,random,route,41,4,83
177,tickets,random,route,-192,45,83
178,tickets,random,route,80,15,89
179,tickets,random,route,78,3,78
180,tickets,random,route,90,4,75
181,tickets,random,route,87,27,74
182,tickets,random,route,36,33,94
183,tickets,random,route,-194,16,88
184,tickets,random,route,79,35,90
185,tickets,random,route,16,27,96
186,tickets,random,route,15,30,89
187,tickets,random,route,93,48,89
188,tickets,random,route,3,25,75
189,tickets,random,route,35,33,67
190,tickets,random,route,48,26,70
191,tickets,random,route,35,27,88
192,tickets,random,route,-194,48,70
193,tickets,random,route,96,-1,94
194,tickets,random,route,76,18,94
195,tickets,random,route,87,24,67
196,tickets,random,route,63,32,88
197,tickets,random,route,53,20,85
198,tickets,random,route,1,13,94
199,tickets,random,route,15,26,86
200,tickets,random,route,54,22,83
201,tickets,random,route,55,26,84
202,tickets,random,route,17,22,75
203,tickets,random,route,-2,41,100
204,tickets,random,route,-33,47,83
205,tickets,random,route,39,16,96
206,tickets,random,route,52,28,93
207,tickets,random,route,36,29,81
208,tickets,random,route,26,5,82
209,tickets,random,route,55,19,72
210,tickets,random,route,15,19,79
211,tickets,random,route,-35,18,69
212,tickets,random,route,-5,17,95
213,tickets,random,route,65,28,89
214,tickets,random,route,3,21,66
215,tickets,random,route,62,23,96
216,tickets,random,route,54,15,75
217,tickets,random,route,-23,41,77
218,tickets,random,route,-46,52,75
219,tickets,random,route,78,24,91
220,tickets,random,route,39,28,95
221,tickets,random,route,42,8,85
222,tickets,random,route,2,35,79
223,tickets,random,route,39,23,77
224,tickets,random,route,5,40,80
225,tickets,random,route,91,50,101
226,tickets,random,route,-84,27,94
227,tickets,random,route,22,38,80
228,tickets,random,route,25,25,94
229,tickets,random,route,50,14,96
230,tickets,random,route,-108,28,84
231,tickets,random,route,62,6,98
232,tickets,random,route,50,33,86
233,tickets,random,route,75,16,84
234,tickets,random,route,79,28,76
235,tickets,random,route,87,8,82
236,tickets,random,route,36,19,85
237,tickets,random,route,-4,21,84
238,tickets,random,route,31,42,84
239,tickets,random,route,67,15,74
240,tickets,random,route,53,18,92
241,tickets,random,route,63,26,84
242,tickets,random,route,-7,35,75
243,tickets,random,route,62,26,101
244,tickets,random,route,60,31,94
245,tickets,random,route,77,15,99
246,tickets,random,route,90,27,93
247,tickets,random,route,-203,42,76
248,tickets,random,route,9,-2,84
249,tickets,random,route,32,37,82
250,tickets,random,route,42,20,96
251,tickets,random,route,54,13,77
252,tickets,random,route,3,29,93
253,tickets,random,route,75,21,93
254,tickets,random,route,-158,21,91
255,tickets,random,route,77,44,94
256,tickets,random,route,76,18,98
257,tickets,random,route,2,26,81
258,tickets,random,route,20,21,96
259,tickets,random,route,80,10,101
260,tickets,random,route,75,9,92
261,tickets,random,route,74,26,77
262,tickets,random,route,66,17,88
263,tickets,random,route,79,40,78
264,tickets,random,route,64,5,100
265,tickets,random,route,85,23,85
266,tickets,random,route,-71,45,87
267,tickets,random,route,36,27,68
268,tickets,random,route,43,19,89
269,tickets,random,route,49,23,72
270,tickets,random,route,23,31,84
271,tickets,random,route,27,21,92
272,tickets,random,route,56,23,83
273,tickets,random,route,35,33,84
274,tickets,random,route,-10,22,80
275,tickets,random,route,57,15,88
276,tickets,random,route,43,33,85
277,tickets,random,route,21,37,90
278,tickets,random,route,60,35,92
279,tickets,random,route,-191,49,88
280,tickets,random,route,42,18,81
281,tickets,random,route,73,40,75
282,tickets,random,route,59,31,80
283,tickets,random,route,89,17,101
284,tickets,random,route,64,10,93
285,tickets,random,route,40,38,84
286,tickets,random,route,65,25,82
287,tickets,random,route,88,8,87
288,tickets,random,route,-9,23,85
289,tickets,random,route,38,20,96
290,tickets,random,route,48,19,70
291,tickets,random,route,53,23,66
292,tickets,random,route,4,17,81
293,tickets,random,route,34,7,74
294,tickets,random,route,82,14,96
295,tickets,random,route,24,14,87
296,tickets,random,route,95,20,89
297,tickets,random,route,34,49,81
298,tickets,random,route,19,21,85
299,tickets,random,route,25,25,75
300,tickets,random,route,-184,46,96
301,tickets,random,route,-5,56,74
302,tickets,random,route,61,32,92
303,tickets,random,route,55,28,87
304,tickets,random,route,26,32,94
305,tickets,random,route,-117,37,92
306,tickets,random,route,82,42,81
307,tickets,random,route,-12,32,97
308,tickets,random,route,79,10,90
309,tickets,random,route,68,22,76
310,tickets,random,route,51,1,94
311,tickets,random,route,-120,53,88
312,tickets,random,route,69,1,83
313,tickets,random,route,-12,30,75
314,tickets,random,route,6,33,89
315,tickets,random,route,20,22,92
316,tickets,random,route,33,40,84
317,tickets,random,route,46,38,96
318,tickets,random,route,7,26,80
319,tickets,random,route,65,11,78
