game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,tickets,random,tickets,2,30,28
1,tickets,random,tickets,-168,11,78
2,tickets,random,tickets,-31,44,-35
3,tickets,random,tickets,51,-1,-231
4,tickets,random,tickets,-22,31,-89
5,tickets,random,tickets,45,28,82
6,tickets,random,tickets,-57,21,-43
7,tickets,random,tickets,92,29,34
8,tickets,random,tickets,11,41,-86
9,tickets,random,tickets,107,22,28
10,tickets,random,tickets,-19,17,-110
11,tickets,random,tickets,67,36,27
12,tickets,random,tickets,40,23,25
13,tickets,random,tickets,-74,44,-51
14,tickets,random,tickets,-95,36,-1
15,tickets,random,tickets,-129,20,48
16,tickets,random,tickets,-10,20,-76
17,tickets,random,tickets,24,24,-122
18,tickets,random,tickets,64,17,-138
19,tickets,random,tickets,40,16,-25
20,tickets,random,tickets,49,12,-78
21,tickets,random,tickets,-73,20,26
22,tickets,random,tickets,14,9,62
23,tickets,random,tickets,67,15,79
24,tickets,random,tickets,8,25,-67
25,tickets,random,tickets,-25,23,-72
26,tickets,random,tickets,-74,30,-36
27,tickets,random,tickets,67,28,14
28,tickets,random,tickets,33,24,-83
29,tickets,random,tickets,56,27,-15
30,tickets,random,tickets,-9,26,27
31,tickets,random,tickets,70,4,51
32,tickets,random,tickets,46,30,29
33,tickets,random,tickets,-189,16,64
34,tickets,random,tickets,-99,46,-1
35,tickets,random,tickets,-125,38,73
36,tickets,random,tickets,-110,23,63
37,tickets,random,tickets,54,18,-92
38,tickets,random,tickets,16,36,53
39,tickets,random,tickets,78,19,39
40,tickets,random,tickets,-66,41,12
41,tickets,random,tickets,-48,28,71
42,tickets,random,tickets,-11,31,61
43,tickets,random,tickets,58,12,47
44,tickets,random,tickets,41,15,31
45,tickets,random,tickets,-89,22,-26
46,tickets,random,tickets,51,5,-1
47,tickets,random,tickets,38,21,9
48,tickets,random,tickets,37,24,61
49,tickets,random,tickets,54,30,56
50,tickets,random,tickets,-166,14,16
51,tickets,random,tickets,27,38,-34
52,tickets,random,tickets,-159,16,52
53,tickets,random,tickets,43,10,54
54,tickets,random,tickets,-1,24,-7
55,tickets,random,tickets,68,-2,-147
56,tickets,random,tickets,36,43,-45
57,tickets,random,tickets,-131,22,-16
58,tickets,random,tickets,42,17,54
59,tickets,random,tickets,6,36,-36
60,tickets,random,tickets,30,40,-47
61,tickets,random,tickets,56,9,37
62,tickets,random,tickets,-11,27,-146
63,tickets,random,tickets,-23,47,-87
64,tickets,random,tickets,-85,28,-12
65,tickets,random,tickets,10,23,-142
66,tickets,random,tickets,5,21,-85
67,tickets,random,tickets,-117,28,-30
68,tickets,random,tickets,-81,22,-17
69,tickets,random,tickets,64,24,40
70,tickets,random,tickets,-134,40,61
71,tickets,random,tickets,-84,41,-49
72,tickets,random,tickets,55,31,-18
73,tickets,random,tickets,5,34,-139
74,tickets,random,tickets,41,21,-86
75,tickets,random,tickets,71,27,27
76,tickets,random,tickets,-66,7,-38
77,tickets,random,tickets,36,27,-13
78,tickets,random,tickets,20,23,-22
79,tickets,random,tickets,68,24,-180
80,tickets,random,tickets,74,35,27
81,tickets,random,tickets,12,24,9
82,tickets,random,tickets,-44,16,-58
83,tickets,random,tickets,-43,45,-58
84,tickets,random,tickets,73,3,59
85,tickets,random,tickets,-24,21,-8
86,tickets,random,tickets,86,17,-15
87,tickets,random,tickets,-96,3,10
88,tickets,random,tickets,37,20,2
89,tickets,random,tickets,-58,2,-44
90,tickets,random,tickets,80,16,-2
91,tickets,random,tickets,-63,36,10
92,tickets,random,tickets,63,34,-125
93,tickets,random,tickets,31,23,94
94,tickets,random,tickets,-114,19,86
95,tickets,random,tickets,66,39,-154
96,tickets,random,tickets,-80,17,-53
97,tickets,random,tickets,31,18,-21
98,tickets,random,tickets,-64,24,-49
99,tickets,random,tickets,80,20,57
100,tickets,random,tickets,54,14,60
101,tickets,random,tickets,40,35,-21
102,tickets,random,tickets,38,13,-204
103,tickets,random,tickets,-20,11,-150
104,tickets,random,tickets,32,24,-149
105,tickets,random,tickets,71,1,15
106,tickets,random,tickets,-166,31,33
107,tickets,random,tickets,-32,33,-96
108,tickets,random,tickets,89,29,24
109,tickets,random,tickets,38,22,-25
110,tickets,random,tickets,-24,32,34
111,tickets,random,tickets,-146,22,-21
112,tickets,random,tickets,-191,23,28
113,tickets,random,tickets,36,29,56
114,tickets,random,tickets,51,26,45
115,tickets,random,tickets,53,18,0
116,tickets,random,tickets,-47,31,12
117,tickets,random,tickets,75,12,91
118,tickets,random,tickets,-43,21,-4
119,tickets,random,tickets,70,48,19
120,tickets,random,tickets,46,24,-19
121,tickets,random,tickets,23,10,35
122,tickets,random,tickets,33,12,36
123,tickets,random,tickets,-11,39,-108
124,tickets,random,tickets,25,20,82
125,tickets,random,tickets,-60,2,35
126,tickets,random,tickets,0,23,40
127,tickets,random,tickets,-16,6,-30
128,tickets,random,tickets,-75,37,-79
129,tickets,random,tickets,75,26,50
130,tickets,random,tickets,13,39,-100
131,tickets,random,tickets,10,23,-66
132,tickets,random,tickets,24,36,47
133,tickets,random,tickets,80,12,19
134,tickets,random,tickets,64,27,42
135,tickets,random,tickets,-156,23,37
136,tickets,random,tickets,-5,18,78
137,tickets,random,tickets,-129,29,-3
138,tickets,random,tickets,-41,14,-71
139,tickets,random,tickets,31,15,-3
140,tickets,random,tickets,-109,27,-2
141,tickets,random,tickets,-106,23,-26
142,tickets,random,tickets,1,11,-22
143,tickets,random,tickets,-106,8,68
144,tickets,random,tickets,56,16,-139
145,tickets,random,tickets,-85,19,40
146,tickets,random,tickets,19,26,67
147,tickets,random,tickets,-21,40,-137
148,tickets,random,tickets,-14,13,12
149,tickets,random,tickets,5,18,-13
150,tickets,random,tickets,93,4,21
151,tickets,random,tickets,69,25,29
152,tickets,random,tickets,-176,35,34
153,tickets,random,tickets,-186,30,49
154,tickets,random,tickets,-24,31,-45
155,tickets,random,tickets,-19,34,82
156,tickets,random,tickets,48,30,-128
157,tickets,random,tickets,-127,31,-8
158,tickets,random,tickets,49,10,-89
159,tickets,random,tickets,-11,7,69
160,tickets,random,tickets,50,28,33
161,tickets,random,tickets,37,5,-249
162,tickets,random,tickets,68,40,-162
163,tickets,random,tickets,20,35,-189
164,tickets,random,tickets,-10,18,-74
165,tickets,random,tickets,49,25,21
166,tickets,random,tickets,-23,13,15
167,tickets,random,tickets,34,34,40
168,tickets,random,tickets,100,15,61
169,tickets,random,tickets,60,22,31
170,tickets,random,tickets,52,24,71
171,tickets,random,tickets,-33,20,-29
172,tickets,random,tickets,35,20,72
173,tickets,random,tickets,67,32,-27
174,tickets,random,tickets,4,19,-27
175,tickets,random,tickets,-113,38,18
176,tickets,random,tickets,-114,28,52
