game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,tickets,route,random,49,96,33
1,tickets,route,random,24,94,30
2,tickets,route,random,-12,94,34
3,tickets,route,random,-202,95,26
4,tickets,route,random,-135,77,33
5,tickets,route,random,-15,83,39
6,tickets,route,random,46,76,32
7,tickets,route,random,45,70,20
8,tickets,route,random,36,91,8
9,tickets,route,random,83,68,16
10,tickets,route,random,-12,80,28
11,tickets,route,random,77,98,15
12,tickets,route,random,50,64,4
13,tickets,route,random,-23,85,37
14,tickets,route,random,56,75,33
15,tickets,route,random,34,96,17
16,tickets,route,random,83,86,27
17,tickets,route,random,25,89,25
18,tickets,route,random,-15,81,11
19,tickets,route,random,33,90,37
20,tickets,route,random,-56,83,39
21,tickets,route,random,53,82,9
22,tickets,route,random,35,75,22
23,tickets,route,random,-1,100,7
24,tickets,route,random,56,77,8
25,tickets,route,random,71,77,19
26,tickets,route,random,-60,87,16
27,tickets,route,random,21,89,25
28,tickets,route,random,60,84,30
29,tickets,route,random,65,83,10
30,tickets,route,random,-1,62,27
31,tickets,route,random,59,83,46
32,tickets,route,random,-23,89,52
33,tickets,route,random,-78,88,11
34,tickets,route,random,65,96,25
35,tickets,route,random,72,105,19
36,tickets,route,random,51,87,2
37,tickets,route,random,78,68,18
38,tickets,route,random,24,92,28
39,tickets,route,random,62,86,22
40,tickets,route,random,-54,89,29
41,tickets,route,random,68,96,13
42,tickets,route,random,42,86,33
43,tickets,route,random,34,75,42
44,tickets,route,random,61,94,19
45,tickets,route,random,9,85,50
46,tickets,route,random,-147,82,39
47,tickets,route,random,28,85,9
48,tickets,route,random,33,99,42
49,tickets,route,random,54,90,26
50,tickets,route,random,35,93,23
51,tickets,route,random,46,74,19
52,tickets,route,random,32,86,14
53,tickets,route,random,54,84,30
54,tickets,route,random,39,81,36
55,tickets,route,random,-41,86,20
56,tickets,route,random,39,86,8
57,tickets,route,random,19,90,13
58,tickets,route,random,51,72,27
59,tickets,route,random,73,97,16
60,tickets,route,random,67,87,23
61,tickets,route,random,45,90,2
62,tickets,route,random,87,93,21
63,tickets,route,random,42,89,29
64,tickets,route,random,43,96,39
65,tickets,route,random,30,96,0
66,tickets,route,random,6,80,11
67,tickets,route,random,-64,99,34
68,tickets,route,random,6,79,37
69,tickets,route,random,-40,89,24
70,tickets,route,random,54,88,12
71,tickets,route,random,79,67,12
72,tickets,route,random,-80,98,23
73,tickets,route,random,76,81,13
74,tickets,route,random,34,86,31
75,tickets,route,random,70,71,20
76,tickets,route,random,78,71,24
77,tickets,route,random,50,76,16
78,tickets,route,random,22,87,36
79,tickets,route,random,30,87,10
80,tickets,route,random,71,105,22
81,tickets,route,random,-105,80,37
82,tickets,route,random,79,88,21
83,tickets,route,random,48,82,17
84,tickets,route,random,19,89,16
85,tickets,route,random,4,96,25
86,tickets,route,random,19,96,29
87,tickets,route,random,50,96,26
88,tickets,route,random,90,81,12
89,tickets,route,random,1,88,22
90,tickets,route,random,82,101,34
91,tickets,route,random,49,75,27
92,tickets,route,random,22,94,41
93,tickets,route,random,74,96,29
94,tickets,route,random,56,81,14
95,tickets,route,random,65,83,14
96,tickets,route,random,24,96,31
97,tickets,route,random,54,92,31
98,tickets,route,random,53,80,29
99,tickets,route,random,-79,77,31
100,tickets,route,random,110,83,-1
101,tickets,route,random,-8,92,2
102,tickets,route,random,37,68,36
103,tickets,route,random,47,81,37
104,tickets,route,random,57,84,22
105,tickets,route,random,73,85,14
106,tickets,route,random,-99,94,38
107,tickets,route,random,25,72,17
108,tickets,route,random,75,94,23
109,tickets,route,random,59,87,15
110,tickets,route,random,73,85,7
111,tickets,route,random,25,85,11
112,tickets,route,random,50,94,10
113,tickets,route,random,55,85,6
114,tickets,route,random,-14,83,24
115,tickets,route,random,-68,94,20
116,tickets,route,random,-177,69,25
117,tickets,route,random,59,77,40
118,tickets,route,random,7,84,11
119,tickets,route,random,22,84,19
120,tickets,route,random,33,94,9
121,tickets,route,random,11,81,0
122,tickets,route,random,58,105,23
123,tickets,route,random,45,70,7
124,tickets,route,random,12,96,13
125,tickets,route,random,67,96,11
126,tickets,route,random,52,103,40
127,tickets,route,random,89,83,24
128,tickets,route,random,70,83,11
129,tickets,route,random,66,88,14
130,tickets,route,random,2,101,15
131,tickets,route,random,-12,96,20
132,tickets,route,random,32,71,32
133,tickets,route,random,31,83,9
134,tickets,route,random,52,95,0
135,tickets,route,random,12,94,7
136,tickets,route,random,57,85,15
137,tickets,route,random,52,86,6
138,tickets,route,random,60,73,17
139,tickets,route,random,-14,105,27
140,tickets,route,random,-71,71,34
141,tickets,route,random,68,79,20
142,tickets,route,random,14,78,11
143,tickets,route,random,-77,99,12
144,tickets,route,random,49,67,15
145,tickets,route,random,96,74,30
146,tickets,route,random,24,79,23
147,tickets,route,random,-8,96,25
148,tickets,route,random,63,78,8
149,tickets,route,random,63,88,41
150,tickets,route,random,28,85,38
151,tickets,route,random,-15,86,43
152,tickets,route,random,-11,96,24
153,tickets,route,random,65,96,14
154,tickets,route,random,69,95,15
155,tickets,route,random,31,99,13
156,tickets,route,random,22,96,41
157,tickets,route,random,-86,92,32
158,tickets,route,random,49,83,39
159,tickets,route,random,51,94,27
160,tickets,route,random,69,83,6
161,tickets,route,random,-46,66,49
162,tickets,route,random,11,76,21
163,tickets,route,random,102,74,23
164,tickets,route,random,-149,81,46
165,tickets,route,random,78,68,33
166,tickets,route,random,56,99,30
167,tickets,route,random,68,89,22
168,tickets,route,random,70,85,34
169,tickets,route,random,59,70,9
170,tickets,route,random,-195,85,10
171,tickets,route,random,57,77,39
172,tickets,route,random,-113,86,29
173,tickets,route,random,61,87,13
174,tickets,route,random,24,76,17
175,tickets,route,random,32,98,21
176,tickets,route,random,62,94,45
177,tickets,route,random,6,75,19
178,tickets,route,random,94,88,42
179,tickets,route,random,44,92,31
180,tickets,route,random,52,79,26
181,tickets,route,random,62,67,22
182,tickets,route,random,43,86,27
183,tickets,route,random,29,83,24
184,tickets,route,random,-12,73,21
185,tickets,route,random,14,83,23
186,tickets,route,random,10,72,36
