game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,tickets,route,route,38,83,82
1,tickets,route,route,64,87,105
2,tickets,route,route,27,92,82
3,tickets,route,route,29,88,88
4,tickets,route,route,19,68,74
5,tickets,route,route,29,73,80
6,tickets,route,route,36,94,76
7,tickets,route,route,77,84,101
8,tickets,route,route,23,85,82
9,tickets,route,route,51,68,82
10,tickets,route,route,54,88,97
11,tickets,route,route,27,59,99
12,tickets,route,route,51,87,106
13,tickets,route,route,73,79,93
14,tickets,route,route,36,87,94
15,tickets,route,route,48,97,62
16,tickets,route,route,51,105,68
17,tickets,route,route,50,80,98
18,tickets,route,route,40,75,86
19,tickets,route,route,29,87,75
20,tickets,route,route,46,93,47
21,tickets,route,route,42,78,84
22,tickets,route,route,62,89,73
23,tickets,route,route,39,74,68
24,tickets,route,route,43,77,79
25,tickets,route,route,30,84,99
26,tickets,route,route,21,75,64
27,tickets,route,route,36,78,91
28,tickets,route,route,54,86,71
29,tickets,route,route,18,91,89
30,tickets,route,route,19,75,83
31,tickets,route,route,52,92,82
32,tickets,route,route,-35,84,79
33,tickets,route,route,39,90,78
34,tickets,route,route,42,63,86
35,tickets,route,route,48,83,73
36,tickets,route,route,33,88,94
37,tickets,route,route,36,69,83
38,tickets,route,route,57,84,88
39,tickets,route,route,38,67,79
40,tickets,route,route,7,86,79
41,tickets,route,route,33,81,78
42,tickets,route,route,44,70,52
43,tickets,route,route,29,71,90
44,tickets,route,route,21,95,84
45,tickets,route,route,52,77,68
46,tickets,route,route,27,69,65
47,tickets,route,route,36,79,77
48,tickets,route,route,36,76,91
49,tickets,route,route,42,87,76
50,tickets,route,route,50,64,87
51,tickets,route,route,49,89,71
52,tickets,route,route,35,85,73
53,tickets,route,route,34,78,72
54,tickets,route,route,17,68,60
55,tickets,route,route,40,91,86
56,tickets,route,route,52,66,88
57,tickets,route,route,29,94,56
58,tickets,route,route,54,66,84
59,tickets,route,route,44,84,59
60,tickets,route,route,40,85,85
61,tickets,route,route,26,71,93
62,tickets,route,route,45,81,83
63,tickets,route,route,67,84,72
64,tickets,route,route,-14,92,74
65,tickets,route,route,14,93,80
66,tickets,route,route,29,103,71
67,tickets,route,route,20,77,55
68,tickets,route,route,16,94,68
69,tickets,route,route,49,92,67
70,tickets,route,route,62,80,98
71,tickets,route,route,44,105,74
72,tickets,route,route,16,84,67
73,tickets,route,route,44,70,79
74,tickets,route,route,53,76,95
75,tickets,route,route,58,99,72
76,tickets,route,route,31,93,76
77,tickets,route,route,71,76,84
78,tickets,route,route,60,78,84
79,tickets,route,route,47,72,80
80,tickets,route,route,13,80,78
81,tickets,route,route,61,76,71
82,tickets,route,route,36,77,63
83,tickets,route,route,38,73,93
84,tickets,route,route,47,73,92
85,tickets,route,route,35,89,92
86,tickets,route,route,12,101,78
87,tickets,route,route,2,78,73
88,tickets,route,route,13,99,73
89,tickets,route,route,53,59,108
90,tickets,route,route,40,89,62
91,tickets,route,route,44,82,92
92,tickets,route,route,42,77,70
93,tickets,route,route,61,72,80
94,tickets,route,route,41,100,72
95,tickets,route,route,63,66,83
96,tickets,route,route,0,71,90
97,tickets,route,route,41,73,85
98,tickets,route,route,18,88,61
99,tickets,route,route,55,67,72
100,tickets,route,route,69,72,69
101,tickets,route,route,30,85,76
