game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,tickets,route,tickets,-37,91,-19
1,tickets,route,tickets,40,71,-28
2,tickets,route,tickets,5,86,16
3,tickets,route,tickets,82,85,-95
4,tickets,route,tickets,55,84,37
5,tickets,route,tickets,21,91,-81
6,tickets,route,tickets,65,84,58
7,tickets,route,tickets,52,68,69
8,tickets,route,tickets,59,115,30
9,tickets,route,tickets,-14,81,27
10,tickets,route,tickets,43,82,-75
11,tickets,route,tickets,12,96,21
12,tickets,route,tickets,-2,79,18
13,tickets,route,tickets,36,96,-30
14,tickets,route,tickets,61,89,-125
15,tickets,route,tickets,-51,75,4
16,tickets,route,tickets,49,94,26
17,tickets,route,tickets,65,94,-31
18,tickets,route,tickets,23,93,68
19,tickets,route,tickets,70,83,87
20,tickets,route,tickets,47,82,34
21,tickets,route,tickets,13,92,44
22,tickets,route,tickets,-39,96,-21
23,tickets,route,tickets,10,74,50
24,tickets,route,tickets,40,88,53
25,tickets,route,tickets,119,92,39
26,tickets,route,tickets,97,92,29
27,tickets,route,tickets,47,77,-96
28,tickets,route,tickets,20,99,50
29,tickets,route,tickets,76,90,19
30,tickets,route,tickets,36,88,47
31,tickets,route,tickets,-51,76,72
32,tickets,route,tickets,64,81,-16
33,tickets,route,tickets,-16,76,-66
34,tickets,route,tickets,67,71,37
35,tickets,route,tickets,-48,80,62
36,tickets,route,tickets,-34,71,4
37,tickets,route,tickets,53,88,-27
38,tickets,route,tickets,83,94,-165
39,tickets,route,tickets,-59,85,21
40,tickets,route,tickets,88,79,56
41,tickets,route,tickets,-7,89,81
42,tickets,route,tickets,-13,88,-17
43,tickets,route,tickets,29,94,24
44,tickets,route,tickets,58,84,-8
45,tickets,route,tickets,64,86,-174
46,tickets,route,tickets,33,82,-117
47,tickets,route,tickets,-1,86,13
48,tickets,route,tickets,57,81,74
49,tickets,route,tickets,25,78,-64
50,tickets,route,tickets,-230,101,46
51,tickets,route,tickets,-173,77,50
52,tickets,route,tickets,-6,75,-44
53,tickets,route,tickets,-106,72,61
54,tickets,route,tickets,57,77,55
55,tickets,route,tickets,47,94,12
56,tickets,route,tickets,17,100,-31
57,tickets,route,tickets,84,96,77
58,tickets,route,tickets,63,91,72
59,tickets,route,tickets,-96,87,47
60,tickets,route,tickets,44,81,-181
61,tickets,route,tickets,50,99,52
62,tickets,route,tickets,80,75,-193
63,tickets,route,tickets,81,76,13
64,tickets,route,tickets,25,105,100
65,tickets,route,tickets,-8,96,56
66,tickets,route,tickets,10,88,52
67,tickets,route,tickets,32,90,44
68,tickets,route,tickets,-191,96,64
69,tickets,route,tickets,-2,86,-9
70,tickets,route,tickets,47,85,9
71,tickets,route,tickets,31,71,18
72,tickets,route,tickets,-232,94,53
73,tickets,route,tickets,65,71,54
74,tickets,route,tickets,46,84,-161
75,tickets,route,tickets,84,92,34
76,tickets,route,tickets,60,82,75
77,tickets,route,tickets,6,75,-34
78,tickets,route,tickets,37,77,76
79,tickets,route,tickets,32,99,11
80,tickets,route,tickets,57,75,88
81,tickets,route,tickets,59,89,-99
82,tickets,route,tickets,58,73,-58
83,tickets,route,tickets,60,86,-14
84,tickets,route,tickets,16,79,55
85,tickets,route,tickets,22,94,73
86,tickets,route,tickets,-35,96,54
87,tickets,route,tickets,-44,89,17
88,tickets,route,tickets,-20,87,47
89,tickets,route,tickets,55,84,66
90,tickets,route,tickets,-34,94,19
91,tickets,route,tickets,14,68,29
92,tickets,route,tickets,35,75,74
93,tickets,route,tickets,-29,72,51
94,tickets,route,tickets,76,92,23
95,tickets,route,tickets,18,99,10
96,tickets,route,tickets,60,105,-8
97,tickets,route,tickets,-69,106,61
98,tickets,route,tickets,-152,96,23
99,tickets,route,tickets,64,90,39
100,tickets,route,tickets,19,80,12
101,tickets,route,tickets,27,75,18
102,tickets,route,tickets,-75,80,46
103,tickets,route,tickets,40,83,-191
104,tickets,route,tickets,-28,96,-52
105,tickets,route,tickets,44,96,68
106,tickets,route,tickets,67,98,-75
107,tickets,route,tickets,40,94,-236
108,tickets,route,tickets,45,92,45
109,tickets,route,tickets,36,78,6
110,tickets,route,tickets,18,71,26
111,tickets,route,tickets,5,81,-1
112,tickets,route,tickets,61,80,29
113,tickets,route,tickets,47,63,26
114,tickets,route,tickets,33,83,54
115,tickets,route,tickets,55,88,50
116,tickets,route,tickets,-9,87,-57
117,tickets,route,tickets,33,94,58
118,tickets,route,tickets,-107,85,-19
119,tickets,route,tickets,88,75,16
120,tickets,route,tickets,62,83,12
121,tickets,route,tickets,21,88,56
122,tickets,route,tickets,1,87,-96
123,tickets,route,tickets,-118,89,37
124,tickets,route,tickets,83,80,31
125,tickets,route,tickets,78,79,-28
126,tickets,route,tickets,30,72,15
127,tickets,route,tickets,-103,92,27
128,tickets,route,tickets,66,72,6
129,tickets,route,tickets,51,85,44
130,tickets,route,tickets,18,72,-51
131,tickets,route,tickets,58,84,52
132,tickets,route,tickets,31,71,32
133,tickets,route,tickets,10,87,58
134,tickets,route,tickets,37,80,82
135,tickets,route,tickets,39,82,38
136,tickets,route,tickets,44,71,58
137,tickets,route,tickets,27,87,61
138,tickets,route,tickets,41,96,38
139,tickets,route,tickets,16,92,45
140,tickets,route,tickets,38,80,-150
141,tickets,route,tickets,30,83,-74
142,tickets,route,tickets,36,101,17
143,tickets,route,tickets,76,84,24
144,tickets,route,tickets,-95,83,54
145,tickets,route,tickets,-3,89,29
146,tickets,route,tickets,-26,83,61
147,tickets,route,tickets,58,96,59
148,tickets,route,tickets,61,89,73
149,tickets,route,tickets,87,85,43
150,tickets,route,tickets,84,88,36
151,tickets,route,tickets,52,76,53
152,tickets,route,tickets,85,81,75
153,tickets,route,tickets,-54,92,72
154,tickets,route,tickets,52,71,-15
155,tickets,route,tickets,-169,93,62
156,tickets,route,tickets,24,76,100
157,tickets,route,tickets,69,94,56
158,tickets,route,tickets,-75,94,28
159,tickets,route,tickets,49,85,41
160,tickets,route,tickets,49,86,45
161,tickets,route,tickets,67,72,-118
162,tickets,route,tickets,-41,93,29
163,tickets,route,tickets,34,83,33
164,tickets,route,tickets,15,73,51
165,tickets,route,tickets,50,89,51
166,tickets,route,tickets,39,74,-78
167,tickets,route,tickets,-19,84,-60
168,tickets,route,tickets,28,88,25
169,tickets,route,tickets,46,80,-122
170,tickets,route,tickets,63,94,16
171,tickets,route,tickets,52,94,84
172,tickets,route,tickets,-11,76,25
173,tickets,route,tickets,-78,92,31
174,tickets,route,tickets,-22,105,70
175,tickets,route,tickets,-80,92,56
176,tickets,route,tickets,-36,76,-25
177,tickets,route,tickets,-27,94,46
178,tickets,route,tickets,29,63,23
179,tickets,route,tickets,-15,91,41
180,tickets,route,tickets,19,96,34
181,tickets,route,tickets,22,73,48
182,tickets,route,tickets,30,101,-24
183,tickets,route,tickets,-259,68,77
184,tickets,route,tickets,61,86,6
185,tickets,route,tickets,-1,79,-118
186,tickets,route,tickets,-72,89,29
187,tickets,route,tickets,28,74,88
188,tickets,route,tickets,72,72,38
189,tickets,route,tickets,44,83,20
190,tickets,route,tickets,30,74,52
191,tickets,route,tickets,-25,89,37
192,tickets,route,tickets,95,81,2
193,tickets,route,tickets,10,93,2
194,tickets,route,tickets,17,74,-84
195,tickets,route,tickets,3,87,68
196,tickets,route,tickets,62,73,31
197,tickets,route,tickets,21,87,70
198,tickets,route,tickets,66,85,-6
199,tickets,route,tickets,-8,105,74
200,tickets,route,tickets,57,94,50
201,tickets,route,tickets,9,79,-16
202,tickets,route,tickets,3,92,42
203,tickets,route,tickets,74,85,53
204,tickets,route,tickets,19,96,76
205,tickets,route,tickets,57,89,20
206,tickets,route,tickets,-79,77,44
207,tickets,route,tickets,59,89,62
208,tickets,route,tickets,88,78,46
209,tickets,route,tickets,17,105,49
210,tickets,route,tickets,10,93,24
211,tickets,route,tickets,21,92,-6
212,tickets,route,tickets,50,72,22
213,tickets,route,tickets,-20,71,1
214,tickets,route,tickets,75,94,-54
215,tickets,route,tickets,-39,83,-67
216,tickets,route,tickets,68,101,0
217,tickets,route,tickets,45,94,35
