game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,tickets,tickets,random,15,37,5
1,tickets,tickets,random,-47,28,29
2,tickets,tickets,random,-80,7,38
3,tickets,tickets,random,14,-96,21
4,tickets,tickets,random,55,-5,35
5,tickets,tickets,random,53,-121,30
6,tickets,tickets,random,61,46,33
7,tickets,tickets,random,81,-2,24
8,tickets,tickets,random,-8,-88,49
9,tickets,tickets,random,65,-44,23
10,tickets,tickets,random,84,51,-12
11,tickets,tickets,random,-91,2,42
12,tickets,tickets,random,34,38,31
13,tickets,tickets,random,69,-199,10
14,tickets,tickets,random,47,-58,5
15,tickets,tickets,random,79,-125,6
16,tickets,tickets,random,-53,34,10
17,tickets,tickets,random,40,-225,37
18,tickets,tickets,random,69,35,22
19,tickets,tickets,random,76,61,37
20,tickets,tickets,random,26,54,31
21,tickets,tickets,random,6,56,12
22,tickets,tickets,random,-15,-48,26
23,tickets,tickets,random,-86,58,22
24,tickets,tickets,random,43,90,-5
25,tickets,tickets,random,-85,-30,23
26,tickets,tickets,random,-78,23,30
27,tickets,tickets,random,-18,-35,10
28,tickets,tickets,random,-108,26,39
29,tickets,tickets,random,-84,5,17
30,tickets,tickets,random,-110,46,31
31,tickets,tickets,random,14,87,19
32,tickets,tickets,random,-34,-52,2
33,tickets,tickets,random,62,-71,30
34,tickets,tickets,random,52,-92,26
35,tickets,tickets,random,80,9,11
36,tickets,tickets,random,37,42,29
37,tickets,tickets,random,-183,56,12
38,tickets,tickets,random,9,56,20
39,tickets,tickets,random,-65,-46,53
40,tickets,tickets,random,7,-89,39
41,tickets,tickets,random,49,42,11
42,tickets,tickets,random,14,-9,35
43,tickets,tickets,random,34,-39,31
44,tickets,tickets,random,-247,62,43
45,tickets,tickets,random,-29,-47,-1
46,tickets,tickets,random,30,36,29
47,tickets,tickets,random,45,-87,10
48,tickets,tickets,random,64,-103,6
49,tickets,tickets,random,34,52,27
50,tickets,tickets,random,-24,-25,34
51,tickets,tickets,random,84,53,14
52,tickets,tickets,random,45,42,19
53,tickets,tickets,random,84,27,17
54,tickets,tickets,random,76,-83,32
55,tickets,tickets,random,-25,66,13
56,tickets,tickets,random,17,61,24
57,tickets,tickets,random,-95,-56,19
58,tickets,tickets,random,-57,-14,17
59,tickets,tickets,random,77,44,2
60,tickets,tickets,random,-46,-4,18
61,tickets,tickets,random,56,-55,26
62,tickets,tickets,random,78,37,6
63,tickets,tickets,random,29,4,17
64,tickets,tickets,random,-176,29,40
65,tickets,tickets,random,-130,28,29
66,tickets,tickets,random,72,-149,32
67,tickets,tickets,random,58,-56,10
68,tickets,tickets,random,49,-173,5
69,tickets,tickets,random,12,-68,31
70,tickets,tickets,random,65,55,22
71,tickets,tickets,random,15,67,35
72,tickets,tickets,random,53,-227,14
73,tickets,tickets,random,-70,-29,31
74,tickets,tickets,random,59,53,8
75,tickets,tickets,random,-65,42,26
76,tickets,tickets,random,-76,-18,16
77,tickets,tickets,random,46,53,12
78,tickets,tickets,random,46,99,31
79,tickets,tickets,random,45,32,35
80,tickets,tickets,random,-205,36,38
81,tickets,tickets,random,-8,9,24
82,tickets,tickets,random,36,-13,35
83,tickets,tickets,random,27,75,30
84,tickets,tickets,random,72,61,21
85,tickets,tickets,random,48,4,17
86,tickets,tickets,random,-29,11,41
87,tickets,tickets,random,6,13,25
88,tickets,tickets,random,-63,17,14
89,tickets,tickets,random,14,36,9
90,tickets,tickets,random,-115,-14,32
91,tickets,tickets,random,-47,58,30
92,tickets,tickets,random,-92,1,2
93,tickets,tickets,random,3,19,18
94,tickets,tickets,random,20,-95,20
95,tickets,tickets,random,-93,-11,5
96,tickets,tickets,random,1,34,36
97,tickets,tickets,random,19,-36,29
98,tickets,tickets,random,46,53,23
99,tickets,tickets,random,-62,-68,22
100,tickets,tickets,random,14,-100,32
101,tickets,tickets,random,-102,51,28
102,tickets,tickets,random,-60,-7,22
103,tickets,tickets,random,20,14,19
104,tickets,tickets,random,58,47,27
105,tickets,tickets,random,-26,42,36
106,tickets,tickets,random,-19,-30,31
107,tickets,tickets,random,-62,1,16
108,tickets,tickets,random,-52,-20,37
109,tickets,tickets,random,-2,70,22
110,tickets,tickets,random,84,-41,7
111,tickets,tickets,random,38,68,16
112,tickets,tickets,random,45,-66,31
113,tickets,tickets,random,-134,41,14
114,tickets,tickets,random,-153,14,28
115,tickets,tickets,random,68,69,11
116,tickets,tickets,random,73,-51,25
117,tickets,tickets,random,-64,-18,17
118,tickets,tickets,random,28,24,12
119,tickets,tickets,random,72,-129,14
120,tickets,tickets,random,19,46,10
121,tickets,tickets,random,-185,25,39
122,tickets,tickets,random,-40,-48,15
123,tickets,tickets,random,-100,2,18
124,tickets,tickets,random,-113,-29,29
125,tickets,tickets,random,53,33,20
126,tickets,tickets,random,-174,72,22
127,tickets,tickets,random,23,-26,28
128,tickets,tickets,random,95,-122,37
129,tickets,tickets,random,-20,17,10
130,tickets,tickets,random,-63,-26,42
131,tickets,tickets,random,-194,43,28
132,tickets,tickets,random,-29,-25,38
133,tickets,tickets,random,-136,-19,43
134,tickets,tickets,random,-62,-38,15
135,tickets,tickets,random,-16,41,5
136,tickets,tickets,random,-33,-62,25
137,tickets,tickets,random,-38,-60,39
138,tickets,tickets,random,-32,-78,33
139,tickets,tickets,random,-26,-8,18
140,tickets,tickets,random,74,19,20
141,tickets,tickets,random,25,25,7
142,tickets,tickets,random,-134,39,38
143,tickets,tickets,random,31,15,14
144,tickets,tickets,random,-159,27,12
145,tickets,tickets,random,-76,76,27
146,tickets,tickets,random,-29,-21,28
