game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,tickets,tickets,route,-86,39,96
1,tickets,tickets,route,26,36,75
2,tickets,tickets,route,-19,34,88
3,tickets,tickets,route,9,5,89
4,tickets,tickets,route,-8,77,97
5,tickets,tickets,route,81,14,91
6,tickets,tickets,route,40,48,94
7,tickets,tickets,route,60,35,81
8,tickets,tickets,route,38,53,85
9,tickets,tickets,route,57,-23,76
10,tickets,tickets,route,3,-57,67
11,tickets,tickets,route,15,-71,94
12,tickets,tickets,route,10,50,92
13,tickets,tickets,route,68,21,88
14,tickets,tickets,route,51,-2,80
15,tickets,tickets,route,93,52,105
16,tickets,tickets,route,-123,69,82
17,tickets,tickets,route,41,26,81
18,tickets,tickets,route,-45,-3,88
19,tickets,tickets,route,12,38,92
20,tickets,tickets,route,-72,24,86
21,tickets,tickets,route,-33,19,105
22,tickets,tickets,route,83,17,97
23,tickets,tickets,route,15,9,92
24,tickets,tickets,route,-51,54,81
25,tickets,tickets,route,-91,52,82
26,tickets,tickets,route,19,82,80
27,tickets,tickets,route,20,-61,93
28,tickets,tickets,route,0,-36,94
29,tickets,tickets,route,27,58,81
30,tickets,tickets,route,57,26,85
31,tickets,tickets,route,69,55,99
32,tickets,tickets,route,25,-61,72
33,tickets,tickets,route,77,34,84
34,tickets,tickets,route,63,-4,89
35,tickets,tickets,route,62,66,66
36,tickets,tickets,route,42,9,93
37,tickets,tickets,route,-98,17,86
38,tickets,tickets,route,94,43,68
39,tickets,tickets,route,75,41,74
40,tickets,tickets,route,69,-51,88
41,tickets,tickets,route,14,63,86
42,tickets,tickets,route,57,64,79
43,tickets,tickets,route,51,55,67
44,tickets,tickets,route,39,58,68
45,tickets,tickets,route,41,47,82
46,tickets,tickets,route,-58,27,87
47,tickets,tickets,route,71,-166,88
48,tickets,tickets,route,13,53,86
49,tickets,tickets,route,-4,59,91
50,tickets,tickets,route,74,49,92
51,tickets,tickets,route,51,-15,85
52,tickets,tickets,route,21,12,85
53,tickets,tickets,route,-137,55,79
54,tickets,tickets,route,48,-55,97
55,tickets,tickets,route,79,75,85
56,tickets,tickets,route,22,64,78
57,tickets,tickets,route,48,-17,81
58,tickets,tickets,route,60,13,81
