game_num,strategy1,strategy2,strategy3,points1,points2,points3
0,tickets,tickets,tickets,-24,47,53
1,tickets,tickets,tickets,94,12,15
2,tickets,tickets,tickets,51,-2,-70
3,tickets,tickets,tickets,56,-178,58
4,tickets,tickets,tickets,73,-4,-43
5,tickets,tickets,tickets,26,4,-17
6,tickets,tickets,tickets,-66,72,24
7,tickets,tickets,tickets,-14,4,-36
8,tickets,tickets,tickets,56,-13,-63
9,tickets,tickets,tickets,54,-66,-16
10,tickets,tickets,tickets,30,73,-47
11,tickets,tickets,tickets,2,42,-36
12,tickets,tickets,tickets,32,28,-50
13,tickets,tickets,tickets,-38,-9,-83
14,tickets,tickets,tickets,-129,64,30
15,tickets,tickets,tickets,81,16,37
16,tickets,tickets,tickets,6,-28,66
17,tickets,tickets,tickets,60,49,43
18,tickets,tickets,tickets,-82,58,-30
19,tickets,tickets,tickets,-73,26,47
20,tickets,tickets,tickets,37,26,-35
21,tickets,tickets,tickets,-2,57,-1
22,tickets,tickets,tickets,29,10,45
23,tickets,tickets,tickets,5,-20,28
24,tickets,tickets,tickets,-14,36,-55
25,tickets,tickets,tickets,40,5,-41
26,tickets,tickets,tickets,85,-75,18
27,tickets,tickets,tickets,13,48,-79
28,tickets,tickets,tickets,16,-42,27
29,tickets,tickets,tickets,6,1,-19
30,tickets,tickets,tickets,-66,34,-59
31,tickets,tickets,tickets,10,25,-15
32,tickets,tickets,tickets,60,-37,-4
33,tickets,tickets,tickets,39,-41,-50
34,tickets,tickets,tickets,48,-134,25
35,tickets,tickets,tickets,20,23,33
36,tickets,tickets,tickets,23,-29,-44
37,tickets,tickets,tickets,-73,43,-72
38,tickets,tickets,tickets,50,13,-28
39,tickets,tickets,tickets,-143,32,53
40,tickets,tickets,tickets,-64,67,2
41,tickets,tickets,tickets,21,-26,-46
42,tickets,tickets,tickets,59,-39,-63
43,tickets,tickets,tickets,49,76,2
44,tickets,tickets,tickets,41,97,19
45,tickets,tickets,tickets,-39,-28,43
46,tickets,tickets,tickets,-48,-60,44
47,tickets,tickets,tickets,42,21,-34
48,tickets,tickets,tickets,38,-21,70
49,tickets,tickets,tickets,79,9,-159
50,tickets,tickets,tickets,-79,4,78
51,tickets,tickets,tickets,-9,-28,30
52,tickets,tickets,tickets,3,36,79
53,tickets,tickets,tickets,71,59,28
54,tickets,tickets,tickets,-45,14,-10
55,tickets,tickets,tickets,-110,29,66
56,tickets,tickets,tickets,-3,-13,18
57,tickets,tickets,tickets,7,-73,3
58,tickets,tickets,tickets,-77,3,38
59,tickets,tickets,tickets,15,23,14
60,tickets,tickets,tickets,21,87,-15
61,tickets,tickets,tickets,15,-23,-52
62,tickets,tickets,tickets,44,-7,-145
63,tickets,tickets,tickets,20,85,43
64,tickets,tickets,tickets,25,-3,-18
65,tickets,tickets,tickets,-54,20,-14
66,tickets,tickets,tickets,14,-28,-22
67,tickets,tickets,tickets,12,3,-27
68,tickets,tickets,tickets,-116,56,-56
69,tickets,tickets,tickets,-1,67,-50
70,tickets,tickets,tickets,-149,33,74
71,tickets,tickets,tickets,-16,49,-5
72,tickets,tickets,tickets,0,-54,36
73,tickets,tickets,tickets,56,-46,8
74,tickets,tickets,tickets,42,-157,49
