game_num,strategy1,strategy2,points1,points2
0,tickets,random,-4,44
1,tickets,random,75,8
2,tickets,random,63,17
3,tickets,random,63,23
4,tickets,random,73,18
5,tickets,random,69,8
6,tickets,random,57,25
7,tickets,random,18,28
8,tickets,random,46,51
9,tickets,random,85,31
10,tickets,random,28,19
11,tickets,random,75,33
12,tickets,random,45,41
13,tickets,random,82,20
14,tickets,random,-41,42
15,tickets,random,61,21
16,tickets,random,9,42
17,tickets,random,55,13
18,tickets,random,11,41
19,tickets,random,69,20
20,tickets,random,87,32
21,tickets,random,51,28
22,tickets,random,13,25
23,tickets,random,58,31
24,tickets,random,60,37
25,tickets,random,66,26
26,tickets,random,56,11
27,tickets,random,16,23
28,tickets,random,75,17
29,tickets,random,72,11
30,tickets,random,56,34
31,tickets,random,-35,37
32,tickets,random,18,49
33,tickets,random,44,31
34,tickets,random,76,14
35,tickets,random,46,45
36,tickets,random,49,21
37,tickets,random,22,29
38,tickets,random,75,19
39,tickets,random,87,15
40,tickets,random,68,13
41,tickets,random,49,48
42,tickets,random,72,16
43,tickets,random,82,27
44,tickets,random,70,14
45,tickets,random,56,44
46,tickets,random,66,42
47,tickets,random,39,20
48,tickets,random,37,14
49,tickets,random,68,32
