game_num,strategy1,strategy2,points1,points2
0,mixed,random,78,53
1,mixed,random,89,28
2,mixed,random,83,43
3,mixed,random,81,33
4,mixed,random,93,37
5,mixed,random,104,19
6,mixed,random,72,53
7,mixed,random,99,16
8,mixed,random,67,45
9,mixed,random,99,31
10,mixed,random,80,55
11,mixed,random,106,32
12,mixed,random,109,61
13,mixed,random,86,37
14,mixed,random,89,49
15,mixed,random,102,41
16,mixed,random,104,50
17,mixed,random,85,23
18,mixed,random,77,48
19,mixed,random,82,43
20,mixed,random,95,47
21,mixed,random,83,14
22,mixed,random,110,34
23,mixed,random,98,38
24,mixed,random,85,45
25,mixed,random,97,37
26,mixed,random,93,25
27,mixed,random,92,18
28,mixed,random,97,46
29,mixed,random,96,24
30,mixed,random,75,23
31,mixed,random,98,46
32,mixed,random,84,33
33,mixed,random,105,20
34,mixed,random,70,46
35,mixed,random,100,53
36,mixed,random,115,41
37,mixed,random,73,46
38,mixed,random,93,52
39,mixed,random,101,34
40,mixed,random,92,31
41,mixed,random,96,25
42,mixed,random,84,32
43,mixed,random,88,36
44,mixed,random,92,57
45,mixed,random,87,51
46,mixed,random,92,31
47,mixed,random,109,18
48,mixed,random,85,44
49,mixed,random,93,35
50,mixed,random,92,25
51,mixed,random,101,34
52,mixed,random,76,53
53,mixed,random,92,42
54,mixed,random,83,42
55,mixed,random,98,39
56,mixed,random,101,54
57,mixed,random,75,51
58,mixed,random,68,56
59,mixed,random,86,23
60,mixed,random,87,53
61,mixed,random,95,53
62,mixed,random,104,36
63,mixed,random,96,45
64,mixed,random,102,21
65,mixed,random,85,31
66,mixed,random,92,26
67,mixed,random,107,34
68,mixed,random,84,32
69,mixed,random,77,36
70,mixed,random,94,27
71,mixed,random,108,23
72,mixed,random,92,34
73,mixed,random,100,42
74,mixed,random,75,43
75,mixed,random,96,41
76,mixed,random,92,32
77,mixed,random,110,45
78,mixed,random,105,28
79,mixed,random,100,23
80,mixed,random,100,50
81,mixed,random,64,34
82,mixed,random,90,31
83,mixed,random,93,37
84,mixed,random,93,37
85,mixed,random,98,14
86,mixed,random,93,51
87,mixed,random,85,31
88,mixed,random,95,49
89,mixed,random,91,25
90,mixed,random,86,59
91,mixed,random,101,55
92,mixed,random,105,35
93,mixed,random,80,53
94,mixed,random,106,19
95,mixed,random,104,43
96,mixed,random,85,22
97,mixed,random,78,41
98,mixed,random,93,30
99,mixed,random,96,55
100,mixed,random,115,36
101,mixed,random,100,28
102,mixed,random,75,41
103,mixed,random,91,34
104,mixed,random,99,41
105,mixed,random,96,30
106,mixed,random,85,51
107,mixed,random,77,27
108,mixed,random,99,39
109,mixed,random,95,23
110,mixed,random,97,57
111,mixed,random,97,42
112,mixed,random,89,47
113,mixed,random,102,15
114,mixed,random,76,30
115,mixed,random,96,25
116,mixed,random,108,6
117,mixed,random,84,44
118,mixed,random,104,21
119,mixed,random,102,10
120,mixed,random,73,35
121,mixed,random,81,34
122,mixed,random,90,34
123,mixed,random,98,61
124,mixed,random,86,43
125,mixed,random,96,30
126,mixed,random,83,53
127,mixed,random,115,50
128,mixed,random,90,43
129,mixed,random,100,43
130,mixed,random,78,47
131,mixed,random,96,45
132,mixed,random,87,22
133,mixed,random,97,14
134,mixed,random,94,38
135,mixed,random,94,40
136,mixed,random,84,13
137,mixed,random,93,23
138,mixed,random,76,38
139,mixed,random,89,48
140,mixed,random,91,31
141,mixed,random,85,29
142,mixed,random,109,23
143,mixed,random,73,53
144,mixed,random,81,55
145,mixed,random,96,47
146,mixed,random,77,44
147,mixed,random,87,38
148,mixed,random,96,53
149,mixed,random,87,52
150,mixed,random,82,48
151,mixed,random,73,25
152,mixed,random,92,21
153,mixed,random,103,53
154,mixed,random,77,21
155,mixed,random,84,40
156,mixed,random,87,22
157,mixed,random,101,33
158,mixed,random,106,47
159,mixed,random,77,50
160,mixed,random,106,25
161,mixed,random,107,53
162,mixed,random,103,34
163,mixed,random,74,38
164,mixed,random,87,30
165,mixed,random,91,23
166,mixed,random,96,39
167,mixed,random,90,42
168,mixed,random,84,33
169,mixed,random,88,17
170,mixed,random,98,35
171,mixed,random,82,48
172,mixed,random,83,33
173,mixed,random,90,44
174,mixed,random,83,59
175,mixed,random,89,53
176,mixed,random,110,21
177,mixed,random,83,31
178,mixed,random,76,53
179,mixed,random,92,54
180,mixed,random,77,35
181,mixed,random,92,53
182,mixed,random,94,36
183,mixed,random,96,31
184,mixed,random,88,30
185,mixed,random,98,53
186,mixed,random,87,27
187,mixed,random,87,42
188,mixed,random,80,32
189,mixed,random,72,40
190,mixed,random,84,35
191,mixed,random,102,45
192,mixed,random,100,49
193,mixed,random,88,22
194,mixed,random,95,21
195,mixed,random,87,55
196,mixed,random,93,31
197,mixed,random,97,39
198,mixed,random,71,58
199,mixed,random,93,37
200,mixed,random,92,22
201,mixed,random,105,8
202,mixed,random,81,21
203,mixed,random,85,27
204,mixed,random,95,36
205,mixed,random,76,42
206,mixed,random,92,63
207,mixed,random,99,33
208,mixed,random,81,37
209,mixed,random,79,34
210,mixed,random,84,34
211,mixed,random,81,36
212,mixed,random,95,46
213,mixed,random,91,32
214,mixed,random,82,34
215,mixed,random,87,34
216,mixed,random,76,34
217,mixed,random,93,20
218,mixed,random,96,43
219,mixed,random,85,35
220,mixed,random,66,43
221,mixed,random,74,49
222,mixed,random,66,34
223,mixed,random,105,20
224,mixed,random,83,39
225,mixed,random,99,32
226,mixed,random,87,43
227,mixed,random,103,24
228,mixed,random,82,32
229,mixed,random,104,42
230,mixed,random,80,39
231,mixed,random,87,34
232,mixed,random,76,24
233,mixed,random,89,45
234,mixed,random,88,22
235,mixed,random,93,16
236,mixed,random,85,12
237,mixed,random,108,26
238,mixed,random,92,43
239,mixed,random,82,49
240,mixed,random,93,14
241,mixed,random,91,26
242,mixed,random,83,41
243,mixed,random,100,20
244,mixed,random,94,41
245,mixed,random,103,53
246,mixed,random,94,63
247,mixed,random,101,27
248,mixed,random,76,42
249,mixed,random,86,57
250,mixed,random,102,12
251,mixed,random,100,55
252,mixed,random,96,55
253,mixed,random,88,45
254,mixed,random,88,45
255,mixed,random,86,50
256,mixed,random,80,44
257,mixed,random,88,47
258,mixed,random,87,23
