game_num,strategy1,strategy2,points1,points2
0,mixed,tickets,84,102
1,mixed,tickets,107,34
2,mixed,tickets,92,87
3,mixed,tickets,96,44
4,mixed,tickets,71,82
5,mixed,tickets,96,78
6,mixed,tickets,82,71
7,mixed,tickets,96,83
8,mixed,tickets,83,21
9,mixed,tickets,88,21
10,mixed,tickets,85,70
11,mixed,tickets,93,51
12,mixed,tickets,75,32
13,mixed,tickets,98,77
14,mixed,tickets,96,43
15,mixed,tickets,79,121
16,mixed,tickets,70,39
17,mixed,tickets,86,106
18,mixed,tickets,92,86
19,mixed,tickets,72,56
20,mixed,tickets,85,72
21,mixed,tickets,85,84
22,mixed,tickets,69,34
23,mixed,tickets,105,82
24,mixed,tickets,97,65
25,mixed,tickets,88,77
26,mixed,tickets,72,101
27,mixed,tickets,83,78
28,mixed,tickets,98,66
29,mixed,tickets,83,65
30,mixed,tickets,83,97
31,mixed,tickets,80,53
32,mixed,tickets,88,56
33,mixed,tickets,79,82
34,mixed,tickets,96,-11
35,mixed,tickets,72,66
36,mixed,tickets,83,79
37,mixed,tickets,77,70
38,mixed,tickets,72,62
39,mixed,tickets,94,64
40,mixed,tickets,81,75
41,mixed,tickets,96,62
42,mixed,tickets,85,90
43,mixed,tickets,78,54
44,mixed,tickets,88,55
45,mixed,tickets,97,88
46,mixed,tickets,82,55
47,mixed,tickets,105,46
48,mixed,tickets,96,71
49,mixed,tickets,92,76
50,mixed,tickets,96,93
51,mixed,tickets,96,33
52,mixed,tickets,77,40
53,mixed,tickets,84,85
54,mixed,tickets,84,55
55,mixed,tickets,75,63
56,mixed,tickets,96,97
57,mixed,tickets,79,84
58,mixed,tickets,92,65
59,mixed,tickets,94,37
60,mixed,tickets,80,78
61,mixed,tickets,79,100
62,mixed,tickets,82,82
63,mixed,tickets,92,58
64,mixed,tickets,95,61
65,mixed,tickets,86,61
66,mixed,tickets,78,67
67,mixed,tickets,85,62
68,mixed,tickets,96,18
69,mixed,tickets,85,41
70,mixed,tickets,98,75
