game_num,strategy1,strategy2,points1,points2
0,random,mixed,42,72
1,random,mixed,45,78
2,random,mixed,21,81
3,random,mixed,40,83
4,random,mixed,49,105
5,random,mixed,39,106
6,random,mixed,36,89
7,random,mixed,28,102
8,random,mixed,28,84
9,random,mixed,26,95
10,random,mixed,18,103
11,random,mixed,37,92
12,random,mixed,49,68
13,random,mixed,41,108
14,random,mixed,38,86
15,random,mixed,34,92
16,random,mixed,28,83
17,random,mixed,44,84
18,random,mixed,26,77
19,random,mixed,47,89
20,random,mixed,44,73
21,random,mixed,60,92
22,random,mixed,33,81
23,random,mixed,48,89
24,random,mixed,34,95
25,random,mixed,36,87
26,random,mixed,35,87
27,random,mixed,55,89
28,random,mixed,31,95
29,random,mixed,22,89
30,random,mixed,23,90
31,random,mixed,44,77
32,random,mixed,31,83
33,random,mixed,32,105
34,random,mixed,33,86
35,random,mixed,23,95
36,random,mixed,42,98
37,random,mixed,38,96
38,random,mixed,5,80
39,random,mixed,47,87
40,random,mixed,32,95
41,random,mixed,53,97
42,random,mixed,13,106
43,random,mixed,12,92
44,random,mixed,44,84
45,random,mixed,44,86
46,random,mixed,16,90
47,random,mixed,20,93
48,random,mixed,39,104
49,random,mixed,55,88
50,random,mixed,30,92
51,random,mixed,27,86
52,random,mixed,27,75
53,random,mixed,30,82
54,random,mixed,53,78
55,random,mixed,33,88
56,random,mixed,17,90
57,random,mixed,31,88
58,random,mixed,23,98
59,random,mixed,32,91
60,random,mixed,41,80
61,random,mixed,30,111
62,random,mixed,29,79
63,random,mixed,46,86
64,random,mixed,42,84
65,random,mixed,20,103
66,random,mixed,32,78
67,random,mixed,49,72
68,random,mixed,48,96
69,random,mixed,14,96
70,random,mixed,36,87
71,random,mixed,55,85
72,random,mixed,6,94
73,random,mixed,47,70
74,random,mixed,42,81
75,random,mixed,30,71
76,random,mixed,37,86
77,random,mixed,44,86
78,random,mixed,27,90
79,random,mixed,21,100
80,random,mixed,30,92
81,random,mixed,42,90
82,random,mixed,31,87
83,random,mixed,14,89
84,random,mixed,27,93
85,random,mixed,47,104
86,random,mixed,34,85
87,random,mixed,47,88
88,random,mixed,16,85
89,random,mixed,55,100
90,random,mixed,34,83
91,random,mixed,31,100
92,random,mixed,43,82
93,random,mixed,38,93
94,random,mixed,37,76
95,random,mixed,23,89
96,random,mixed,36,85
97,random,mixed,21,91
98,random,mixed,45,97
99,random,mixed,24,99
100,random,mixed,47,88
101,random,mixed,38,95
102,random,mixed,63,76
103,random,mixed,36,94
104,random,mixed,42,90
105,random,mixed,42,98
106,random,mixed,37,95
107,random,mixed,41,84
108,random,mixed,47,85
109,random,mixed,35,83
110,random,mixed,12,99
111,random,mixed,45,94
112,random,mixed,55,80
113,random,mixed,34,91
114,random,mixed,13,94
115,random,mixed,36,94
116,random,mixed,45,88
117,random,mixed,39,78
118,random,mixed,34,85
119,random,mixed,33,77
120,random,mixed,40,72
121,random,mixed,27,102
122,random,mixed,54,72
123,random,mixed,27,93
124,random,mixed,55,85
125,random,mixed,28,91
126,random,mixed,43,89
127,random,mixed,26,83
128,random,mixed,31,84
129,random,mixed,42,90
130,random,mixed,45,85
131,random,mixed,23,89
132,random,mixed,49,102
133,random,mixed,31,99
134,random,mixed,53,98
135,random,mixed,43,77
136,random,mixed,44,83
137,random,mixed,18,96
138,random,mixed,36,89
139,random,mixed,38,92
140,random,mixed,63,74
141,random,mixed,36,96
142,random,mixed,15,87
143,random,mixed,34,101
144,random,mixed,14,85
145,random,mixed,34,96
146,random,mixed,19,94
147,random,mixed,43,86
148,random,mixed,40,69
149,random,mixed,29,83
150,random,mixed,23,91
151,random,mixed,10,95
152,random,mixed,38,98
153,random,mixed,46,79
154,random,mixed,40,95
155,random,mixed,36,95
156,random,mixed,54,75
157,random,mixed,27,82
158,random,mixed,39,75
159,random,mixed,43,72
160,random,mixed,19,92
161,random,mixed,40,71
162,random,mixed,38,77
163,random,mixed,47,85
164,random,mixed,36,90
165,random,mixed,40,96
166,random,mixed,46,102
167,random,mixed,43,95
168,random,mixed,18,102
169,random,mixed,39,83
170,random,mixed,53,108
171,random,mixed,55,84
172,random,mixed,27,83
173,random,mixed,40,88
174,random,mixed,37,84
175,random,mixed,45,68
176,random,mixed,37,108
177,random,mixed,27,79
178,random,mixed,36,99
179,random,mixed,26,108
180,random,mixed,44,87
181,random,mixed,31,91
182,random,mixed,32,85
183,random,mixed,35,82
184,random,mixed,43,95
185,random,mixed,44,74
186,random,mixed,48,93
187,random,mixed,35,104
188,random,mixed,51,92
189,random,mixed,42,85
190,random,mixed,32,92
191,random,mixed,46,76
192,random,mixed,39,92
193,random,mixed,48,70
194,random,mixed,46,83
195,random,mixed,47,87
196,random,mixed,27,104
197,random,mixed,36,94
198,random,mixed,30,106
199,random,mixed,53,88
200,random,mixed,32,89
201,random,mixed,42,91
202,random,mixed,55,95
203,random,mixed,25,98
204,random,mixed,45,79
205,random,mixed,45,89
206,random,mixed,60,94
207,random,mixed,55,97
208,random,mixed,47,94
209,random,mixed,40,94
210,random,mixed,29,91
211,random,mixed,24,79
212,random,mixed,11,89
213,random,mixed,43,96
214,random,mixed,28,93
215,random,mixed,11,86
216,random,mixed,60,85
217,random,mixed,43,78
218,random,mixed,38,100
219,random,mixed,32,94
220,random,mixed,35,106
221,random,mixed,40,78
222,random,mixed,53,88
223,random,mixed,47,92
224,random,mixed,24,81
225,random,mixed,28,94
226,random,mixed,24,104
227,random,mixed,37,84
228,random,mixed,53,82
229,random,mixed,51,109
230,random,mixed,53,89
231,random,mixed,39,98
232,random,mixed,39,94
233,random,mixed,33,68
234,random,mixed,13,94
235,random,mixed,38,82
236,random,mixed,46,73
237,random,mixed,32,87
238,random,mixed,25,78
239,random,mixed,41,101
240,random,mixed,48,104
241,random,mixed,44,101
242,random,mixed,51,70
243,random,mixed,36,98
244,random,mixed,25,94
245,random,mixed,46,96
246,random,mixed,30,83
247,random,mixed,43,102
248,random,mixed,36,87
249,random,mixed,17,75
250,random,mixed,12,90
251,random,mixed,32,104
252,random,mixed,40,83
253,random,mixed,42,94
254,random,mixed,45,97
255,random,mixed,41,71
256,random,mixed,49,76
257,random,mixed,23,95
258,random,mixed,25,90
259,random,mixed,36,102
260,random,mixed,38,85
261,random,mixed,45,93
262,random,mixed,35,73
263,random,mixed,40,89
264,random,mixed,50,81
265,random,mixed,32,98
266,random,mixed,51,87
267,random,mixed,39,75
268,random,mixed,47,89
269,random,mixed,27,95
270,random,mixed,21,87
271,random,mixed,15,63
272,random,mixed,37,100
273,random,mixed,30,104
274,random,mixed,43,83
275,random,mixed,31,80
276,random,mixed,31,94
277,random,mixed,40,94
278,random,mixed,45,93
279,random,mixed,38,88
280,random,mixed,28,76
281,random,mixed,51,91
282,random,mixed,29,95
283,random,mixed,53,87
284,random,mixed,30,97
285,random,mixed,30,96
286,random,mixed,20,92
287,random,mixed,38,105
288,random,mixed,35,101
289,random,mixed,43,93
290,random,mixed,47,92
291,random,mixed,25,81
292,random,mixed,22,94
293,random,mixed,46,88
294,random,mixed,43,81
295,random,mixed,33,73
296,random,mixed,31,89
297,random,mixed,33,92
298,random,mixed,45,102
299,random,mixed,64,80
300,random,mixed,46,94
301,random,mixed,24,88
302,random,mixed,36,83
303,random,mixed,48,98
304,random,mixed,43,99
305,random,mixed,36,110
306,random,mixed,45,93
307,random,mixed,44,80
308,random,mixed,19,100
309,random,mixed,16,108
310,random,mixed,26,93
311,random,mixed,37,76
312,random,mixed,38,81
313,random,mixed,32,90
314,random,mixed,28,104
315,random,mixed,20,93
316,random,mixed,53,101
317,random,mixed,27,63
318,random,mixed,45,93
319,random,mixed,53,90
320,random,mixed,28,95
321,random,mixed,55,102
322,random,mixed,36,75
323,random,mixed,24,84
324,random,mixed,34,106
325,random,mixed,42,100
326,random,mixed,53,85
327,random,mixed,24,86
328,random,mixed,46,77
329,random,mixed,22,99
330,random,mixed,36,98
331,random,mixed,47,70
332,random,mixed,36,101
333,random,mixed,28,94
334,random,mixed,14,107
335,random,mixed,37,88
336,random,mixed,20,93
337,random,mixed,43,76
338,random,mixed,38,106
339,random,mixed,18,98
340,random,mixed,53,106
341,random,mixed,49,88
342,random,mixed,35,63
343,random,mixed,41,77
344,random,mixed,40,86
345,random,mixed,14,95
346,random,mixed,46,80
347,random,mixed,48,92
348,random,mixed,23,102
349,random,mixed,19,74
350,random,mixed,33,71
351,random,mixed,35,85
352,random,mixed,24,104
353,random,mixed,43,99
354,random,mixed,54,83
355,random,mixed,32,102
356,random,mixed,41,97
357,random,mixed,35,81
358,random,mixed,58,70
359,random,mixed,25,91
360,random,mixed,49,84
361,random,mixed,46,81
362,random,mixed,63,88
363,random,mixed,52,88
364,random,mixed,21,101
365,random,mixed,46,108
366,random,mixed,26,87
367,random,mixed,43,88
368,random,mixed,36,71
369,random,mixed,42,101
370,random,mixed,32,93
371,random,mixed,36,97
372,random,mixed,48,104
373,random,mixed,36,79
374,random,mixed,51,110
375,random,mixed,29,101
376,random,mixed,36,89
377,random,mixed,29,83
378,random,mixed,32,96
379,random,mixed,52,74
380,random,mixed,43,94
381,random,mixed,31,98
382,random,mixed,35,89
383,random,mixed,48,83
384,random,mixed,21,104
385,random,mixed,29,75
386,random,mixed,17,91
387,random,mixed,31,102
388,random,mixed,21,93
389,random,mixed,29,93
390,random,mixed,33,94
391,random,mixed,53,90
392,random,mixed,14,99
393,random,mixed,43,86
394,random,mixed,28,82
395,random,mixed,41,88
396,random,mixed,23,95
397,random,mixed,46,84
398,random,mixed,38,97
399,random,mixed,45,80
400,random,mixed,41,93
401,random,mixed,26,87
402,random,mixed,33,105
403,random,mixed,38,109
404,random,mixed,23,80
405,random,mixed,44,88
406,random,mixed,39,106
407,random,mixed,38,80
408,random,mixed,42,96
409,random,mixed,43,94
410,random,mixed,31,78
411,random,mixed,50,83
412,random,mixed,25,95
413,random,mixed,33,105
414,random,mixed,9,115
415,random,mixed,55,86
416,random,mixed,53,85
417,random,mixed,23,92
418,random,mixed,53,87
419,random,mixed,42,87
420,random,mixed,38,72
421,random,mixed,16,83
422,random,mixed,52,87
423,random,mixed,36,78
424,random,mixed,55,94
425,random,mixed,32,100
426,random,mixed,49,88
427,random,mixed,22,90
428,random,mixed,30,89
429,random,mixed,43,99
430,random,mixed,53,97
431,random,mixed,27,98
432,random,mixed,37,84
433,random,mixed,53,77
434,random,mixed,45,94
435,random,mixed,34,81
436,random,mixed,47,86
437,random,mixed,45,94
438,random,mixed,29,75
439,random,mixed,37,100
440,random,mixed,37,86
441,random,mixed,28,85
442,random,mixed,53,86
443,random,mixed,12,98
444,random,mixed,23,99
445,random,mixed,14,110
446,random,mixed,37,79
447,random,mixed,32,96
448,random,mixed,36,95
449,random,mixed,39,83
450,random,mixed,42,84
451,random,mixed,43,75
452,random,mixed,35,85
453,random,mixed,58,98
454,random,mixed,27,96
455,random,mixed,55,89
456,random,mixed,30,98
457,random,mixed,33,95
458,random,mixed,45,102
459,random,mixed,49,83
460,random,mixed,37,97
461,random,mixed,42,72
462,random,mixed,27,91
463,random,mixed,37,96
464,random,mixed,32,109
465,random,mixed,2,106
466,random,mixed,54,89
467,random,mixed,29,75
468,random,mixed,35,95
469,random,mixed,23,82
470,random,mixed,43,84
471,random,mixed,27,98
472,random,mixed,30,87
473,random,mixed,38,78
474,random,mixed,59,76
475,random,mixed,30,91
476,random,mixed,43,88
477,random,mixed,49,95
478,random,mixed,25,77
479,random,mixed,25,78
480,random,mixed,43,93
481,random,mixed,37,92
482,random,mixed,53,85
483,random,mixed,45,85
484,random,mixed,34,91
485,random,mixed,38,86
486,random,mixed,53,87
487,random,mixed,34,99
488,random,mixed,29,88
489,random,mixed,27,106
490,random,mixed,13,97
491,random,mixed,27,82
492,random,mixed,30,98
493,random,mixed,26,85
494,random,mixed,26,73
495,random,mixed,61,67
496,random,mixed,24,86
497,random,mixed,15,83
498,random,mixed,58,93
499,random,mixed,59,76
