game_num,strategy1,strategy2,points1,points2
0,random,route,42,89
1,random,route,38,96
2,random,route,20,101
3,random,route,16,107
4,random,route,40,88
5,random,route,27,105
6,random,route,50,98
7,random,route,43,105
8,random,route,63,91
9,random,route,24,115
10,random,route,34,89
11,random,route,53,74
12,random,route,42,72
13,random,route,43,84
14,random,route,36,95
15,random,route,17,96
16,random,route,43,89
17,random,route,25,106
18,random,route,13,98
19,random,route,53,74
20,random,route,44,92
21,random,route,61,94
22,random,route,45,82
23,random,route,30,89
24,random,route,44,115
25,random,route,35,77
26,random,route,53,87
27,random,route,23,93
28,random,route,40,85
29,random,route,28,94
30,random,route,34,99
31,random,route,55,88
32,random,route,32,86
33,random,route,60,105
34,random,route,41,87
35,random,route,38,111
36,random,route,46,83
37,random,route,44,71
38,random,route,22,92
39,random,route,47,79
40,random,route,36,77
41,random,route,31,92
42,random,route,33,81
43,random,route,48,83
44,random,route,19,82
45,random,route,44,80
46,random,route,47,88
47,random,route,41,103
48,random,route,45,76
49,random,route,36,77
50,random,route,38,95
51,random,route,43,78
52,random,route,17,93
53,random,route,37,90
54,random,route,57,81
55,random,route,32,94
56,random,route,33,106
57,random,route,41,72
58,random,route,43,77
59,random,route,31,101
60,random,route,35,81
61,random,route,16,99
62,random,route,25,96
63,random,route,35,76
64,random,route,37,92
65,random,route,27,105
66,random,route,61,93
67,random,route,23,76
68,random,route,43,84
69,random,route,46,83
70,random,route,51,72
71,random,route,31,84
72,random,route,31,82
73,random,route,45,76
74,random,route,48,85
75,random,route,44,83
76,random,route,30,96
77,random,route,25,91
78,random,route,49,78
79,random,route,41,92
80,random,route,29,72
81,random,route,12,75
82,random,route,45,64
83,random,route,53,89
84,random,route,33,82
85,random,route,45,95
86,random,route,45,89
87,random,route,43,85
88,random,route,19,87
89,random,route,31,104
90,random,route,40,66
91,random,route,33,74
92,random,route,30,105
93,random,route,43,93
94,random,route,22,93
95,random,route,33,85
96,random,route,25,99
97,random,route,48,83
98,random,route,9,102
99,random,route,23,104
100,random,route,15,91
101,random,route,36,88
102,random,route,33,79
103,random,route,51,89
104,random,route,45,90
105,random,route,43,69
106,random,route,36,75
107,random,route,32,98
108,random,route,34,104
109,random,route,38,98
110,random,route,19,102
111,random,route,29,90
112,random,route,37,80
113,random,route,55,75
114,random,route,21,93
115,random,route,41,94
116,random,route,10,85
117,random,route,36,108
118,random,route,55,83
119,random,route,37,85
120,random,route,50,100
121,random,route,37,103
122,random,route,41,79
123,random,route,40,89
124,random,route,52,89
125,random,route,36,96
126,random,route,44,76
127,random,route,18,104
128,random,route,25,93
129,random,route,50,101
130,random,route,11,94
131,random,route,34,83
132,random,route,52,76
133,random,route,63,98
134,random,route,27,92
135,random,route,17,78
136,random,route,36,84
137,random,route,53,93
138,random,route,49,73
139,random,route,20,89
140,random,route,22,92
141,random,route,38,74
142,random,route,42,83
143,random,route,37,81
144,random,route,3,94
145,random,route,25,98
146,random,route,31,110
147,random,route,36,89
148,random,route,35,84
149,random,route,53,83
150,random,route,40,80
151,random,route,38,91
152,random,route,30,87
153,random,route,31,97
154,random,route,32,92
155,random,route,53,97
156,random,route,35,89
157,random,route,35,84
158,random,route,20,104
159,random,route,29,115
160,random,route,44,94
161,random,route,43,97
162,random,route,35,88
163,random,route,24,83
164,random,route,43,85
165,random,route,40,81
166,random,route,12,95
167,random,route,34,83
168,random,route,33,72
169,random,route,37,81
170,random,route,21,85
171,random,route,22,94
172,random,route,48,79
173,random,route,20,101
174,random,route,39,85
175,random,route,31,95
176,random,route,37,82
177,random,route,41,96
178,random,route,57,84
179,random,route,53,80
180,random,route,32,82
181,random,route,39,94
182,random,route,28,74
183,random,route,55,96
184,random,route,39,81
185,random,route,53,77
186,random,route,43,103
187,random,route,28,115
188,random,route,53,93
189,random,route,41,68
190,random,route,26,94
191,random,route,57,90
192,random,route,24,86
193,random,route,41,83
194,random,route,24,106
195,random,route,33,104
196,random,route,41,78
197,random,route,63,85
198,random,route,40,81
199,random,route,25,95
200,random,route,47,99
201,random,route,47,106
202,random,route,35,83
203,random,route,23,88
204,random,route,36,100
205,random,route,17,108
206,random,route,53,84
207,random,route,30,67
208,random,route,25,97
209,random,route,31,90
210,random,route,35,87
211,random,route,28,91
212,random,route,38,90
213,random,route,48,96
214,random,route,38,83
215,random,route,45,99
216,random,route,37,79
217,random,route,31,83
218,random,route,41,86
219,random,route,47,104
220,random,route,39,85
221,random,route,43,84
222,random,route,24,70
223,random,route,19,88
224,random,route,49,93
225,random,route,56,90
226,random,route,16,78
227,random,route,54,96
228,random,route,13,98
229,random,route,49,78
230,random,route,37,89
231,random,route,31,85
232,random,route,39,100
233,random,route,38,93
234,random,route,31,85
235,random,route,43,96
236,random,route,32,98
237,random,route,24,77
238,random,route,25,80
239,random,route,29,68
240,random,route,31,107
241,random,route,25,96
242,random,route,18,67
243,random,route,37,85
244,random,route,33,83
245,random,route,26,105
246,random,route,53,76
247,random,route,20,74
248,random,route,35,97
249,random,route,54,96
250,random,route,24,87
251,random,route,23,99
252,random,route,22,89
253,random,route,16,85
254,random,route,36,95
255,random,route,32,100
256,random,route,44,105
257,random,route,44,97
258,random,route,50,79
259,random,route,45,95
260,random,route,43,100
261,random,route,33,88
262,random,route,53,85
263,random,route,44,94
264,random,route,44,94
265,random,route,28,95
266,random,route,40,94
267,random,route,43,93
268,random,route,48,87
269,random,route,36,90
270,random,route,59,94
271,random,route,35,76
272,random,route,25,94
273,random,route,36,90
274,random,route,29,104
275,random,route,55,84
276,random,route,20,72
277,random,route,26,81
278,random,route,27,72
279,random,route,21,85
280,random,route,37,76
281,random,route,29,93
282,random,route,45,87
283,random,route,38,82
284,random,route,45,103
285,random,route,35,96
286,random,route,32,94
287,random,route,49,74
288,random,route,42,63
289,random,route,50,111
290,random,route,38,90
291,random,route,34,90
292,random,route,29,96
293,random,route,43,96
294,random,route,48,85
295,random,route,23,74
296,random,route,41,110
297,random,route,30,107
298,random,route,39,86
299,random,route,15,93
300,random,route,16,100
301,random,route,34,90
302,random,route,31,78
303,random,route,37,92
304,random,route,21,89
305,random,route,39,102
306,random,route,43,82
307,random,route,43,94
308,random,route,51,81
309,random,route,40,89
310,random,route,46,83
311,random,route,45,76
312,random,route,40,93
313,random,route,37,100
314,random,route,60,95
315,random,route,20,93
316,random,route,47,88
317,random,route,31,85
318,random,route,31,102
319,random,route,42,105
320,random,route,60,98
321,random,route,42,101
322,random,route,34,104
323,random,route,39,85
324,random,route,52,75
325,random,route,59,94
326,random,route,59,75
327,random,route,23,88
328,random,route,26,94
329,random,route,42,96
330,random,route,44,72
331,random,route,50,82
332,random,route,40,101
333,random,route,53,76
334,random,route,51,93
335,random,route,33,86
336,random,route,40,87
337,random,route,26,94
338,random,route,44,98
339,random,route,42,101
340,random,route,47,77
341,random,route,55,72
342,random,route,49,64
343,random,route,36,96
344,random,route,62,84
345,random,route,24,94
346,random,route,28,90
347,random,route,11,106
348,random,route,34,85
349,random,route,42,85
350,random,route,36,74
351,random,route,60,87
352,random,route,37,96
353,random,route,28,87
354,random,route,33,81
355,random,route,57,80
356,random,route,33,77
357,random,route,43,99
358,random,route,32,95
359,random,route,31,106
360,random,route,35,82
361,random,route,23,92
362,random,route,24,102
363,random,route,53,75
364,random,route,36,91
365,random,route,49,80
366,random,route,55,95
367,random,route,47,99
368,random,route,29,94
369,random,route,25,97
370,random,route,37,95
371,random,route,51,98
372,random,route,37,115
373,random,route,26,94
374,random,route,43,85
375,random,route,21,95
376,random,route,30,87
377,random,route,34,93
378,random,route,28,93
379,random,route,36,75
380,random,route,20,95
381,random,route,21,106
382,random,route,44,73
383,random,route,49,84
384,random,route,55,80
385,random,route,9,87
386,random,route,11,109
387,random,route,44,93
388,random,route,30,74
389,random,route,60,82
390,random,route,22,85
391,random,route,18,88
392,random,route,26,103
393,random,route,21,90
394,random,route,39,108
395,random,route,28,84
396,random,route,48,85
397,random,route,31,99
398,random,route,31,95
399,random,route,32,81
400,random,route,55,101
401,random,route,35,83
402,random,route,38,82
403,random,route,27,93
404,random,route,24,98
405,random,route,45,78
406,random,route,24,80
407,random,route,33,92
408,random,route,34,79
409,random,route,36,97
410,random,route,30,94
411,random,route,32,84
412,random,route,31,99
413,random,route,41,89
414,random,route,36,104
415,random,route,51,74
416,random,route,41,115
417,random,route,49,89
418,random,route,45,92
419,random,route,61,88
420,random,route,14,102
421,random,route,48,87
422,random,route,35,104
423,random,route,28,88
424,random,route,40,72
425,random,route,53,88
426,random,route,24,91
427,random,route,42,92
428,random,route,53,85
429,random,route,43,73
430,random,route,36,102
431,random,route,24,83
432,random,route,45,94
433,random,route,53,90
434,random,route,27,87
435,random,route,34,79
436,random,route,13,110
437,random,route,40,106
438,random,route,37,98
439,random,route,14,91
440,random,route,44,76
441,random,route,51,69
442,random,route,42,65
443,random,route,42,81
444,random,route,47,70
445,random,route,43,77
446,random,route,45,88
447,random,route,34,103
448,random,route,45,100
449,random,route,47,81
450,random,route,53,105
451,random,route,54,87
452,random,route,39,98
453,random,route,21,110
454,random,route,26,94
455,random,route,39,87
456,random,route,19,95
457,random,route,30,84
458,random,route,39,78
459,random,route,50,74
460,random,route,31,80
461,random,route,40,76
462,random,route,35,81
463,random,route,16,85
464,random,route,33,94
465,random,route,43,85
466,random,route,47,72
467,random,route,35,90
468,random,route,41,87
469,random,route,21,85
470,random,route,36,70
471,random,route,44,90
472,random,route,30,79
473,random,route,44,83
474,random,route,41,80
475,random,route,46,86
