game_num,strategy1,strategy2,points1,points2
0,route,mixed,88,70
1,route,mixed,110,110
2,route,mixed,88,77
3,route,mixed,102,59
4,route,mixed,85,69
5,route,mixed,60,94
6,route,mixed,87,83
7,route,mixed,107,70
8,route,mixed,85,96
9,route,mixed,74,85
10,route,mixed,92,82
11,route,mixed,93,59
12,route,mixed,82,78
13,route,mixed,75,86
14,route,mixed,89,95
15,route,mixed,69,102
16,route,mixed,86,80
17,route,mixed,101,64
18,route,mixed,90,92
19,route,mixed,73,88
20,route,mixed,85,72
21,route,mixed,88,76
22,route,mixed,90,80
23,route,mixed,72,87
24,route,mixed,92,110
25,route,mixed,97,70
26,route,mixed,94,76
27,route,mixed,101,90
28,route,mixed,71,106
29,route,mixed,90,79
30,route,mixed,100,88
31,route,mixed,94,92
32,route,mixed,96,82
33,route,mixed,85,71
34,route,mixed,99,91
35,route,mixed,73,81
36,route,mixed,78,69
37,route,mixed,102,86
38,route,mixed,76,78
39,route,mixed,65,92
40,route,mixed,98,87
41,route,mixed,85,84
42,route,mixed,68,106
43,route,mixed,83,68
44,route,mixed,90,73
45,route,mixed,100,83
46,route,mixed,79,90
47,route,mixed,77,79
48,route,mixed,111,75
49,route,mixed,88,67
50,route,mixed,90,53
51,route,mixed,69,93
52,route,mixed,107,64
53,route,mixed,95,76
54,route,mixed,74,93
55,route,mixed,82,90
56,route,mixed,106,76
57,route,mixed,104,68
58,route,mixed,99,67
59,route,mixed,83,83
60,route,mixed,70,97
61,route,mixed,74,97
62,route,mixed,99,85
63,route,mixed,79,98
64,route,mixed,97,75
65,route,mixed,84,99
66,route,mixed,80,90
67,route,mixed,100,72
68,route,mixed,82,73
69,route,mixed,92,102
70,route,mixed,95,87
71,route,mixed,69,82
72,route,mixed,108,64
73,route,mixed,86,68
74,route,mixed,75,85
75,route,mixed,105,105
76,route,mixed,98,64
77,route,mixed,106,98
78,route,mixed,56,90
79,route,mixed,87,71
80,route,mixed,96,88
81,route,mixed,73,82
82,route,mixed,82,84
83,route,mixed,78,80
84,route,mixed,104,74
85,route,mixed,92,69
86,route,mixed,95,69
87,route,mixed,88,89
88,route,mixed,90,92
89,route,mixed,71,99
90,route,mixed,99,88
91,route,mixed,107,73
92,route,mixed,84,86
93,route,mixed,85,79
94,route,mixed,74,64
95,route,mixed,89,62
96,route,mixed,99,68
97,route,mixed,95,68
98,route,mixed,89,98
99,route,mixed,83,99
100,route,mixed,69,99
101,route,mixed,92,92
102,route,mixed,78,98
103,route,mixed,94,90
104,route,mixed,95,76
105,route,mixed,82,76
106,route,mixed,102,76
107,route,mixed,82,83
108,route,mixed,82,80
109,route,mixed,87,79
110,route,mixed,75,80
111,route,mixed,107,68
112,route,mixed,87,85
113,route,mixed,73,69
114,route,mixed,85,84
115,route,mixed,98,90
116,route,mixed,96,96
117,route,mixed,73,91
118,route,mixed,91,73
119,route,mixed,93,91
120,route,mixed,98,78
121,route,mixed,100,75
122,route,mixed,96,75
123,route,mixed,102,70
124,route,mixed,77,100
125,route,mixed,92,99
126,route,mixed,80,87
127,route,mixed,84,96
128,route,mixed,63,73
129,route,mixed,93,88
130,route,mixed,99,79
131,route,mixed,96,77
132,route,mixed,93,91
133,route,mixed,70,89
134,route,mixed,108,61
135,route,mixed,93,80
136,route,mixed,99,61
137,route,mixed,98,82
138,route,mixed,77,115
139,route,mixed,79,84
140,route,mixed,102,93
141,route,mixed,80,98
142,route,mixed,73,88
143,route,mixed,80,67
144,route,mixed,84,103
145,route,mixed,94,68
146,route,mixed,85,94
147,route,mixed,86,71
148,route,mixed,69,69
149,route,mixed,90,92
150,route,mixed,85,100
151,route,mixed,74,98
152,route,mixed,73,84
153,route,mixed,82,87
154,route,mixed,89,80
155,route,mixed,75,89
156,route,mixed,95,63
157,route,mixed,79,95
158,route,mixed,94,71
159,route,mixed,88,78
160,route,mixed,86,87
161,route,mixed,110,66
162,route,mixed,72,104
163,route,mixed,83,79
164,route,mixed,89,92
165,route,mixed,70,85
166,route,mixed,57,102
167,route,mixed,82,115
168,route,mixed,84,80
169,route,mixed,86,64
170,route,mixed,84,73
171,route,mixed,86,89
172,route,mixed,60,85
173,route,mixed,100,95
174,route,mixed,90,86
175,route,mixed,96,80
176,route,mixed,98,77
177,route,mixed,93,84
178,route,mixed,76,98
179,route,mixed,77,76
180,route,mixed,79,98
181,route,mixed,96,82
182,route,mixed,105,80
183,route,mixed,79,89
184,route,mixed,94,99
185,route,mixed,84,89
186,route,mixed,78,83
187,route,mixed,95,85
188,route,mixed,97,91
189,route,mixed,88,78
