game_num,strategy1,strategy2,points1,points2
0,route,random,89,48
1,route,random,92,48
2,route,random,88,32
3,route,random,89,37
4,route,random,91,41
5,route,random,94,42
6,route,random,67,51
7,route,random,102,26
8,route,random,102,58
9,route,random,92,24
10,route,random,88,25
11,route,random,94,34
12,route,random,85,42
13,route,random,95,6
14,route,random,85,43
15,route,random,86,41
16,route,random,64,43
17,route,random,83,35
18,route,random,92,45
19,route,random,89,35
20,route,random,93,22
21,route,random,92,66
22,route,random,76,42
23,route,random,79,41
24,route,random,105,43
25,route,random,94,44
26,route,random,86,38
27,route,random,75,62
28,route,random,115,37
29,route,random,102,25
30,route,random,92,35
31,route,random,86,38
32,route,random,95,43
33,route,random,83,34
34,route,random,75,42
35,route,random,69,53
36,route,random,106,8
37,route,random,102,37
38,route,random,83,43
39,route,random,97,15
40,route,random,89,27
41,route,random,97,40
42,route,random,104,46
43,route,random,76,41
44,route,random,97,49
45,route,random,93,45
46,route,random,85,26
47,route,random,102,43
48,route,random,74,42
49,route,random,97,20
50,route,random,88,16
51,route,random,84,45
52,route,random,86,36
53,route,random,79,34
54,route,random,102,37
55,route,random,83,59
56,route,random,80,36
57,route,random,107,30
58,route,random,80,32
59,route,random,84,48
60,route,random,78,45
61,route,random,68,59
62,route,random,87,51
63,route,random,79,50
64,route,random,100,29
65,route,random,115,11
66,route,random,91,30
67,route,random,93,23
68,route,random,87,38
69,route,random,96,34
70,route,random,86,22
71,route,random,96,35
72,route,random,81,48
73,route,random,115,46
74,route,random,106,36
75,route,random,76,25
76,route,random,98,14
77,route,random,105,35
78,route,random,82,39
79,route,random,90,57
80,route,random,80,18
81,route,random,106,30
82,route,random,83,59
83,route,random,92,23
84,route,random,94,32
85,route,random,87,23
86,route,random,81,45
87,route,random,67,21
88,route,random,88,40
89,route,random,92,41
90,route,random,78,39
91,route,random,92,53
92,route,random,81,64
93,route,random,93,20
94,route,random,92,33
95,route,random,102,16
96,route,random,76,51
97,route,random,94,48
98,route,random,82,30
99,route,random,106,42
100,route,random,94,31
101,route,random,105,55
102,route,random,78,42
103,route,random,91,38
104,route,random,82,39
105,route,random,81,34
106,route,random,84,35
107,route,random,90,40
108,route,random,87,40
109,route,random,102,39
110,route,random,83,18
111,route,random,74,27
112,route,random,100,11
113,route,random,90,52
114,route,random,77,31
115,route,random,95,37
116,route,random,101,28
117,route,random,90,18
118,route,random,94,42
119,route,random,92,27
120,route,random,80,36
121,route,random,101,39
122,route,random,89,37
123,route,random,84,55
124,route,random,103,33
125,route,random,71,43
126,route,random,102,12
127,route,random,86,31
128,route,random,90,28
129,route,random,86,39
130,route,random,94,29
131,route,random,73,51
132,route,random,81,10
133,route,random,99,64
134,route,random,105,29
135,route,random,93,52
136,route,random,93,32
137,route,random,87,29
138,route,random,106,34
139,route,random,85,45
140,route,random,86,42
141,route,random,85,15
142,route,random,93,31
143,route,random,92,20
144,route,random,97,44
145,route,random,72,36
146,route,random,84,27
147,route,random,98,14
148,route,random,89,35
149,route,random,102,60
150,route,random,87,48
151,route,random,106,29
152,route,random,92,55
153,route,random,101,23
154,route,random,73,31
155,route,random,105,35
156,route,random,95,44
157,route,random,100,33
158,route,random,106,47
159,route,random,82,36
160,route,random,98,49
161,route,random,101,55
162,route,random,89,11
163,route,random,84,43
164,route,random,104,45
165,route,random,86,50
166,route,random,102,43
167,route,random,100,53
168,route,random,85,14
169,route,random,91,26
