game_num,strategy1,strategy2,points1,points2
0,tickets,mixed,53,84
1,tickets,mixed,70,90
2,tickets,mixed,64,97
3,tickets,mixed,84,81
4,tickets,mixed,70,96
5,tickets,mixed,55,94
6,tickets,mixed,57,84
7,tickets,mixed,50,74
8,tickets,mixed,44,84
9,tickets,mixed,42,63
10,tickets,mixed,80,95
11,tickets,mixed,49,105
12,tickets,mixed,97,92
13,tickets,mixed,75,92
14,tickets,mixed,62,67
15,tickets,mixed,58,101
16,tickets,mixed,74,77
17,tickets,mixed,54,88
18,tickets,mixed,54,96
19,tickets,mixed,118,96
20,tickets,mixed,28,84
21,tickets,mixed,89,71
22,tickets,mixed,75,77
23,tickets,mixed,98,74
24,tickets,mixed,60,83
25,tickets,mixed,65,81
26,tickets,mixed,101,97
27,tickets,mixed,63,88
28,tickets,mixed,104,89
29,tickets,mixed,40,96
30,tickets,mixed,31,80
31,tickets,mixed,63,100
32,tickets,mixed,86,84
33,tickets,mixed,85,100
34,tickets,mixed,72,78
35,tickets,mixed,40,77
36,tickets,mixed,63,96
37,tickets,mixed,18,81
38,tickets,mixed,57,88
39,tickets,mixed,74,75
40,tickets,mixed,26,83
41,tickets,mixed,42,88
42,tickets,mixed,69,80
43,tickets,mixed,49,84
44,tickets,mixed,60,99
45,tickets,mixed,80,96
46,tickets,mixed,64,77
47,tickets,mixed,72,84
48,tickets,mixed,76,92
49,tickets,mixed,116,82
50,tickets,mixed,70,75
51,tickets,mixed,41,81
52,tickets,mixed,72,82
53,tickets,mixed,83,75
54,tickets,mixed,39,74
55,tickets,mixed,39,83
56,tickets,mixed,94,88
57,tickets,mixed,62,89
58,tickets,mixed,50,85
59,tickets,mixed,58,85
60,tickets,mixed,41,93
61,tickets,mixed,65,83
62,tickets,mixed,116,94
63,tickets,mixed,23,84
64,tickets,mixed,59,88
65,tickets,mixed,39,72
66,tickets,mixed,46,72
67,tickets,mixed,54,68
68,tickets,mixed,50,90
69,tickets,mixed,80,84
70,tickets,mixed,84,77
71,tickets,mixed,56,101
72,tickets,mixed,80,66
73,tickets,mixed,73,94
74,tickets,mixed,48,87
75,tickets,mixed,43,81
76,tickets,mixed,84,105
77,tickets,mixed,86,72
78,tickets,mixed,29,87
79,tickets,mixed,50,85
80,tickets,mixed,43,91
81,tickets,mixed,103,85
82,tickets,mixed,28,105
83,tickets,mixed,80,75
84,tickets,mixed,84,76
85,tickets,mixed,71,95
86,tickets,mixed,50,84
87,tickets,mixed,81,99
88,tickets,mixed,78,79
89,tickets,mixed,20,88
90,tickets,mixed,88,85
91,tickets,mixed,82,79
92,tickets,mixed,70,92
93,tickets,mixed,33,93
94,tickets,mixed,65,85
95,tickets,mixed,58,75
96,tickets,mixed,84,83
97,tickets,mixed,83,85
98,tickets,mixed,40,92
99,tickets,mixed,31,86
100,tickets,mixed,-9,91
101,tickets,mixed,90,85
102,tickets,mixed,77,87
103,tickets,mixed,66,82
104,tickets,mixed,93,88
105,tickets,mixed,71,79
106,tickets,mixed,77,84
107,tickets,mixed,55,92
108,tickets,mixed,70,79
109,tickets,mixed,69,64
110,tickets,mixed,74,94
111,tickets,mixed,62,95
112,tickets,mixed,73,81
113,tickets,mixed,-2,73
114,tickets,mixed,63,88
115,tickets,mixed,88,69
116,tickets,mixed,78,104
117,tickets,mixed,53,71
118,tickets,mixed,67,92
119,tickets,mixed,57,86
120,tickets,mixed,67,86
121,tickets,mixed,67,88
122,tickets,mixed,71,92
123,tickets,mixed,78,84
124,tickets,mixed,79,88
125,tickets,mixed,64,73
126,tickets,mixed,23,88
127,tickets,mixed,61,85
128,tickets,mixed,66,105
129,tickets,mixed,95,64
130,tickets,mixed,77,75
131,tickets,mixed,65,94
132,tickets,mixed,67,90
133,tickets,mixed,87,105
134,tickets,mixed,75,84
135,tickets,mixed,44,85
136,tickets,mixed,32,84
137,tickets,mixed,74,92
138,tickets,mixed,81,87
139,tickets,mixed,58,93
140,tickets,mixed,82,88
141,tickets,mixed,88,85
142,tickets,mixed,89,72
143,tickets,mixed,79,87
144,tickets,mixed,68,94
145,tickets,mixed,33,76
146,tickets,mixed,55,89
147,tickets,mixed,61,75
148,tickets,mixed,56,104
149,tickets,mixed,65,88
150,tickets,mixed,76,77
151,tickets,mixed,68,90
152,tickets,mixed,66,97
153,tickets,mixed,75,81
154,tickets,mixed,20,89
155,tickets,mixed,75,96
156,tickets,mixed,46,83
157,tickets,mixed,46,66
158,tickets,mixed,71,83
159,tickets,mixed,37,83
160,tickets,mixed,90,85
161,tickets,mixed,61,79
162,tickets,mixed,51,90
163,tickets,mixed,66,96
164,tickets,mixed,72,92
165,tickets,mixed,79,92
166,tickets,mixed,80,84
167,tickets,mixed,72,82
168,tickets,mixed,82,96
169,tickets,mixed,71,105
170,tickets,mixed,63,85
171,tickets,mixed,94,79
172,tickets,mixed,46,99
173,tickets,mixed,98,75
174,tickets,mixed,67,83
175,tickets,mixed,68,67
176,tickets,mixed,59,87
177,tickets,mixed,39,81
178,tickets,mixed,90,72
179,tickets,mixed,88,79
180,tickets,mixed,99,85
181,tickets,mixed,84,105
182,tickets,mixed,43,92
183,tickets,mixed,81,81
184,tickets,mixed,93,87
185,tickets,mixed,88,76
186,tickets,mixed,52,81
187,tickets,mixed,33,77
188,tickets,mixed,45,84
189,tickets,mixed,54,83
190,tickets,mixed,66,84
191,tickets,mixed,78,89
192,tickets,mixed,25,77
193,tickets,mixed,67,94
194,tickets,mixed,69,88
195,tickets,mixed,95,92
196,tickets,mixed,50,97
197,tickets,mixed,55,72
198,tickets,mixed,59,81
199,tickets,mixed,73,81
200,tickets,mixed,71,85
201,tickets,mixed,90,86
202,tickets,mixed,10,74
203,tickets,mixed,32,85
204,tickets,mixed,40,78
205,tickets,mixed,53,76
206,tickets,mixed,110,81
207,tickets,mixed,66,90
208,tickets,mixed,45,77
209,tickets,mixed,88,84
210,tickets,mixed,82,85
211,tickets,mixed,68,93
212,tickets,mixed,55,68
213,tickets,mixed,85,88
214,tickets,mixed,86,87
215,tickets,mixed,55,68
216,tickets,mixed,28,74
217,tickets,mixed,5,88
218,tickets,mixed,92,83
219,tickets,mixed,48,83
220,tickets,mixed,71,93
221,tickets,mixed,62,98
222,tickets,mixed,66,87
223,tickets,mixed,77,96
224,tickets,mixed,31,97
225,tickets,mixed,56,90
226,tickets,mixed,63,90
227,tickets,mixed,57,105
228,tickets,mixed,72,84
229,tickets,mixed,89,94
230,tickets,mixed,78,81
231,tickets,mixed,58,88
232,tickets,mixed,60,83
233,tickets,mixed,72,77
234,tickets,mixed,106,76
235,tickets,mixed,69,94
236,tickets,mixed,84,87
237,tickets,mixed,69,94
238,tickets,mixed,45,76
239,tickets,mixed,76,81
240,tickets,mixed,79,81
241,tickets,mixed,71,72
242,tickets,mixed,35,77
243,tickets,mixed,70,90
244,tickets,mixed,50,76
245,tickets,mixed,86,73
246,tickets,mixed,79,87
247,tickets,mixed,45,85
248,tickets,mixed,85,89
249,tickets,mixed,77,83
250,tickets,mixed,88,64
251,tickets,mixed,46,90
252,tickets,mixed,18,81
253,tickets,mixed,39,85
254,tickets,mixed,54,78
255,tickets,mixed,19,80
256,tickets,mixed,17,74
257,tickets,mixed,50,77
258,tickets,mixed,71,68
259,tickets,mixed,58,83
260,tickets,mixed,35,87
261,tickets,mixed,34,88
262,tickets,mixed,45,88
263,tickets,mixed,48,88
264,tickets,mixed,60,87
265,tickets,mixed,44,85
266,tickets,mixed,30,96
267,tickets,mixed,76,92
268,tickets,mixed,67,100
269,tickets,mixed,77,90
270,tickets,mixed,68,94
271,tickets,mixed,59,77
272,tickets,mixed,64,87
273,tickets,mixed,116,96
274,tickets,mixed,64,76
275,tickets,mixed,37,76
276,tickets,mixed,82,96
277,tickets,mixed,53,71
278,tickets,mixed,45,83
279,tickets,mixed,51,88
280,tickets,mixed,87,92
281,tickets,mixed,56,81
282,tickets,mixed,7,68
283,tickets,mixed,74,72
284,tickets,mixed,67,92
285,tickets,mixed,92,77
286,tickets,mixed,101,95
287,tickets,mixed,107,94
288,tickets,mixed,90,80
289,tickets,mixed,76,84
290,tickets,mixed,60,88
291,tickets,mixed,72,101
292,tickets,mixed,71,90
293,tickets,mixed,77,86
294,tickets,mixed,56,81
295,tickets,mixed,73,82
296,tickets,mixed,76,92
297,tickets,mixed,57,85
298,tickets,mixed,74,92
299,tickets,mixed,78,85
300,tickets,mixed,52,100
301,tickets,mixed,94,83
302,tickets,mixed,58,94
303,tickets,mixed,78,84
304,tickets,mixed,58,75
305,tickets,mixed,105,72
306,tickets,mixed,84,96
307,tickets,mixed,61,74
308,tickets,mixed,70,72
309,tickets,mixed,27,94
310,tickets,mixed,67,69
311,tickets,mixed,86,96
312,tickets,mixed,53,83
313,tickets,mixed,52,89
314,tickets,mixed,75,89
315,tickets,mixed,92,92
316,tickets,mixed,97,92
317,tickets,mixed,54,115
318,tickets,mixed,87,100
319,tickets,mixed,58,75
320,tickets,mixed,69,84
321,tickets,mixed,35,83
322,tickets,mixed,55,95
323,tickets,mixed,66,95
324,tickets,mixed,55,105
325,tickets,mixed,92,85
326,tickets,mixed,43,90
327,tickets,mixed,79,85
328,tickets,mixed,59,84
329,tickets,mixed,62,94
330,tickets,mixed,54,99
331,tickets,mixed,77,105
332,tickets,mixed,79,72
333,tickets,mixed,50,75
334,tickets,mixed,50,89
335,tickets,mixed,60,94
336,tickets,mixed,50,95
337,tickets,mixed,64,83
338,tickets,mixed,55,80
339,tickets,mixed,68,76
340,tickets,mixed,105,72
341,tickets,mixed,48,85
342,tickets,mixed,47,86
343,tickets,mixed,47,92
344,tickets,mixed,5,98
345,tickets,mixed,56,88
346,tickets,mixed,82,88
347,tickets,mixed,78,87
348,tickets,mixed,45,83
349,tickets,mixed,86,87
350,tickets,mixed,47,83
351,tickets,mixed,76,85
352,tickets,mixed,86,92
353,tickets,mixed,49,83
354,tickets,mixed,25,82
355,tickets,mixed,67,102
356,tickets,mixed,88,96
357,tickets,mixed,57,88
358,tickets,mixed,91,88
359,tickets,mixed,67,96
360,tickets,mixed,65,78
361,tickets,mixed,85,92
362,tickets,mixed,89,81
363,tickets,mixed,60,94
364,tickets,mixed,63,69
365,tickets,mixed,51,88
366,tickets,mixed,50,100
367,tickets,mixed,66,76
368,tickets,mixed,100,62
369,tickets,mixed,57,76
370,tickets,mixed,43,94
371,tickets,mixed,53,78
372,tickets,mixed,43,78
373,tickets,mixed,81,105
374,tickets,mixed,60,86
375,tickets,mixed,74,85
376,tickets,mixed,80,68
377,tickets,mixed,49,83
378,tickets,mixed,54,83
379,tickets,mixed,83,71
380,tickets,mixed,29,91
381,tickets,mixed,71,89
382,tickets,mixed,73,83
383,tickets,mixed,49,71
384,tickets,mixed,-31,104
385,tickets,mixed,40,80
386,tickets,mixed,85,96
387,tickets,mixed,72,76
388,tickets,mixed,96,90
389,tickets,mixed,50,105
390,tickets,mixed,25,91
391,tickets,mixed,76,96
392,tickets,mixed,85,88
393,tickets,mixed,36,69
394,tickets,mixed,25,81
395,tickets,mixed,45,83
396,tickets,mixed,62,98
397,tickets,mixed,55,89
398,tickets,mixed,52,98
399,tickets,mixed,98,68
400,tickets,mixed,98,85
401,tickets,mixed,80,85
402,tickets,mixed,69,90
403,tickets,mixed,56,88
404,tickets,mixed,74,74
405,tickets,mixed,65,89
406,tickets,mixed,74,76
407,tickets,mixed,80,74
408,tickets,mixed,71,83
409,tickets,mixed,96,76
410,tickets,mixed,65,98
411,tickets,mixed,80,85
412,tickets,mixed,81,96
413,tickets,mixed,73,65
414,tickets,mixed,-4,93
415,tickets,mixed,63,81
416,tickets,mixed,93,88
417,tickets,mixed,74,74
418,tickets,mixed,41,79
419,tickets,mixed,107,83
420,tickets,mixed,80,77
421,tickets,mixed,14,81
422,tickets,mixed,68,105
423,tickets,mixed,41,80
424,tickets,mixed,88,91
425,tickets,mixed,82,94
426,tickets,mixed,69,88
427,tickets,mixed,69,81
428,tickets,mixed,40,75
429,tickets,mixed,63,92
430,tickets,mixed,70,72
431,tickets,mixed,88,77
432,tickets,mixed,78,102
433,tickets,mixed,80,96
434,tickets,mixed,48,74
435,tickets,mixed,40,98
436,tickets,mixed,43,83
437,tickets,mixed,79,94
438,tickets,mixed,23,96
439,tickets,mixed,84,72
440,tickets,mixed,49,74
441,tickets,mixed,72,96
442,tickets,mixed,38,89
443,tickets,mixed,90,83
444,tickets,mixed,82,72
445,tickets,mixed,58,87
446,tickets,mixed,-15,77
447,tickets,mixed,78,94
448,tickets,mixed,95,88
449,tickets,mixed,59,93
450,tickets,mixed,87,83
451,tickets,mixed,92,88
452,tickets,mixed,37,105
453,tickets,mixed,102,81
454,tickets,mixed,63,85
455,tickets,mixed,55,88
456,tickets,mixed,63,80
457,tickets,mixed,78,73
458,tickets,mixed,80,94
459,tickets,mixed,79,105
460,tickets,mixed,92,70
461,tickets,mixed,87,86
462,tickets,mixed,49,81
463,tickets,mixed,76,79
464,tickets,mixed,68,75
465,tickets,mixed,94,78
466,tickets,mixed,81,77
467,tickets,mixed,65,89
468,tickets,mixed,76,98
469,tickets,mixed,87,85
470,tickets,mixed,53,96
471,tickets,mixed,76,105
472,tickets,mixed,57,68
473,tickets,mixed,73,88
474,tickets,mixed,85,84
475,tickets,mixed,68,85
476,tickets,mixed,78,85
477,tickets,mixed,59,68
478,tickets,mixed,64,97
479,tickets,mixed,38,98
480,tickets,mixed,81,80
481,tickets,mixed,62,72
482,tickets,mixed,58,96
483,tickets,mixed,88,83
484,tickets,mixed,41,100
485,tickets,mixed,47,79
486,tickets,mixed,26,73
487,tickets,mixed,73,87
488,tickets,mixed,52,83
489,tickets,mixed,63,82
490,tickets,mixed,47,81
491,tickets,mixed,67,85
492,tickets,mixed,74,86
493,tickets,mixed,79,85
494,tickets,mixed,49,98
495,tickets,mixed,52,86
496,tickets,mixed,58,85
497,tickets,mixed,49,86
498,tickets,mixed,98,85
499,tickets,mixed,61,81
