game_num,strategy1,strategy2,points1,points2
0,tickets,route,61,96
1,tickets,route,80,80
2,tickets,route,82,73
3,tickets,route,-6,82
4,tickets,route,74,92
5,tickets,route,87,105
6,tickets,route,88,84
7,tickets,route,74,81
8,tickets,route,74,73
9,tickets,route,69,85
10,tickets,route,82,82
11,tickets,route,26,92
12,tickets,route,63,94
13,tickets,route,82,95
14,tickets,route,74,89
15,tickets,route,60,80
16,tickets,route,55,78
17,tickets,route,82,74
18,tickets,route,33,75
19,tickets,route,14,72
20,tickets,route,63,88
21,tickets,route,65,76
22,tickets,route,75,93
23,tickets,route,45,90
24,tickets,route,72,83
25,tickets,route,86,79
26,tickets,route,72,70
27,tickets,route,77,85
28,tickets,route,72,82
29,tickets,route,61,88
30,tickets,route,44,86
31,tickets,route,31,98
32,tickets,route,58,84
33,tickets,route,90,94
34,tickets,route,60,84
35,tickets,route,53,83
36,tickets,route,85,84
37,tickets,route,72,86
38,tickets,route,57,83
39,tickets,route,73,82
40,tickets,route,66,91
41,tickets,route,79,72
42,tickets,route,74,73
43,tickets,route,91,92
44,tickets,route,60,88
45,tickets,route,51,105
46,tickets,route,94,85
47,tickets,route,109,92
48,tickets,route,87,86
49,tickets,route,45,81
50,tickets,route,82,88
51,tickets,route,73,80
52,tickets,route,39,86
53,tickets,route,56,81
54,tickets,route,71,81
55,tickets,route,78,88
56,tickets,route,63,83
57,tickets,route,29,98
58,tickets,route,75,72
59,tickets,route,66,92
60,tickets,route,61,89
61,tickets,route,23,87
62,tickets,route,124,72
63,tickets,route,71,75
64,tickets,route,39,81
65,tickets,route,60,75
66,tickets,route,96,96
67,tickets,route,63,72
68,tickets,route,83,76
69,tickets,route,102,80
70,tickets,route,58,84
71,tickets,route,65,66
72,tickets,route,93,87
73,tickets,route,74,105
74,tickets,route,77,80
75,tickets,route,58,82
76,tickets,route,87,70
77,tickets,route,67,80
78,tickets,route,73,82
79,tickets,route,64,95
80,tickets,route,84,94
81,tickets,route,123,85
82,tickets,route,72,100
83,tickets,route,86,92
84,tickets,route,61,90
85,tickets,route,63,76
86,tickets,route,77,83
87,tickets,route,40,97
88,tickets,route,90,89
89,tickets,route,54,83
90,tickets,route,40,70
91,tickets,route,112,94
92,tickets,route,28,77
93,tickets,route,86,98
94,tickets,route,58,97
95,tickets,route,29,88
96,tickets,route,43,92
97,tickets,route,45,96
98,tickets,route,70,81
99,tickets,route,76,92
100,tickets,route,9,84
101,tickets,route,65,88
102,tickets,route,92,85
103,tickets,route,88,81
104,tickets,route,73,85
105,tickets,route,50,90
106,tickets,route,84,79
107,tickets,route,68,86
108,tickets,route,79,88
109,tickets,route,91,94
110,tickets,route,47,85
111,tickets,route,37,91
112,tickets,route,66,83
113,tickets,route,66,69
114,tickets,route,82,100
115,tickets,route,52,85
116,tickets,route,71,67
117,tickets,route,56,85
118,tickets,route,94,80
119,tickets,route,53,77
120,tickets,route,48,84
121,tickets,route,70,84
122,tickets,route,58,88
