game_num,strategy1,strategy2,points1,points2
0,tickets,tickets,50,42
1,tickets,tickets,60,0
2,tickets,tickets,31,56
3,tickets,tickets,28,-25
4,tickets,tickets,36,17
5,tickets,tickets,62,44
6,tickets,tickets,88,-1
7,tickets,tickets,30,56
8,tickets,tickets,66,46
9,tickets,tickets,54,46
10,tickets,tickets,-98,47
11,tickets,tickets,58,107
12,tickets,tickets,56,-40
13,tickets,tickets,45,80
14,tickets,tickets,58,58
15,tickets,tickets,68,96
16,tickets,tickets,43,51
17,tickets,tickets,60,41
18,tickets,tickets,-15,38
19,tickets,tickets,-12,41
20,tickets,tickets,15,53
21,tickets,tickets,3,56
22,tickets,tickets,55,31
23,tickets,tickets,90,54
24,tickets,tickets,28,41
25,tickets,tickets,71,35
26,tickets,tickets,12,31
27,tickets,tickets,50,57
28,tickets,tickets,56,71
29,tickets,tickets,88,-159
30,tickets,tickets,70,59
31,tickets,tickets,65,24
32,tickets,tickets,-310,57
33,tickets,tickets,70,48
34,tickets,tickets,-2,-156
35,tickets,tickets,21,55
36,tickets,tickets,47,51
37,tickets,tickets,33,66
0,tickets,tickets,59,90
1,tickets,tickets,85,31
2,tickets,tickets,14,90
3,tickets,tickets,49,53
4,tickets,tickets,22,61
5,tickets,tickets,48,10
6,tickets,tickets,4,39
7,tickets,tickets,61,40
8,tickets,tickets,28,39
9,tickets,tickets,62,15
10,tickets,tickets,81,-74
11,tickets,tickets,49,51
12,tickets,tickets,35,30
13,tickets,tickets,31,47
14,tickets,tickets,42,29
15,tickets,tickets,51,81
16,tickets,tickets,66,51
17,tickets,tickets,74,41
18,tickets,tickets,61,22
19,tickets,tickets,47,46
20,tickets,tickets,22,61
21,tickets,tickets,-16,-26
22,tickets,tickets,81,-187
23,tickets,tickets,66,56
0,tickets,tickets,-33,77
1,tickets,tickets,33,85
2,tickets,tickets,13,59
3,tickets,tickets,38,77
4,tickets,tickets,93,38
5,tickets,tickets,16,27
6,tickets,tickets,18,-87
7,tickets,tickets,57,17
8,tickets,tickets,32,56
9,tickets,tickets,71,46
10,tickets,tickets,96,27
11,tickets,tickets,29,47
12,tickets,tickets,-143,70
13,tickets,tickets,74,79
14,tickets,tickets,68,-62
15,tickets,tickets,85,30
16,tickets,tickets,27,-235
17,tickets,tickets,85,37
18,tickets,tickets,61,96
19,tickets,tickets,63,5
20,tickets,tickets,44,6
21,tickets,tickets,38,56
22,tickets,tickets,77,11
23,tickets,tickets,70,58
24,tickets,tickets,53,66
25,tickets,tickets,31,53
0,tickets,tickets,44,49
1,tickets,tickets,75,52
2,tickets,tickets,-218,61
3,tickets,tickets,33,51
4,tickets,tickets,51,63
5,tickets,tickets,36,50
6,tickets,tickets,81,27
7,tickets,tickets,57,42
0,tickets,tickets,45,64
1,tickets,tickets,18,59
2,tickets,tickets,9,54
3,tickets,tickets,64,65
4,tickets,tickets,62,-46
5,tickets,tickets,71,39
6,tickets,tickets,63,-2
7,tickets,tickets,68,55
8,tickets,tickets,38,45
9,tickets,tickets,-62,36
0,tickets,tickets,43,24
1,tickets,tickets,-107,55
2,tickets,tickets,12,69
0,tickets,tickets,58,90
1,tickets,tickets,42,-36
2,tickets,tickets,29,48
3,tickets,tickets,37,54
4,tickets,tickets,-104,89
5,tickets,tickets,70,54
6,tickets,tickets,33,15
7,tickets,tickets,71,58
8,tickets,tickets,60,25
9,tickets,tickets,1,-189
10,tickets,tickets,-105,37
11,tickets,tickets,52,44
12,tickets,tickets,67,32
13,tickets,tickets,47,40
0,tickets,tickets,41,65
1,tickets,tickets,-95,74
2,tickets,tickets,36,26
3,tickets,tickets,77,61
4,tickets,tickets,67,58
5,tickets,tickets,35,55
6,tickets,tickets,-104,11
7,tickets,tickets,-163,24
0,tickets,tickets,-122,68
1,tickets,tickets,46,-4
2,tickets,tickets,85,41
3,tickets,tickets,86,35
4,tickets,tickets,92,22
5,tickets,tickets,20,46
6,tickets,tickets,54,95
0,tickets,tickets,77,-42
1,tickets,tickets,95,25
2,tickets,tickets,54,100
3,tickets,tickets,-36,-83
4,tickets,tickets,71,52
0,tickets,tickets,61,16
1,tickets,tickets,32,27
2,tickets,tickets,17,39
3,tickets,tickets,-180,109
4,tickets,tickets,53,50
5,tickets,tickets,41,-10
6,tickets,tickets,52,35
7,tickets,tickets,58,27
8,tickets,tickets,68,39
9,tickets,tickets,21,-74
10,tickets,tickets,-11,28
11,tickets,tickets,30,76
12,tickets,tickets,68,39
13,tickets,tickets,25,60
0,tickets,tickets,48,37
1,tickets,tickets,95,56
2,tickets,tickets,31,47
3,tickets,tickets,37,68
4,tickets,tickets,15,67
5,tickets,tickets,-33,77
6,tickets,tickets,25,62
7,tickets,tickets,84,19
8,tickets,tickets,39,72
0,tickets,tickets,17,21
1,tickets,tickets,-1,47
0,tickets,tickets,70,14
1,tickets,tickets,20,14
2,tickets,tickets,5,30
3,tickets,tickets,41,-97
4,tickets,tickets,-4,-143
5,tickets,tickets,28,49
6,tickets,tickets,-108,4
7,tickets,tickets,65,-35
8,tickets,tickets,59,57
9,tickets,tickets,30,25
10,tickets,tickets,64,-64
